G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,Cleveland State,Horizon,L,49,92,,0,1,L 1
2,Sun Nov 11 2012,REG,@,Ball State,MAC,L,51,78,,0,2,L 2
3,Tue Nov 13 2012,REG,@,Miami (OH),MAC,L,54,80,,0,3,L 3
4,Sat Nov 17 2012,REG,@,Houston,CUSA,L,47,87,,0,4,L 4
5,Tue Nov 20 2012,REG,@,Texas Tech,Big 12,L,56,91,,0,5,L 5
6,Sat Dec 8 2012,REG,@,Oregon State,Pac-12,L,54,85,,0,6,L 6
7,Tue Dec 11 2012,REG,@,Auburn,SEC,L,42,92,,0,7,L 7
8,Sat Dec 15 2012,REG,@,Southern Mississippi,CUSA,L,45,93,,0,8,L 8
9,Thu Dec 20 2012,REG,@,Stephen F. Austin,Southland,L,38,60,,0,9,L 9
10,Wed Jan 2 2013,REG,@,Alabama A&M,SWAC,L,53,78,,0,10,L 10
11,Fri Jan 4 2013,REG,@,Alabama State,SWAC,L,56,69,,0,11,L 11
12,Sun Jan 6 2013,REG,,Southern,SWAC,L,43,82,,0,12,L 12
13,Tue Jan 8 2013,REG,,Alcorn State,SWAC,L,46,80,,0,13,L 13
14,Sat Jan 12 2013,REG,@,Prairie View,SWAC,L,44,60,,0,14,L 14
15,Mon Jan 14 2013,REG,@,Texas Southern,SWAC,L,50,95,,0,15,L 15
16,Sat Jan 19 2013,REG,,Jackson State,SWAC,L,46,57,,0,16,L 16
17,Sat Jan 26 2013,REG,,Arkansas-Pine Bluff,SWAC,L,67,79,,0,17,L 17
18,Mon Jan 28 2013,REG,,Mississippi Valley State,SWAC,L,50,65,,0,18,L 18
19,Sat Feb 2 2013,REG,@,Southern,SWAC,L,31,59,,0,19,L 19
20,Mon Feb 4 2013,REG,@,Alcorn State,SWAC,L,53,78,,0,20,L 20
21,Sat Feb 9 2013,REG,,Prairie View,SWAC,L,53,63,,0,21,L 21
22,Mon Feb 11 2013,REG,,Texas Southern,SWAC,L,52,80,,0,22,L 22
23,Sat Feb 16 2013,REG,@,Jackson State,SWAC,L,38,77,,0,23,L 23
24,Sat Feb 23 2013,REG,@,Arkansas-Pine Bluff,SWAC,L,45,61,,0,24,L 24
25,Mon Feb 25 2013,REG,@,Mississippi Valley State,SWAC,L,68,90,,0,25,L 25
26,Thu Feb 28 2013,REG,,Alabama A&M,SWAC,L,47,74,,0,26,L 26
27,Sat Mar 2 2013,REG,,Alabama State,SWAC,L,62,74,,0,27,L 27
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
28,Wed Mar 13 2013,CTOURN,N,Alabama A&M,SWAC,L,51,59,,0,28,L 28
