G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,,Chicago State,GWC,W,72,67,,1,0,W 1
2,Fri Nov 16 2012,REG,N,Southern Utah,Big Sky,W,66,54,,2,0,W 2
3,Sat Nov 17 2012,REG,@,Nevada,MWC,L,69,71,,2,1,L 1
4,Sun Nov 18 2012,REG,N,Cal State Fullerton,Big West,L,82,93,,2,2,L 2
5,Tue Nov 20 2012,REG,@,Idaho,WAC,L,62,72,,2,3,L 3
6,Sat Nov 24 2012,REG,,North Dakota State,Summit,W,74,59,,3,3,W 1
7,Sat Dec 1 2012,REG,@,Virginia,ACC,L,51,67,,3,4,L 1
8,Thu Dec 6 2012,REG,@,Tennessee Tech,OVC,L,68,74,,3,5,L 2
9,Wed Dec 12 2012,REG,@,Wisconsin,Big Ten,L,54,65,,3,6,L 3
10,Sat Dec 15 2012,REG,,Southern Illinois,MVC,L,70,72,,3,7,L 4
11,Wed Dec 19 2012,REG,,Marquette,Big East,W,49,47,,4,7,W 1
12,Sat Dec 22 2012,REG,,South Dakota,Summit,W,72,55,,5,7,W 2
13,Sun Dec 30 2012,REG,,Illinois-Springfield,,W,84,43,,6,7,W 3
14,Thu Jan 3 2013,REG,@,Wright State,Horizon,L,53,64,,6,8,L 1
15,Sat Jan 5 2013,REG,@,Detroit Mercy,Horizon,L,76,84,,6,9,L 2
16,Wed Jan 9 2013,REG,,Loyola (IL),Horizon,W,58,45,,7,9,W 1
17,Sat Jan 12 2013,REG,,Illinois-Chicago,Horizon,W,53,47,,8,9,W 2
18,Thu Jan 17 2013,REG,,Youngstown State,Horizon,W,67,58,,9,9,W 3
19,Sat Jan 19 2013,REG,,Cleveland State,Horizon,W,77,50,,10,9,W 4
20,Wed Jan 23 2013,REG,@,Valparaiso,Horizon,L,61,73,,10,10,L 1
21,Fri Jan 25 2013,REG,@,Milwaukee,Horizon,W,74,54,,11,10,W 1
22,Thu Jan 31 2013,REG,@,Illinois-Chicago,Horizon,L,57,60,,11,11,L 1
23,Sat Feb 2 2013,REG,@,Loyola (IL),Horizon,W,73,65,,12,11,W 1
24,Thu Feb 7 2013,REG,,Wright State,Horizon,L,68,70,2OT,12,12,L 1
25,Sat Feb 9 2013,REG,,Detroit Mercy,Horizon,W,68,59,,13,12,W 1
26,Fri Feb 15 2013,REG,@,Cleveland State,Horizon,W,66,59,,14,12,W 2
27,Sun Feb 17 2013,REG,@,Youngstown State,Horizon,W,71,54,,15,12,W 3
28,Sat Feb 23 2013,REG,@,Drake,MVC,L,54,71,,15,13,L 1
29,Tue Feb 26 2013,REG,,Milwaukee,Horizon,W,78,61,,16,13,W 1
30,Sat Mar 2 2013,REG,,Valparaiso,Horizon,L,56,75,,16,14,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Tue Mar 5 2013,CTOURN,,Milwaukee,Horizon,W,62,46,,17,14,W 1
32,Fri Mar 8 2013,CTOURN,N,Illinois-Chicago,Horizon,W,64,63,,18,14,W 2
33,Sat Mar 9 2013,CTOURN,@,Valparaiso,Horizon,L,69,70,,18,15,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
34,Wed Mar 20 2013,CIT,@,Bradley,MVC,L,69,75,,18,16,L 2
