G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,William & Mary,CAA,L,51,69,,0,1,L 1
2,Thu Nov 15 2012,REG,@,Richmond,A-10,L,58,68,,0,2,L 2
3,Tue Nov 20 2012,REG,@,Ohio,MAC,L,67,75,,0,3,L 3
4,Fri Nov 23 2012,REG,N,Wofford,Southern,L,51,56,,0,4,L 4
5,Sun Nov 25 2012,REG,@,North Carolina-Wilmington,CAA,L,60,61,,0,5,L 5
6,Wed Nov 28 2012,REG,@,Radford,Big South,L,64,73,,0,6,L 6
7,Sat Dec 1 2012,REG,,Howard,MEAC,W,58,50,,1,6,W 1
8,Sat Dec 8 2012,REG,,Robert Morris,NEC,L,54,66,,1,7,L 1
9,Tue Dec 18 2012,REG,,American,Patriot,W,72,65,,2,7,W 1
10,Thu Dec 20 2012,REG,,Northern Kentucky,A-Sun,L,52,54,,2,8,L 1
11,Sun Dec 30 2012,REG,@,Winthrop,Big South,L,43,50,,2,9,L 2
12,Wed Jan 2 2013,REG,@,South Carolina Upstate,A-Sun,L,49,68,,2,10,L 3
13,Mon Jan 7 2013,REG,,James Madison,CAA,W,69,65,,3,10,W 1
14,Sat Jan 12 2013,REG,@,Howard,MEAC,W,51,49,,4,10,W 2
15,Mon Jan 14 2013,REG,,Quinnipiac,NEC,W,70,64,,5,10,W 3
16,Sat Jan 19 2013,REG,,Morgan State,MEAC,L,78,80,,5,11,L 1
17,Mon Jan 21 2013,REG,,Coppin State,MEAC,L,65,67,OT,5,12,L 2
18,Sat Jan 26 2013,REG,@,Norfolk State,MEAC,L,67,74,,5,13,L 3
19,Wed Jan 30 2013,REG,@,South Carolina State,MEAC,W,64,60,,6,13,W 1
20,Sat Feb 2 2013,REG,@,Morgan State,MEAC,W,64,62,,7,13,W 2
21,Mon Feb 4 2013,REG,@,Coppin State,MEAC,W,59,53,,8,13,W 3
22,Thu Feb 7 2013,REG,@,Savannah State,MEAC,W,71,68,OT,9,13,W 4
23,Mon Feb 11 2013,REG,,Delaware State,MEAC,W,85,84,2OT,10,13,W 5
24,Mon Feb 18 2013,REG,,Norfolk State,MEAC,L,59,62,,10,14,L 1
25,Wed Feb 20 2013,REG,@,Maryland-Eastern Shore,MEAC,W,63,59,,11,14,W 1
26,Sat Feb 23 2013,REG,,Saint Peter's,MAAC,L,59,66,,11,15,L 1
27,Mon Feb 25 2013,REG,@,Delaware State,MEAC,W,57,50,,12,15,W 1
28,Sat Mar 2 2013,REG,,Florida A&M,MEAC,W,77,68,,13,15,W 2
29,Mon Mar 4 2013,REG,,Bethune-Cookman,MEAC,W,75,66,,14,15,W 3
30,Thu Mar 7 2013,REG,,North Carolina Central,MEAC,L,64,68,,14,16,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Thu Mar 14 2013,CTOURN,N,Delaware State,MEAC,L,60,63,,14,17,L 2
