G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,,Quinnipiac,NEC,L,61,65,,0,1,L 1
2,Tue Nov 13 2012,REG,@,Mount St. Mary's,NEC,L,63,70,,0,2,L 2
3,Fri Nov 16 2012,REG,,Sacred Heart,NEC,W,62,47,,1,2,W 1
4,Tue Nov 20 2012,REG,,La Salle,A-10,L,51,64,,1,3,L 1
5,Sat Nov 24 2012,REG,,Central Connecticut State,NEC,W,80,77,,2,3,W 1
6,Thu Nov 29 2012,REG,@,Yale,Ivy,W,60,51,,3,3,W 2
7,Sat Dec 1 2012,REG,,Holy Cross,Patriot,W,48,45,,4,3,W 3
8,Wed Dec 5 2012,REG,@,Arizona State,Pac-12,L,63,71,,4,4,L 1
9,Sun Dec 9 2012,REG,@,Fairleigh Dickinson,NEC,W,69,59,,5,4,W 1
10,Wed Dec 12 2012,REG,@,Niagara,MAAC,L,59,75,,5,5,L 1
11,Sat Dec 15 2012,REG,@,Rice,CUSA,W,58,51,,6,5,W 1
12,Sat Dec 22 2012,REG,,Marist,MAAC,W,56,46,,7,5,W 2
13,Sat Dec 29 2012,REG,@,Colorado,Pac-12,L,52,80,,7,6,L 1
14,Wed Jan 2 2013,REG,,Binghamton,AEC,W,71,68,,8,6,W 1
15,Sat Jan 5 2013,REG,@,Boston University,AEC,W,77,74,,9,6,W 2
16,Wed Jan 9 2013,REG,,Maine,AEC,W,68,61,,10,6,W 3
17,Sat Jan 12 2013,REG,@,Stony Brook,AEC,L,59,73,,10,7,L 1
18,Wed Jan 16 2013,REG,@,Maryland-Baltimore County,AEC,L,57,70,,10,8,L 2
19,Sat Jan 19 2013,REG,,Albany (NY),AEC,L,46,56,,10,9,L 3
20,Thu Jan 24 2013,REG,@,New Hampshire,AEC,W,51,40,,11,9,W 1
21,Wed Jan 30 2013,REG,,Vermont,AEC,L,43,49,,11,10,L 1
22,Sat Feb 2 2013,REG,,Boston University,AEC,W,66,58,,12,10,W 1
23,Wed Feb 6 2013,REG,@,Binghamton,AEC,W,76,62,,13,10,W 2
24,Sun Feb 10 2013,REG,,Stony Brook,AEC,W,60,55,,14,10,W 3
25,Wed Feb 13 2013,REG,@,Maine,AEC,L,64,66,,14,11,L 1
26,Sat Feb 16 2013,REG,@,Albany (NY),AEC,L,49,75,,14,12,L 2
27,Wed Feb 20 2013,REG,,New Hampshire,AEC,W,49,44,,15,12,W 1
28,Thu Feb 28 2013,REG,,Maryland-Baltimore County,AEC,W,68,56,,16,12,W 2
29,Sun Mar 3 2013,REG,@,Vermont,AEC,W,61,58,,17,12,W 3
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
30,Sat Mar 9 2013,CTOURN,N,Maryland-Baltimore County,AEC,L,62,69,,17,13,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Tue Mar 19 2013,CIT,,Rider,MAAC,L,54,63,,17,14,L 2
