G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,North Carolina-Greensboro,Southern,W,81,73,,1,0,W 1
2,Tue Nov 13 2012,REG,@,Appalachian State,Southern,W,86,64,,2,0,W 2
3,Sat Nov 17 2012,REG,,William & Mary,CAA,L,61,83,,2,1,L 1
4,Wed Nov 21 2012,REG,,St. Andrews,,W,93,62,,3,1,W 1
5,Sun Nov 25 2012,REG,@,Indiana State,MVC,L,62,76,,3,2,L 1
6,Thu Nov 29 2012,REG,@,Western Michigan,MAC,L,53,54,,3,3,L 2
7,Sun Dec 2 2012,REG,,Johnson & Wales (NC),,W,99,36,,4,3,W 1
8,Wed Dec 5 2012,REG,@,Wake Forest,ACC,L,60,71,,4,4,L 1
9,Sun Dec 16 2012,REG,,Western Michigan,MAC,L,64,70,,4,5,L 2
10,Fri Dec 21 2012,REG,,Eastern Kentucky,OVC,L,70,73,,4,6,L 3
11,Fri Dec 28 2012,REG,@,Chattanooga,Southern,L,61,68,,4,7,L 4
12,Sat Dec 29 2012,REG,N,Austin Peay,OVC,W,76,74,,5,7,W 1
13,Sat Jan 5 2013,REG,@,Winthrop,Big South,W,74,61,,6,7,W 2
14,Wed Jan 9 2013,REG,@,Radford,Big South,L,54,59,,6,8,L 1
15,Sat Jan 12 2013,REG,,Gardner-Webb,Big South,W,70,64,,7,8,W 1
16,Wed Jan 16 2013,REG,,Liberty,Big South,W,77,72,2OT,8,8,W 2
17,Sat Jan 19 2013,REG,@,Charleston Southern,Big South,L,75,83,,8,9,L 1
18,Wed Jan 23 2013,REG,,Virginia Military Institute,Big South,W,96,69,,9,9,W 1
19,Sat Jan 26 2013,REG,@,North Carolina-Asheville,Big South,L,58,69,,9,10,L 1
20,Wed Jan 30 2013,REG,,Longwood,Big South,W,88,60,,10,10,W 1
21,Sat Feb 2 2013,REG,,Presbyterian,Big South,W,78,68,,11,10,W 2
22,Wed Feb 6 2013,REG,@,Campbell,Big South,W,58,52,,12,10,W 3
23,Sat Feb 9 2013,REG,,Coastal Carolina,Big South,W,74,62,,13,10,W 4
24,Wed Feb 13 2013,REG,@,Longwood,Big South,W,82,53,,14,10,W 5
25,Sat Feb 16 2013,REG,@,Liberty,Big South,W,73,68,,15,10,W 6
26,Tue Feb 19 2013,REG,@,Virginia Military Institute,Big South,W,78,67,,16,10,W 7
27,Sat Feb 23 2013,REG,,Morgan State,MEAC,L,68,75,,16,11,L 1
28,Wed Feb 27 2013,REG,,Radford,Big South,L,58,63,,16,12,L 2
29,Sat Mar 2 2013,REG,,Campbell,Big South,W,63,62,,17,12,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
30,Thu Mar 7 2013,CTOURN,N,Liberty,Big South,L,60,61,,17,13,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Wed Mar 20 2013,CIT,@,California-Irvine,Big West,L,71,80,,17,14,L 2
