G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,Old Dominion,CAA,W,46,45,,1,0,W 1
2,Sat Nov 10 2012,REG,N,Texas-San Antonio,WAC,L,56,60,,1,1,L 1
3,Sun Nov 11 2012,REG,N,Morgan State,MEAC,W,74,73,,2,1,W 1
4,Wed Nov 14 2012,REG,,Maine,AEC,W,57,54,,3,1,W 2
5,Wed Nov 21 2012,REG,@,St. John's (NY),Big East,L,53,65,,3,2,L 1
6,Sat Nov 24 2012,REG,,New Hampshire,AEC,W,60,50,,4,2,W 1
7,Tue Nov 27 2012,REG,@,Providence,Big East,L,42,61,,4,3,L 1
8,Sat Dec 1 2012,REG,@,Hartford,AEC,L,45,48,,4,4,L 2
9,Wed Dec 5 2012,REG,@,Sacred Heart,NEC,W,83,78,,5,4,W 1
10,Sat Dec 8 2012,REG,,Dartmouth,Ivy,W,67,56,,6,4,W 2
11,Tue Dec 18 2012,REG,@,San Francisco,WCC,W,73,63,,7,4,W 3
12,Sat Dec 22 2012,REG,@,Harvard,Ivy,L,65,72,,7,5,L 1
13,Sat Dec 29 2012,REG,@,Boston College,ACC,L,60,70,,7,6,L 2
14,Fri Jan 4 2013,REG,,Yale,Ivy,L,54,61,,7,7,L 3
15,Tue Jan 8 2013,REG,,Columbia,Ivy,W,78,69,,8,7,W 1
16,Sat Jan 12 2013,REG,@,Lehigh,Patriot,L,47,79,,8,8,L 1
17,Wed Jan 16 2013,REG,@,Navy,Patriot,W,62,47,,9,8,W 1
18,Sat Jan 19 2013,REG,,American,Patriot,W,79,60,,10,8,W 2
19,Wed Jan 23 2013,REG,@,Lafayette,Patriot,L,53,63,,10,9,L 1
20,Sat Jan 26 2013,REG,,Bucknell,Patriot,L,58,65,,10,10,L 2
21,Wed Jan 30 2013,REG,,Army,Patriot,L,66,80,,10,11,L 3
22,Sat Feb 2 2013,REG,@,Colgate,Patriot,L,45,63,,10,12,L 4
23,Sat Feb 9 2013,REG,,Lehigh,Patriot,L,61,68,,10,13,L 5
24,Tue Feb 12 2013,REG,,Navy,Patriot,W,66,57,,11,13,W 1
25,Sun Feb 17 2013,REG,@,American,Patriot,L,61,64,OT,11,14,L 1
26,Wed Feb 20 2013,REG,,Lafayette,Patriot,L,76,79,,11,15,L 2
27,Sun Feb 24 2013,REG,@,Bucknell,Patriot,L,57,74,,11,16,L 3
28,Wed Feb 27 2013,REG,@,Army,Patriot,L,62,69,,11,17,L 4
29,Sat Mar 2 2013,REG,,Colgate,Patriot,W,74,59,,12,17,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
30,Wed Mar 6 2013,CTOURN,@,Lafayette,Patriot,L,54,77,,12,18,L 1
