G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Florida A&M,MEAC,W,81,76,,1,0,W 1
2,Tue Nov 13 2012,REG,@,San Jose State,WAC,W,77,75,,2,0,W 2
3,Sat Nov 17 2012,REG,,Grambling,SWAC,W,87,47,,3,0,W 3
4,Mon Nov 19 2012,REG,,Louisiana College,,W,106,59,,4,0,W 4
5,Sun Nov 25 2012,REG,@,Texas A&M-Corpus Christi,Southland,W,77,75,,5,0,W 5
6,Wed Nov 28 2012,REG,@,Prairie View,SWAC,L,80,81,,5,1,L 1
7,Sat Dec 1 2012,REG,,Texas A&M,SEC,L,58,70,,5,2,L 2
8,Tue Dec 4 2012,REG,@,Texas Christian,Big 12,W,54,48,,6,2,W 1
9,Sat Dec 8 2012,REG,,Texas Southern,SWAC,W,78,75,OT,7,2,W 2
10,Sat Dec 15 2012,REG,,Louisiana-Lafayette,Sun Belt,W,85,63,,8,2,W 3
11,Sat Dec 22 2012,REG,,Chicago State,GWC,W,79,57,,9,2,W 4
12,Sat Dec 29 2012,REG,,Prairie View,SWAC,W,80,75,,10,2,W 5
13,Thu Jan 3 2013,REG,,Texas-Pan American,GWC,W,96,71,,11,2,W 6
14,Wed Jan 9 2013,REG,,Southern Methodist,CUSA,W,78,67,,12,2,W 7
15,Sat Jan 12 2013,REG,@,Southern Mississippi,CUSA,L,54,73,,12,3,L 1
16,Wed Jan 16 2013,REG,@,East Carolina,CUSA,L,78,89,,12,4,L 2
17,Sat Jan 19 2013,REG,,Central Florida,CUSA,L,75,79,OT,12,5,L 3
18,Wed Jan 23 2013,REG,,Tulsa,CUSA,L,72,87,,12,6,L 4
19,Sat Jan 26 2013,REG,,Alabama-Birmingham,CUSA,W,66,61,,13,6,W 1
20,Wed Jan 30 2013,REG,@,Rice,CUSA,L,69,79,,13,7,L 1
21,Sat Feb 2 2013,REG,@,Southern Methodist,CUSA,W,84,80,OT,14,7,W 1
22,Sat Feb 9 2013,REG,,Tulane,CUSA,L,85,88,,14,8,L 1
23,Wed Feb 13 2013,REG,,Texas-El Paso,CUSA,W,79,61,,15,8,W 1
24,Sat Feb 16 2013,REG,@,Tulsa,CUSA,L,92,101,3OT,15,9,L 1
25,Wed Feb 20 2013,REG,@,Memphis,CUSA,L,74,81,,15,10,L 2
26,Wed Feb 27 2013,REG,@,Texas-El Paso,CUSA,L,53,63,,15,11,L 3
27,Sat Mar 2 2013,REG,,Marshall,CUSA,W,103,76,,16,11,W 1
28,Wed Mar 6 2013,REG,,Rice,CUSA,W,84,62,,17,11,W 2
29,Sat Mar 9 2013,REG,@,Tulane,CUSA,W,96,94,,18,11,W 3
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
30,Wed Mar 13 2013,CTOURN,N,Rice,CUSA,W,72,67,,19,11,W 4
31,Thu Mar 14 2013,CTOURN,N,Texas-El Paso,CUSA,L,69,80,,19,12,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Wed Mar 20 2013,CBI,,Texas,Big 12,W,73,72,,20,12,W 1
33,Mon Mar 25 2013,CBI,@,George Mason,CAA,L,84,88,OT,20,13,L 1
