G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,,Lincoln (PA),,L,62,68,,0,1,L 1
2,Thu Nov 15 2012,REG,@,Iowa,Big Ten,L,36,66,,0,2,L 2
3,Sat Nov 17 2012,REG,@,Wichita State,MVC,L,50,69,,0,3,L 3
4,Tue Nov 20 2012,REG,N,Gardner-Webb,Big South,L,43,55,,0,4,L 4
5,Wed Nov 21 2012,REG,N,Western Carolina,Southern,L,67,69,,0,5,L 5
6,Sun Nov 25 2012,REG,,Wilmington (DE),,W,66,50,,1,5,W 1
7,Tue Nov 27 2012,REG,@,Pittsburgh,Big East,L,46,70,,1,6,L 1
8,Sat Dec 1 2012,REG,@,Hampton,MEAC,L,50,58,,1,7,L 2
9,Tue Dec 4 2012,REG,,American,Patriot,W,55,50,,2,7,W 1
10,Thu Dec 6 2012,REG,@,William & Mary,CAA,L,69,78,,2,8,L 1
11,Sat Dec 15 2012,REG,,Liberty,Big South,W,60,53,,3,8,W 1
12,Wed Dec 19 2012,REG,@,Oregon State,Pac-12,L,53,69,,3,9,L 1
13,Fri Dec 21 2012,REG,@,Rutgers,Big East,L,55,79,,3,10,L 2
14,Fri Dec 28 2012,REG,@,Central Florida,CUSA,L,45,62,,3,11,L 3
15,Sat Dec 29 2012,REG,N,Boston University,AEC,L,44,71,,3,12,L 4
16,Sat Jan 5 2013,REG,@,Coppin State,MEAC,W,70,60,,4,12,W 1
17,Sat Jan 12 2013,REG,,Hampton,MEAC,L,49,51,,4,13,L 1
18,Mon Jan 14 2013,REG,,Norfolk State,MEAC,L,49,54,,4,14,L 2
19,Sat Jan 19 2013,REG,@,North Carolina A&T,MEAC,L,37,61,,4,15,L 3
20,Mon Jan 21 2013,REG,@,North Carolina Central,MEAC,L,36,71,,4,16,L 4
21,Wed Jan 23 2013,REG,@,Delaware State,MEAC,L,46,63,,4,17,L 5
22,Sat Feb 2 2013,REG,,Savannah State,MEAC,L,42,52,,4,18,L 6
23,Mon Feb 4 2013,REG,,South Carolina State,MEAC,W,57,45,,5,18,W 1
24,Sat Feb 9 2013,REG,,Maryland-Eastern Shore,MEAC,W,63,44,,6,18,W 2
25,Mon Feb 11 2013,REG,,Morgan State,MEAC,L,51,53,,6,19,L 1
26,Sat Feb 16 2013,REG,@,Florida A&M,MEAC,L,45,46,,6,20,L 2
27,Mon Feb 18 2013,REG,@,Bethune-Cookman,MEAC,L,50,64,,6,21,L 3
28,Sat Feb 23 2013,REG,,Coppin State,MEAC,L,56,63,,6,22,L 4
29,Mon Feb 25 2013,REG,@,Maryland-Eastern Shore,MEAC,W,49,45,,7,22,W 1
30,Sat Mar 2 2013,REG,,Delaware State,MEAC,L,53,56,,7,23,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Tue Mar 12 2013,CTOURN,N,Delaware State,MEAC,L,61,73,,7,24,L 2
