G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Wright State,Horizon,L,70,80,,0,1,L 1
2,Sat Nov 17 2012,REG,,Montana,Big Sky,L,63,66,,0,2,L 2
3,Tue Nov 20 2012,REG,,Green Bay,Horizon,W,72,62,,1,2,W 1
4,Fri Nov 23 2012,REG,@,New Mexico,MWC,L,58,73,,1,3,L 1
5,Wed Nov 28 2012,REG,@,Washington State,Pac-12,L,55,64,,1,4,L 2
6,Sat Dec 1 2012,REG,,California-Davis,Big West,W,73,66,,2,4,W 1
7,Thu Dec 6 2012,REG,@,Eastern Washington,Big Sky,W,81,79,OT,3,4,W 2
8,Sat Dec 8 2012,REG,@,Texas-El Paso,CUSA,L,60,64,,3,5,L 1
9,Sat Dec 15 2012,REG,,Walla Walla,,W,91,47,,4,5,W 1
10,Thu Dec 20 2012,REG,N,Boise State,MWC,L,68,78,,4,6,L 1
11,Sat Dec 29 2012,REG,@,Seattle,WAC,W,71,64,,5,6,W 1
12,Thu Jan 3 2013,REG,@,San Jose State,WAC,W,64,55,,6,6,W 2
13,Sat Jan 5 2013,REG,@,Utah State,WAC,L,75,82,OT,6,7,L 1
14,Thu Jan 10 2013,REG,,Denver,WAC,L,49,55,,6,8,L 2
15,Sat Jan 12 2013,REG,,New Mexico State,WAC,L,70,71,,6,9,L 3
16,Thu Jan 17 2013,REG,@,Louisiana Tech,WAC,L,66,72,,6,10,L 4
17,Sat Jan 19 2013,REG,@,Texas-Arlington,WAC,W,77,64,,7,10,W 1
18,Thu Jan 24 2013,REG,,Texas State,WAC,L,73,78,,7,11,L 1
19,Sat Jan 26 2013,REG,,Texas-San Antonio,WAC,W,74,70,,8,11,W 1
20,Thu Jan 31 2013,REG,,Utah State,WAC,L,67,77,,8,12,L 1
21,Sat Feb 2 2013,REG,,San Jose State,WAC,W,66,63,,9,12,W 1
22,Thu Feb 7 2013,REG,@,New Mexico State,WAC,L,74,76,,9,13,L 1
23,Sat Feb 9 2013,REG,@,Denver,WAC,L,58,74,,9,14,L 2
24,Thu Feb 14 2013,REG,,Texas-Arlington,WAC,L,68,71,,9,15,L 3
25,Sat Feb 16 2013,REG,,Louisiana Tech,WAC,L,61,67,,9,16,L 4
26,Sat Feb 23 2013,REG,@,Idaho State,Big Sky,W,75,69,,10,16,W 1
27,Thu Feb 28 2013,REG,@,Texas-San Antonio,WAC,L,56,74,,10,17,L 1
28,Sat Mar 2 2013,REG,@,Texas State,WAC,W,90,81,,11,17,W 1
29,Sat Mar 9 2013,REG,,Seattle,WAC,W,76,72,,12,17,W 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
30,Thu Mar 14 2013,CTOURN,N,New Mexico State,WAC,L,49,65,,12,18,L 1
