G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sun Nov 11 2012,REG,,California-Riverside,Big West,W,59,52,,1,0,W 1
2,Fri Nov 16 2012,REG,N,New Mexico,MWC,L,59,66,,1,1,L 1
3,Sat Nov 17 2012,REG,N,Mercer,A-Sun,W,62,36,,2,1,W 1
4,Mon Nov 19 2012,REG,N,Iona,MAAC,W,86,81,,3,1,W 2
5,Sat Nov 24 2012,REG,,Southeast Missouri State,OVC,W,56,45,,4,1,W 3
6,Tue Nov 27 2012,REG,@,Northern Illinois,MAC,W,58,46,,5,1,W 4
7,Sat Dec 1 2012,REG,@,Northwestern,Big Ten,W,50,44,,6,1,W 5
8,Wed Dec 5 2012,REG,,Roosevelt,,W,81,43,,7,1,W 6
9,Sat Dec 8 2012,REG,,Colorado State,MWC,W,64,55,,8,1,W 7
10,Sat Dec 15 2012,REG,,Eastern Michigan,MAC,W,74,48,,9,1,W 8
11,Tue Dec 18 2012,REG,@,Western Illinois,Summit,L,54,70,,9,2,L 1
12,Sat Dec 22 2012,REG,@,Miami (OH),MAC,L,70,82,,9,3,L 2
13,Sat Dec 29 2012,REG,@,Toledo,MAC,L,55,74,,9,4,L 3
14,Wed Jan 2 2013,REG,,Youngstown State,Horizon,W,65,60,,10,4,W 1
15,Mon Jan 7 2013,REG,@,Cleveland State,Horizon,L,50,60,,10,5,L 1
16,Wed Jan 9 2013,REG,,Valparaiso,Horizon,L,70,75,,10,6,L 2
17,Sat Jan 12 2013,REG,@,Green Bay,Horizon,L,47,53,,10,7,L 3
18,Wed Jan 16 2013,REG,,Loyola (IL),Horizon,W,61,59,,11,7,W 1
19,Sat Jan 19 2013,REG,@,Detroit Mercy,Horizon,L,47,98,,11,8,L 1
20,Wed Jan 23 2013,REG,,Milwaukee,Horizon,W,60,50,,12,8,W 1
21,Sat Jan 26 2013,REG,@,Wright State,Horizon,W,55,49,,13,8,W 2
22,Thu Jan 31 2013,REG,,Green Bay,Horizon,W,60,57,,14,8,W 3
23,Sat Feb 2 2013,REG,,Cleveland State,Horizon,L,66,77,,14,9,L 1
24,Tue Feb 5 2013,REG,@,Valparaiso,Horizon,L,61,86,,14,10,L 2
25,Sun Feb 10 2013,REG,@,Youngstown State,Horizon,W,88,83,3OT,15,10,W 1
26,Sat Feb 16 2013,REG,@,Loyola (IL),Horizon,L,60,69,,15,11,L 1
27,Wed Feb 20 2013,REG,@,Milwaukee,Horizon,L,53,64,,15,12,L 2
28,Sat Feb 23 2013,REG,,Bradley,MVC,L,62,63,,15,13,L 3
29,Tue Feb 26 2013,REG,,Wright State,Horizon,W,60,55,,16,13,W 1
30,Sat Mar 2 2013,REG,,Detroit Mercy,Horizon,L,67,79,,16,14,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Tue Mar 5 2013,CTOURN,,Cleveland State,Horizon,W,82,59,,17,14,W 1
32,Fri Mar 8 2013,CTOURN,N,Green Bay,Horizon,L,63,64,,17,15,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
33,Wed Mar 20 2013,CIT,,Chicago State,GWC,W,80,69,,18,15,W 1
34,Sat Mar 23 2013,CIT,@,Northern Iowa,MVC,L,51,63,,18,16,L 1
