G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Mon Nov 12 2012,REG,,California-Santa Barbara,Big West,W,100,72,,1,0,W 1
2,Thu Nov 15 2012,REG,@,Drexel,CAA,W,86,84,OT,2,0,W 2
3,Sun Nov 18 2012,REG,,Delaware State,MEAC,W,87,48,,3,0,W 3
4,Tue Nov 20 2012,REG,,Fairleigh Dickinson,NEC,W,91,58,,4,0,W 4
5,Fri Nov 23 2012,REG,N,Alabama-Birmingham,CUSA,W,77,65,,5,0,W 5
6,Sat Nov 24 2012,REG,N,Northwestern,Big Ten,L,69,72,OT,5,1,L 1
7,Sat Dec 1 2012,REG,@,Louisville,Big East,L,66,69,,5,2,L 2
8,Tue Dec 4 2012,REG,,Wyoming,MWC,L,67,81,,5,3,L 3
9,Sat Dec 8 2012,REG,,Western Michigan,MAC,W,85,63,,6,3,W 1
10,Sun Dec 16 2012,REG,,Morgan State,MEAC,W,87,68,,7,3,W 2
11,Wed Dec 19 2012,REG,@,Dayton,A-10,W,74,73,,8,3,W 3
12,Sat Dec 22 2012,REG,,Austin Peay,OVC,W,83,57,,9,3,W 4
13,Sun Dec 30 2012,REG,@,Indiana State,MVC,L,75,77,,9,4,L 1
14,Wed Jan 2 2013,REG,,Creighton,MVC,L,72,79,,9,5,L 2
15,Sat Jan 5 2013,REG,,Northern Iowa,MVC,L,60,70,,9,6,L 3
16,Tue Jan 8 2013,REG,@,Missouri State,MVC,L,55,62,,9,7,L 4
17,Sat Jan 12 2013,REG,,Drake,MVC,L,77,82,,9,8,L 5
18,Wed Jan 16 2013,REG,@,Wichita State,MVC,L,62,74,,9,9,L 6
19,Sun Jan 20 2013,REG,@,Southern Illinois,MVC,W,70,56,,10,9,W 1
20,Wed Jan 23 2013,REG,,Indiana State,MVC,W,60,58,,11,9,W 2
21,Sat Jan 26 2013,REG,,Evansville,MVC,W,67,62,,12,9,W 3
22,Tue Jan 29 2013,REG,@,Bradley,MVC,L,77,83,,12,10,L 1
23,Sat Feb 2 2013,REG,,Southern Illinois,MVC,W,83,47,,13,10,W 1
24,Wed Feb 6 2013,REG,@,Drake,MVC,W,94,86,,14,10,W 2
25,Sat Feb 9 2013,REG,@,Creighton,MVC,W,75,72,,15,10,W 3
26,Wed Feb 13 2013,REG,,Bradley,MVC,W,79,59,,16,10,W 4
27,Sun Feb 17 2013,REG,,Wichita State,MVC,L,67,68,,16,11,L 1
28,Wed Feb 20 2013,REG,@,Evansville,MVC,L,62,79,,16,12,L 2
29,Sat Feb 23 2013,REG,@,Utah State,WAC,L,71,80,,16,13,L 3
30,Wed Feb 27 2013,REG,,Missouri State,MVC,W,86,50,,17,13,W 1
31,Sat Mar 2 2013,REG,@,Northern Iowa,MVC,L,72,80,,17,14,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Fri Mar 8 2013,CTOURN,N,Northern Iowa,MVC,W,73,65,,18,14,W 1
33,Sat Mar 9 2013,CTOURN,N,Wichita State,MVC,L,51,66,,18,15,L 1
