G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,UCLA,Pac-12,L,59,86,,0,1,L 1
2,Tue Nov 13 2012,REG,,Winthrop,Big South,W,66,55,,1,1,W 1
3,Sat Nov 17 2012,REG,,Truman State,,W,70,57,,2,1,W 2
4,Tue Nov 20 2012,REG,@,Ball State,MAC,W,68,48,,3,1,W 3
5,Sun Nov 25 2012,REG,,High Point,Big South,W,76,62,,4,1,W 4
6,Sat Dec 1 2012,REG,,New Mexico,MWC,L,68,77,OT,4,2,L 1
7,Sat Dec 8 2012,REG,@,Morehead State,OVC,L,63,71,,4,3,L 2
8,Sat Dec 15 2012,REG,@,IUPUI,Summit,W,75,61,,5,3,W 1
9,Sat Dec 22 2012,REG,N,Mississippi,SEC,W,87,85,OT,6,3,W 2
10,Sun Dec 23 2012,REG,N,San Diego State,MWC,L,55,62,,6,4,L 1
11,Tue Dec 25 2012,REG,N,Miami (FL),ACC,W,57,55,OT,7,4,W 1
12,Sun Dec 30 2012,REG,,Illinois State,MVC,W,77,75,,8,4,W 2
13,Wed Jan 2 2013,REG,@,Northern Iowa,MVC,W,65,61,,9,4,W 3
14,Sat Jan 5 2013,REG,@,Creighton,MVC,L,66,79,,9,5,L 1
15,Wed Jan 9 2013,REG,,Bradley,MVC,W,68,53,,10,5,W 1
16,Sat Jan 12 2013,REG,@,Southern Illinois,MVC,L,71,76,,10,6,L 1
17,Wed Jan 16 2013,REG,,Missouri State,MVC,W,68,60,,11,6,W 1
18,Sat Jan 19 2013,REG,,Evansville,MVC,W,72,62,,12,6,W 2
19,Wed Jan 23 2013,REG,@,Illinois State,MVC,L,58,60,,12,7,L 1
20,Sat Jan 26 2013,REG,,Northern Iowa,MVC,W,59,58,,13,7,W 1
21,Tue Jan 29 2013,REG,@,Wichita State,MVC,W,68,55,,14,7,W 2
22,Sat Feb 2 2013,REG,@,Drake,MVC,L,71,74,OT,14,8,L 1
23,Wed Feb 6 2013,REG,,Creighton,MVC,W,76,57,,15,8,W 1
24,Sat Feb 9 2013,REG,,Southern Illinois,MVC,W,66,65,,16,8,W 2
25,Tue Feb 12 2013,REG,@,Missouri State,MVC,L,65,67,,16,9,L 1
26,Sat Feb 16 2013,REG,@,Bradley,MVC,L,68,80,,16,10,L 2
27,Tue Feb 19 2013,REG,,Wichita State,MVC,L,62,66,,16,11,L 3
28,Sat Feb 23 2013,REG,,Iona,MAAC,W,65,64,,17,11,W 1
29,Wed Feb 27 2013,REG,,Drake,MVC,L,56,67,,17,12,L 1
30,Sat Mar 2 2013,REG,@,Evansville,MVC,L,68,84,,17,13,L 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Fri Mar 8 2013,CTOURN,N,Evansville,MVC,W,51,50,,18,13,W 1
32,Sat Mar 9 2013,CTOURN,N,Creighton,MVC,L,43,64,,18,14,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
33,Wed Mar 20 2013,NIT,@,Iowa,Big Ten,L,52,68,,18,15,L 2
