G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Bryant,NEC,W,97,54,,1,0,W 1
2,Mon Nov 12 2012,REG,,North Dakota State,Summit,W,87,61,,2,0,W 2
3,Thu Nov 15 2012,REG,,Sam Houston State,Southland,W,99,45,,3,0,W 3
4,Mon Nov 19 2012,REG,N,Georgia,SEC,W,66,53,,4,0,W 4
5,Tue Nov 20 2012,REG,N,Georgetown,Big East,W,82,72,OT,5,0,W 5
6,Sun Nov 25 2012,REG,,Ball State,MAC,W,101,53,,6,0,W 6
7,Tue Nov 27 2012,REG,,North Carolina,ACC,W,83,59,,7,0,W 7
8,Sat Dec 1 2012,REG,,Coppin State,MEAC,W,87,51,,8,0,W 8
9,Sat Dec 8 2012,REG,,Central Connecticut State,NEC,W,100,69,,9,0,W 9
10,Sat Dec 15 2012,REG,N,Butler,A-10,L,86,88,OT,9,1,L 1
11,Wed Dec 19 2012,REG,,Mount St. Mary's,NEC,W,93,54,,10,1,W 1
12,Fri Dec 21 2012,REG,,Florida Atlantic,Sun Belt,W,88,52,,11,1,W 2
13,Fri Dec 28 2012,REG,,Jacksonville,A-Sun,W,93,59,,12,1,W 3
14,Mon Dec 31 2012,REG,@,Iowa,Big Ten,W,69,65,,13,1,W 4
15,Mon Jan 7 2013,REG,@,Penn State,Big Ten,W,74,51,,14,1,W 5
16,Sat Jan 12 2013,REG,,Minnesota,Big Ten,W,88,81,,15,1,W 6
17,Tue Jan 15 2013,REG,,Wisconsin,Big Ten,L,59,64,,15,2,L 1
18,Sun Jan 20 2013,REG,@,Northwestern,Big Ten,W,67,59,,16,2,W 1
19,Wed Jan 23 2013,REG,,Penn State,Big Ten,W,72,49,,17,2,W 2
20,Sun Jan 27 2013,REG,,Michigan State,Big Ten,W,75,70,,18,2,W 3
21,Wed Jan 30 2013,REG,@,Purdue,Big Ten,W,97,60,,19,2,W 4
22,Sat Feb 2 2013,REG,,Michigan,Big Ten,W,81,73,,20,2,W 5
23,Thu Feb 7 2013,REG,@,Illinois,Big Ten,L,72,74,,20,3,L 1
24,Sun Feb 10 2013,REG,@,Ohio State,Big Ten,W,81,68,,21,3,W 1
25,Wed Feb 13 2013,REG,,Nebraska,Big Ten,W,76,47,,22,3,W 2
26,Sat Feb 16 2013,REG,,Purdue,Big Ten,W,83,55,,23,3,W 3
27,Tue Feb 19 2013,REG,@,Michigan State,Big Ten,W,72,68,,24,3,W 4
28,Tue Feb 26 2013,REG,@,Minnesota,Big Ten,L,73,77,,24,4,L 1
29,Sat Mar 2 2013,REG,,Iowa,Big Ten,W,73,60,,25,4,W 1
30,Tue Mar 5 2013,REG,,Ohio State,Big Ten,L,58,67,,25,5,L 1
31,Sun Mar 10 2013,REG,@,Michigan,Big Ten,W,72,71,,26,5,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Fri Mar 15 2013,CTOURN,N,Illinois,Big Ten,W,80,64,,27,5,W 2
33,Sat Mar 16 2013,CTOURN,N,Wisconsin,Big Ten,L,56,68,,27,6,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
34,Fri Mar 22 2013,NCAA,N,James Madison,CAA,W,83,62,,28,6,W 1
35,Sun Mar 24 2013,NCAA,N,Temple,A-10,W,58,52,,29,6,W 2
36,Thu Mar 28 2013,NCAA,N,Syracuse,Big East,L,50,61,,29,7,L 1
