G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Texas-Pan American,GWC,W,86,55,,1,0,W 1
2,Mon Nov 12 2012,REG,,Central Michigan,MAC,W,73,61,,2,0,W 2
3,Thu Nov 15 2012,REG,,Howard,MEAC,W,66,36,,3,0,W 3
4,Sat Nov 17 2012,REG,,Gardner-Webb,Big South,W,65,56,,4,0,W 4
5,Tue Nov 20 2012,REG,N,Western Kentucky,Sun Belt,W,63,55,,5,0,W 5
6,Wed Nov 21 2012,REG,N,Wichita State,MVC,L,63,75,,5,1,L 1
7,Tue Nov 27 2012,REG,@,Virginia Tech,ACC,L,79,95,,5,2,L 2
8,Sat Dec 1 2012,REG,,Texas A&M-Corpus Christi,Southland,W,88,59,,6,2,W 1
9,Tue Dec 4 2012,REG,,South Dakota,Summit,W,87,63,,7,2,W 2
10,Fri Dec 7 2012,REG,,Iowa State,Big 12,W,80,71,,8,2,W 3
11,Sat Dec 15 2012,REG,N,Northern Iowa,MVC,W,80,73,,9,2,W 4
12,Wed Dec 19 2012,REG,,South Carolina State,MEAC,W,90,46,,10,2,W 5
13,Sat Dec 22 2012,REG,,Coppin State,MEAC,W,80,50,,11,2,W 6
14,Mon Dec 31 2012,REG,,Indiana,Big Ten,L,65,69,,11,3,L 1
15,Sun Jan 6 2013,REG,@,Michigan,Big Ten,L,67,95,,11,4,L 2
16,Thu Jan 10 2013,REG,,Michigan State,Big Ten,L,59,62,,11,5,L 3
17,Sun Jan 13 2013,REG,@,Northwestern,Big Ten,W,70,50,,12,5,W 1
18,Sat Jan 19 2013,REG,,Wisconsin,Big Ten,W,70,66,,13,5,W 2
19,Tue Jan 22 2013,REG,@,Ohio State,Big Ten,L,63,72,,13,6,L 1
20,Sun Jan 27 2013,REG,@,Purdue,Big Ten,L,62,65,OT,13,7,L 2
21,Thu Jan 31 2013,REG,,Penn State,Big Ten,W,76,67,,14,7,W 1
22,Sun Feb 3 2013,REG,@,Minnesota,Big Ten,L,59,62,,14,8,L 1
23,Wed Feb 6 2013,REG,@,Wisconsin,Big Ten,L,70,74,2OT,14,9,L 2
24,Sat Feb 9 2013,REG,,Northwestern,Big Ten,W,71,57,,15,9,W 1
25,Thu Feb 14 2013,REG,@,Penn State,Big Ten,W,74,72,,16,9,W 2
26,Sun Feb 17 2013,REG,,Minnesota,Big Ten,W,72,51,,17,9,W 3
27,Sat Feb 23 2013,REG,@,Nebraska,Big Ten,L,60,64,,17,10,L 1
28,Wed Feb 27 2013,REG,,Purdue,Big Ten,W,58,48,,18,10,W 1
29,Sat Mar 2 2013,REG,@,Indiana,Big Ten,L,60,73,,18,11,L 1
30,Tue Mar 5 2013,REG,,Illinois,Big Ten,W,63,55,,19,11,W 1
31,Sat Mar 9 2013,REG,,Nebraska,Big Ten,W,74,60,,20,11,W 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Thu Mar 14 2013,CTOURN,N,Northwestern,Big Ten,W,73,59,,21,11,W 3
33,Fri Mar 15 2013,CTOURN,N,Michigan State,Big Ten,L,56,59,,21,12,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
34,Wed Mar 20 2013,NIT,,Indiana State,MVC,W,68,52,,22,12,W 1
35,Fri Mar 22 2013,NIT,,Stony Brook,AEC,W,75,63,,23,12,W 2
36,Wed Mar 27 2013,NIT,@,Virginia,ACC,W,75,64,,24,12,W 3
37,Tue Apr 2 2013,NIT,N,Maryland,ACC,W,71,60,,25,12,W 4
38,Thu Apr 4 2013,NIT,N,Baylor,Big 12,L,54,74,,25,13,L 1
