G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sun Nov 11 2012,REG,@,Baylor,Big 12,L,47,78,,0,1,L 1
2,Wed Nov 21 2012,REG,@,Tulsa,CUSA,L,66,86,,0,2,L 2
3,Mon Nov 26 2012,REG,@,Texas Tech,Big 12,L,75,84,,0,3,L 3
4,Wed Nov 28 2012,REG,@,Air Force,MWC,L,47,76,,0,4,L 4
5,Sat Dec 8 2012,REG,@,North Texas,Sun Belt,L,65,83,,0,5,L 5
6,Tue Dec 11 2012,REG,@,Saint Mary's (CA),WCC,L,67,120,,0,6,L 6
7,Thu Dec 13 2012,REG,@,Washington State,Pac-12,L,41,52,,0,7,L 7
8,Sat Dec 15 2012,REG,@,Washington,Pac-12,L,67,75,,0,8,L 8
9,Mon Dec 17 2012,REG,@,Seattle,WAC,W,91,82,,1,8,W 1
10,Wed Jan 2 2013,REG,@,Alabama State,SWAC,L,66,70,,1,9,L 1
11,Fri Jan 4 2013,REG,@,Alabama A&M,SWAC,L,87,88,2OT,1,10,L 2
12,Sun Jan 6 2013,REG,,Alcorn State,SWAC,L,48,51,,1,11,L 3
13,Tue Jan 8 2013,REG,,Southern,SWAC,L,67,80,,1,12,L 4
14,Sat Jan 12 2013,REG,@,Texas Southern,SWAC,L,57,84,,1,13,L 5
15,Mon Jan 14 2013,REG,@,Prairie View,SWAC,L,59,73,,1,14,L 6
16,Sat Jan 19 2013,REG,@,Grambling,SWAC,W,57,46,,2,14,W 1
17,Sat Jan 26 2013,REG,,Mississippi Valley State,SWAC,W,60,57,,3,14,W 2
18,Mon Jan 28 2013,REG,,Arkansas-Pine Bluff,SWAC,W,82,67,,4,14,W 3
19,Sat Feb 2 2013,REG,@,Alcorn State,SWAC,W,84,71,,5,14,W 4
20,Mon Feb 4 2013,REG,@,Southern,SWAC,L,58,78,,5,15,L 1
21,Sat Feb 9 2013,REG,,Texas Southern,SWAC,L,54,61,,5,16,L 2
22,Mon Feb 11 2013,REG,,Prairie View,SWAC,W,65,60,,6,16,W 1
23,Sat Feb 16 2013,REG,,Grambling,SWAC,W,77,38,,7,16,W 2
24,Sat Feb 23 2013,REG,@,Mississippi Valley State,SWAC,W,90,71,,8,16,W 3
25,Mon Feb 25 2013,REG,@,Arkansas-Pine Bluff,SWAC,L,72,73,,8,17,L 1
26,Thu Feb 28 2013,REG,,Alabama State,SWAC,W,70,65,OT,9,17,W 1
27,Sat Mar 2 2013,REG,,Alabama A&M,SWAC,W,60,57,,10,17,W 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
28,Thu Mar 14 2013,CTOURN,N,Alabama State,SWAC,W,66,59,,11,17,W 3
29,Fri Mar 15 2013,CTOURN,N,Prairie View,SWAC,L,75,88,,11,18,L 1
