G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,North Dakota,Big Sky,W,85,52,,1,0,W 1
2,Mon Nov 12 2012,REG,,Lamar,Southland,W,79,55,,2,0,W 2
3,Tue Nov 13 2012,REG,N,Alabama-Huntsville,,W,87,26,,3,0,W 3
4,Sun Nov 18 2012,REG,,North Florida,A-Sun,W,74,55,,4,0,W 4
5,Wed Nov 21 2012,REG,N,Delaware,CAA,W,66,63,,5,0,W 5
6,Fri Nov 23 2012,REG,N,Michigan,Big Ten,L,57,71,,5,1,L 1
7,Sun Dec 2 2012,REG,,South Carolina Upstate,A-Sun,W,72,53,,6,1,W 1
8,Sat Dec 8 2012,REG,@,George Washington,A-10,W,65,62,,7,1,W 2
9,Sat Dec 15 2012,REG,N,Gonzaga,WCC,L,52,68,,7,2,L 1
10,Tue Dec 18 2012,REG,,Texas Southern,SWAC,W,78,69,,8,2,W 1
11,Sat Dec 22 2012,REG,N,Florida,SEC,W,67,61,,9,2,W 2
12,Sat Dec 29 2012,REG,,Missouri-Kansas City,Summit,W,52,44,,10,2,W 3
13,Mon Dec 31 2012,REG,,South Dakota,Summit,W,70,50,,11,2,W 4
14,Sat Jan 5 2013,REG,,Oklahoma State,Big 12,W,73,67,,12,2,W 5
15,Sat Jan 12 2013,REG,@,West Virginia,Big 12,W,65,64,,13,2,W 6
16,Wed Jan 16 2013,REG,@,Texas Christian,Big 12,W,67,54,,14,2,W 7
17,Sat Jan 19 2013,REG,,Oklahoma,Big 12,W,69,60,,15,2,W 8
18,Tue Jan 22 2013,REG,,Kansas,Big 12,L,55,59,,15,3,L 1
19,Sat Jan 26 2013,REG,@,Iowa State,Big 12,L,67,73,,15,4,L 2
20,Wed Jan 30 2013,REG,,Texas,Big 12,W,83,57,,16,4,W 1
21,Sat Feb 2 2013,REG,@,Oklahoma,Big 12,W,52,50,,17,4,W 2
22,Tue Feb 5 2013,REG,@,Texas Tech,Big 12,W,68,59,,18,4,W 3
23,Sat Feb 9 2013,REG,,Iowa State,Big 12,W,79,70,,19,4,W 4
24,Mon Feb 11 2013,REG,@,Kansas,Big 12,L,62,83,,19,5,L 1
25,Sat Feb 16 2013,REG,,Baylor,Big 12,W,81,61,,20,5,W 1
26,Mon Feb 18 2013,REG,,West Virginia,Big 12,W,71,61,,21,5,W 2
27,Sat Feb 23 2013,REG,@,Texas,Big 12,W,81,69,,22,5,W 3
28,Mon Feb 25 2013,REG,,Texas Tech,Big 12,W,75,55,,23,5,W 4
29,Sat Mar 2 2013,REG,@,Baylor,Big 12,W,64,61,,24,5,W 5
30,Tue Mar 5 2013,REG,,Texas Christian,Big 12,W,79,68,,25,5,W 6
31,Sat Mar 9 2013,REG,@,Oklahoma State,Big 12,L,70,76,,25,6,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Thu Mar 14 2013,CTOURN,N,Texas,Big 12,W,66,49,,26,6,W 1
33,Fri Mar 15 2013,CTOURN,N,Oklahoma State,Big 12,W,68,57,,27,6,W 2
34,Sat Mar 16 2013,CTOURN,N,Kansas,Big 12,L,54,70,,27,7,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
35,Fri Mar 22 2013,NCAA,N,La Salle,A-10,L,61,63,,27,8,L 2
