G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Southeast Missouri State,OVC,W,74,55,,1,0,W 1
2,Tue Nov 13 2012,REG,N,Michigan State,Big Ten,L,64,67,,1,1,L 1
3,Thu Nov 15 2012,REG,,Chattanooga,Southern,W,69,55,,2,1,W 1
4,Mon Nov 19 2012,REG,N,Washington State,Pac-12,W,78,41,,3,1,W 2
5,Tue Nov 20 2012,REG,N,Saint Louis,A-10,W,73,59,,4,1,W 3
6,Mon Nov 26 2012,REG,,San Jose State,WAC,W,70,57,,5,1,W 4
7,Fri Nov 30 2012,REG,N,Oregon State,Pac-12,W,84,78,,6,1,W 5
8,Sat Dec 8 2012,REG,,Colorado,Pac-12,W,90,54,,7,1,W 6
9,Sat Dec 15 2012,REG,,Belmont,OVC,W,89,60,,8,1,W 7
10,Tue Dec 18 2012,REG,,Richmond,A-10,W,87,59,,9,1,W 8
11,Sat Dec 22 2012,REG,@,Ohio State,Big Ten,W,74,66,,10,1,W 9
12,Sat Dec 29 2012,REG,,American,Patriot,W,89,57,,11,1,W 10
13,Sun Jan 6 2013,REG,,Temple,A-10,W,69,62,,12,1,W 11
14,Wed Jan 9 2013,REG,,Iowa State,Big 12,W,97,89,OT,13,1,W 12
15,Sat Jan 12 2013,REG,@,Texas Tech,Big 12,W,60,46,,14,1,W 13
16,Mon Jan 14 2013,REG,,Baylor,Big 12,W,61,44,,15,1,W 14
17,Sat Jan 19 2013,REG,@,Texas,Big 12,W,64,59,,16,1,W 15
18,Tue Jan 22 2013,REG,@,Kansas State,Big 12,W,59,55,,17,1,W 16
19,Sat Jan 26 2013,REG,,Oklahoma,Big 12,W,67,54,,18,1,W 17
20,Mon Jan 28 2013,REG,@,West Virginia,Big 12,W,61,56,,19,1,W 18
21,Sat Feb 2 2013,REG,,Oklahoma State,Big 12,L,80,85,,19,2,L 1
22,Wed Feb 6 2013,REG,@,Texas Christian,Big 12,L,55,62,,19,3,L 2
23,Sat Feb 9 2013,REG,@,Oklahoma,Big 12,L,66,72,,19,4,L 3
24,Mon Feb 11 2013,REG,,Kansas State,Big 12,W,83,62,,20,4,W 1
25,Sat Feb 16 2013,REG,,Texas,Big 12,W,73,47,,21,4,W 2
26,Wed Feb 20 2013,REG,@,Oklahoma State,Big 12,W,68,67,2OT,22,4,W 3
27,Sat Feb 23 2013,REG,,Texas Christian,Big 12,W,74,48,,23,4,W 4
28,Mon Feb 25 2013,REG,@,Iowa State,Big 12,W,108,96,OT,24,4,W 5
29,Sat Mar 2 2013,REG,,West Virginia,Big 12,W,91,65,,25,4,W 6
30,Mon Mar 4 2013,REG,,Texas Tech,Big 12,W,79,42,,26,4,W 7
31,Sat Mar 9 2013,REG,@,Baylor,Big 12,L,58,81,,26,5,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Thu Mar 14 2013,CTOURN,N,Texas Tech,Big 12,W,91,63,,27,5,W 1
33,Fri Mar 15 2013,CTOURN,N,Iowa State,Big 12,W,88,73,,28,5,W 2
34,Sat Mar 16 2013,CTOURN,N,Kansas State,Big 12,W,70,54,,29,5,W 3
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
35,Fri Mar 22 2013,NCAA,N,Western Kentucky,Sun Belt,W,64,57,,30,5,W 4
36,Sun Mar 24 2013,NCAA,N,North Carolina,ACC,W,70,58,,31,5,W 5
37,Fri Mar 29 2013,NCAA,N,Michigan,Big Ten,L,85,87,OT,31,6,L 1
