G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Mon Nov 12 2012,REG,@,Kansas State,Big 12,L,55,79,,0,1,L 1
2,Tue Nov 13 2012,REG,N,North Texas,Sun Belt,L,59,74,,0,2,L 2
3,Sat Nov 17 2012,REG,@,Charlotte,A-10,L,49,70,,0,3,L 3
4,Mon Nov 19 2012,REG,@,Virginia,ACC,L,44,63,,0,4,L 4
5,Tue Nov 20 2012,REG,N,IUPUI,Summit,W,86,82,,1,4,W 1
6,Sun Nov 25 2012,REG,@,Arkansas State,Sun Belt,L,53,93,,1,5,L 1
7,Tue Nov 27 2012,REG,@,Alabama,SEC,L,47,75,,1,6,L 2
8,Tue Dec 4 2012,REG,@,Purdue,Big Ten,L,39,72,,1,7,L 3
9,Tue Dec 11 2012,REG,@,Louisiana-Lafayette,Sun Belt,L,60,77,,1,8,L 4
10,Wed Dec 12 2012,REG,@,Baylor,Big 12,L,68,85,,1,9,L 5
11,Sat Dec 15 2012,REG,@,Texas-Pan American,GWC,L,70,75,,1,10,L 6
12,Sat Dec 29 2012,REG,,Long Island University,NEC,W,81,80,,2,10,W 1
13,Thu Jan 3 2013,REG,@,Stephen F. Austin,Southland,L,43,79,,2,11,L 1
14,Sat Jan 5 2013,REG,@,Northwestern State,Southland,L,58,86,,2,12,L 2
15,Mon Jan 7 2013,REG,,Southeastern Louisiana,Southland,L,63,67,,2,13,L 3
16,Thu Jan 10 2013,REG,,Sam Houston State,Southland,L,57,68,,2,14,L 4
17,Sat Jan 12 2013,REG,,Texas A&M-Corpus Christi,Southland,L,56,62,,2,15,L 5
18,Sat Jan 19 2013,REG,@,McNeese State,Southland,L,50,74,,2,16,L 6
19,Thu Jan 24 2013,REG,@,Oral Roberts,Southland,L,74,91,,2,17,L 7
20,Sat Jan 26 2013,REG,@,Central Arkansas,Southland,L,59,88,,2,18,L 8
21,Thu Jan 31 2013,REG,,Northwestern State,Southland,L,63,85,,2,19,L 9
22,Sat Feb 2 2013,REG,,Stephen F. Austin,Southland,L,51,65,,2,20,L 10
23,Thu Feb 7 2013,REG,@,Texas A&M-Corpus Christi,Southland,W,67,63,,3,20,W 1
24,Sat Feb 9 2013,REG,@,Sam Houston State,Southland,L,40,78,,3,21,L 1
25,Sat Feb 16 2013,REG,,McNeese State,Southland,L,62,69,,3,22,L 2
26,Tue Feb 19 2013,REG,,Nicholls State,Southland,L,63,74,,3,23,L 3
27,Sat Feb 23 2013,REG,,Texas State,WAC,L,61,74,,3,24,L 4
28,Thu Feb 28 2013,REG,,Central Arkansas,Southland,L,99,106,2OT,3,25,L 5
29,Sat Mar 2 2013,REG,,Oral Roberts,Southland,L,50,68,,3,26,L 6
30,Thu Mar 7 2013,REG,@,Nicholls State,Southland,L,63,90,,3,27,L 7
31,Sat Mar 9 2013,REG,@,Southeastern Louisiana,Southland,L,72,86,,3,28,L 8
