G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,Baylor,Big 12,L,77,99,,0,1,L 1
2,Mon Nov 12 2012,REG,N,Robert Morris,NEC,W,89,60,,1,1,W 1
3,Tue Nov 13 2012,REG,@,Pittsburgh,Big East,L,53,78,,1,2,L 1
4,Mon Nov 19 2012,REG,,Fairfield,MAAC,W,82,67,,2,2,W 1
5,Tue Nov 20 2012,REG,,Pennsylvania,Ivy,W,73,66,,3,2,W 2
6,Sun Nov 25 2012,REG,@,Sacred Heart,NEC,W,91,77,,4,2,W 3
7,Tue Nov 27 2012,REG,@,Quinnipiac,NEC,W,77,66,,5,2,W 4
8,Sat Dec 1 2012,REG,,Fairleigh Dickinson,NEC,W,102,62,,6,2,W 5
9,Tue Dec 4 2012,REG,,Fordham,A-10,W,81,63,,7,2,W 6
10,Sat Dec 8 2012,REG,@,Saint Francis (PA),NEC,W,83,67,,8,2,W 7
11,Thu Dec 20 2012,REG,@,North Texas,Sun Belt,W,90,75,,9,2,W 8
12,Sat Dec 29 2012,REG,,Bryant,NEC,L,79,80,,9,3,L 1
13,Sat Jan 5 2013,REG,@,Virginia Commonwealth,A-10,L,55,59,,9,4,L 2
14,Tue Jan 8 2013,REG,,Muhlenburg,,W,81,46,,10,4,W 1
15,Sat Jan 12 2013,REG,,Holy Cross,Patriot,W,79,47,,11,4,W 2
16,Wed Jan 16 2013,REG,@,American,Patriot,W,63,57,,12,4,W 3
17,Sat Jan 19 2013,REG,,Colgate,Patriot,W,60,45,,13,4,W 4
18,Wed Jan 23 2013,REG,@,Bucknell,Patriot,W,65,62,,14,4,W 5
19,Sun Jan 27 2013,REG,,Lafayette,Patriot,L,57,78,,14,5,L 1
20,Wed Jan 30 2013,REG,@,Navy,Patriot,W,71,49,,15,5,W 1
21,Sun Feb 3 2013,REG,@,Army,Patriot,W,85,76,,16,5,W 2
22,Sat Feb 9 2013,REG,@,Holy Cross,Patriot,W,68,61,,17,5,W 3
23,Wed Feb 13 2013,REG,,American,Patriot,W,60,47,,18,5,W 4
24,Sat Feb 16 2013,REG,@,Colgate,Patriot,L,60,64,,18,6,L 1
25,Mon Feb 18 2013,REG,,Bucknell,Patriot,L,55,61,,18,7,L 2
26,Sun Feb 24 2013,REG,@,Lafayette,Patriot,L,71,79,,18,8,L 3
27,Wed Feb 27 2013,REG,,Navy,Patriot,W,72,43,,19,8,W 1
28,Sat Mar 2 2013,REG,,Army,Patriot,W,81,75,,20,8,W 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
29,Wed Mar 6 2013,CTOURN,,Colgate,Patriot,W,71,64,,21,8,W 3
30,Sat Mar 9 2013,CTOURN,@,Lafayette,Patriot,L,69,82,,21,9,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Tue Mar 19 2013,CBI,@,Wyoming,MWC,L,66,67,,21,10,L 2
