G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,,North Alabama,,W,75,65,,1,0,W 1
2,Tue Nov 13 2012,REG,@,Southern California,Pac-12,L,44,62,,1,1,L 1
3,Fri Nov 16 2012,REG,,North Carolina,ACC,L,63,78,,1,2,L 2
4,Mon Nov 19 2012,REG,@,Arizona,Pac-12,L,72,94,,1,3,L 3
5,Sun Nov 25 2012,REG,@,Fresno State,MWC,W,69,61,,2,3,W 1
6,Thu Nov 29 2012,REG,@,Loyola Marymount,WCC,W,73,70,,3,3,W 2
7,Mon Dec 3 2012,REG,,Fresno State,MWC,L,59,64,,3,4,L 1
8,Thu Dec 6 2012,REG,@,Syracuse,Big East,L,53,84,,3,5,L 2
9,Sat Dec 8 2012,REG,@,Ohio State,Big Ten,L,55,89,,3,6,L 3
10,Sat Dec 15 2012,REG,,Brigham Young-Hawaii,,W,82,65,,4,6,W 1
11,Tue Dec 18 2012,REG,@,UCLA,Pac-12,L,70,89,,4,7,L 1
12,Sat Dec 29 2012,REG,,Pacific,Big West,W,67,63,,5,7,W 1
13,Thu Jan 3 2013,REG,@,Cal Poly,Big West,L,73,79,,5,8,L 1
14,Sat Jan 5 2013,REG,@,California-Santa Barbara,Big West,W,77,70,,6,8,W 1
15,Wed Jan 9 2013,REG,,Cal State Northridge,Big West,W,78,69,,7,8,W 2
16,Sat Jan 12 2013,REG,,Hawaii,Big West,W,76,72,,8,8,W 3
17,Thu Jan 17 2013,REG,@,California-Riverside,Big West,W,91,82,OT,9,8,W 4
18,Sat Jan 19 2013,REG,@,Cal State Fullerton,Big West,W,81,71,,10,8,W 5
19,Sat Jan 26 2013,REG,,California-Irvine,Big West,W,81,59,,11,8,W 6
20,Wed Jan 30 2013,REG,,California-Santa Barbara,Big West,W,57,55,,12,8,W 7
21,Sat Feb 2 2013,REG,,Cal Poly,Big West,W,50,48,,13,8,W 8
22,Thu Feb 7 2013,REG,@,Hawaii,Big West,L,73,94,,13,9,L 1
23,Sat Feb 9 2013,REG,@,Cal State Northridge,Big West,W,83,80,,14,9,W 1
24,Wed Feb 13 2013,REG,,Cal State Fullerton,Big West,W,85,65,,15,9,W 2
25,Sat Feb 16 2013,REG,,California-Riverside,Big West,W,75,35,,16,9,W 3
26,Wed Feb 20 2013,REG,,California-Davis,Big West,W,71,65,,17,9,W 4
27,Fri Feb 22 2013,REG,,Stephen F. Austin,Southland,L,60,68,,17,10,L 1
28,Sat Mar 2 2013,REG,@,California-Irvine,Big West,L,69,72,,17,11,L 2
29,Thu Mar 7 2013,REG,@,California-Davis,Big West,W,77,76,,18,11,W 1
30,Sat Mar 9 2013,REG,@,Pacific,Big West,L,51,71,,18,12,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Thu Mar 14 2013,CTOURN,N,Cal State Fullerton,Big West,W,75,66,,19,12,W 1
32,Fri Mar 15 2013,CTOURN,N,California-Irvine,Big West,L,60,67,,19,13,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
33,Wed Mar 20 2013,NIT,@,Baylor,Big 12,L,66,112,,19,14,L 2
