G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sun Nov 11 2012,REG,,Oakland,Summit,W,90,79,,1,0,W 1
2,Fri Nov 16 2012,REG,@,Texas Southern,SWAC,L,71,74,OT,1,1,L 1
3,Sun Nov 18 2012,REG,@,Boise State,MWC,L,57,63,,1,2,L 2
4,Wed Nov 21 2012,REG,,Southern-New Orleans,,W,76,66,,2,2,W 1
5,Fri Nov 23 2012,REG,@,New Mexico State,WAC,L,57,79,,2,3,L 1
6,Sun Nov 25 2012,REG,@,Michigan State,Big Ten,L,60,63,,2,4,L 2
7,Thu Nov 29 2012,REG,,Middle Tennessee,Sun Belt,L,58,72,,2,5,L 3
8,Sat Dec 1 2012,REG,@,North Texas,Sun Belt,W,80,76,,3,5,W 1
9,Sat Dec 8 2012,REG,@,McNeese State,Southland,L,72,77,,3,6,L 1
10,Tue Dec 11 2012,REG,,Lamar,Southland,W,77,60,,4,6,W 1
11,Sat Dec 15 2012,REG,@,Houston,CUSA,L,63,85,,4,7,L 1
12,Tue Dec 18 2012,REG,,Robert Morris,NEC,L,61,66,,4,8,L 2
13,Sat Dec 22 2012,REG,,Duquesne,A-10,W,91,79,,5,8,W 1
14,Thu Dec 27 2012,REG,@,Arkansas State,Sun Belt,L,70,87,,5,9,L 1
15,Sat Dec 29 2012,REG,,Arkansas-Little Rock,Sun Belt,W,79,70,,6,9,W 1
16,Thu Jan 3 2013,REG,@,Florida Atlantic,Sun Belt,L,70,75,,6,10,L 1
17,Sat Jan 5 2013,REG,@,Florida International,Sun Belt,L,70,75,,6,11,L 2
18,Thu Jan 10 2013,REG,,South Alabama,Sun Belt,L,89,91,2OT,6,12,L 3
19,Sat Jan 12 2013,REG,,Arkansas State,Sun Belt,W,61,56,,7,12,W 1
20,Thu Jan 17 2013,REG,@,Western Kentucky,Sun Belt,L,49,72,,7,13,L 1
21,Sat Jan 19 2013,REG,@,Middle Tennessee,Sun Belt,L,60,82,,7,14,L 2
22,Thu Jan 24 2013,REG,,Florida International,Sun Belt,L,75,80,,7,15,L 3
23,Thu Jan 31 2013,REG,,North Texas,Sun Belt,W,105,74,,8,15,W 1
24,Sat Feb 2 2013,REG,@,Troy,Sun Belt,L,52,71,,8,16,L 1
25,Sun Feb 10 2013,REG,,Louisiana-Monroe,Sun Belt,W,90,66,,9,16,W 1
26,Thu Feb 14 2013,REG,@,South Alabama,Sun Belt,L,64,88,,9,17,L 1
27,Sat Feb 16 2013,REG,,Florida Atlantic,Sun Belt,W,58,57,,10,17,W 1
28,Thu Feb 21 2013,REG,,Troy,Sun Belt,W,76,66,,11,17,W 2
29,Sat Feb 23 2013,REG,,Western Kentucky,Sun Belt,L,77,88,,11,18,L 1
30,Thu Feb 28 2013,REG,@,Arkansas-Little Rock,Sun Belt,L,68,77,,11,19,L 2
31,Sat Mar 2 2013,REG,@,Louisiana-Monroe,Sun Belt,W,71,63,,12,19,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Fri Mar 8 2013,CTOURN,N,North Texas,Sun Belt,W,74,55,,13,19,W 2
33,Sat Mar 9 2013,CTOURN,N,Middle Tennessee,Sun Belt,L,66,81,,13,20,L 1
