G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sun Nov 11 2012,REG,@,Oklahoma,Big 12,L,51,85,,0,1,L 1
2,Sat Nov 24 2012,REG,@,Louisiana Tech,WAC,L,52,68,,0,2,L 2
3,Thu Nov 29 2012,REG,,Western Kentucky,Sun Belt,L,54,65,,0,3,L 3
4,Sat Dec 1 2012,REG,@,Arkansas-Little Rock,Sun Belt,L,58,83,,0,4,L 4
5,Mon Dec 10 2012,REG,,Southeastern Louisiana,Southland,W,68,61,OT,1,4,W 1
6,Thu Dec 13 2012,REG,,Southern,SWAC,L,39,68,,1,5,L 1
7,Mon Dec 17 2012,REG,@,Florida State,ACC,L,48,63,,1,6,L 2
8,Thu Dec 20 2012,REG,@,Alabama-Birmingham,CUSA,L,69,76,,1,7,L 3
9,Sat Dec 29 2012,REG,,Florida Atlantic,Sun Belt,W,65,64,,2,7,W 1
10,Thu Jan 3 2013,REG,,South Alabama,Sun Belt,L,72,77,,2,8,L 1
11,Sat Jan 5 2013,REG,@,North Texas,Sun Belt,W,81,68,,3,8,W 1
12,Thu Jan 10 2013,REG,@,Troy,Sun Belt,L,55,64,,3,9,L 1
13,Sat Jan 12 2013,REG,,Middle Tennessee,Sun Belt,L,57,66,,3,10,L 2
14,Thu Jan 17 2013,REG,@,South Alabama,Sun Belt,L,56,71,,3,11,L 3
15,Sat Jan 19 2013,REG,@,Arkansas State,Sun Belt,L,39,63,,3,12,L 4
16,Sat Jan 26 2013,REG,,Troy,Sun Belt,L,64,71,OT,3,13,L 5
17,Thu Jan 31 2013,REG,@,Florida Atlantic,Sun Belt,L,71,76,,3,14,L 6
18,Sat Feb 2 2013,REG,@,Florida International,Sun Belt,L,73,76,,3,15,L 7
19,Thu Feb 7 2013,REG,,Arkansas-Little Rock,Sun Belt,L,60,70,,3,16,L 8
20,Sun Feb 10 2013,REG,@,Louisiana-Lafayette,Sun Belt,L,66,90,,3,17,L 9
21,Thu Feb 14 2013,REG,,North Texas,Sun Belt,W,85,73,,4,17,W 1
22,Sat Feb 16 2013,REG,,Arkansas State,Sun Belt,L,54,87,,4,18,L 1
23,Thu Feb 21 2013,REG,@,Western Kentucky,Sun Belt,L,57,75,,4,19,L 2
24,Sat Feb 23 2013,REG,@,Middle Tennessee,Sun Belt,L,46,87,,4,20,L 3
25,Thu Feb 28 2013,REG,,Florida International,Sun Belt,L,58,67,,4,21,L 4
26,Sat Mar 2 2013,REG,,Louisiana-Lafayette,Sun Belt,L,63,71,,4,22,L 5
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
27,Fri Mar 8 2013,CTOURN,N,Western Kentucky,Sun Belt,L,60,74,,4,23,L 6
