G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,California-Santa Barbara,Big West,W,77,63,,1,0,W 1
2,Tue Nov 13 2012,REG,,McNeese State,Southland,W,73,48,,2,0,W 2
3,Tue Nov 20 2012,REG,,Northwestern State,Southland,W,102,95,,3,0,W 3
4,Sat Nov 24 2012,REG,,Mississippi Valley State,SWAC,W,75,50,,4,0,W 4
5,Thu Nov 29 2012,REG,,Seton Hall,Big East,W,72,67,,5,0,W 5
6,Tue Dec 11 2012,REG,,Chattanooga,Southern,W,80,67,,6,0,W 6
7,Fri Dec 14 2012,REG,@,Boise State,MWC,L,70,89,,6,1,L 1
8,Tue Dec 18 2012,REG,@,California-Irvine,Big West,W,66,60,,7,1,W 1
9,Sat Dec 22 2012,REG,@,Marquette,Big East,L,80,84,,7,2,L 1
10,Fri Dec 28 2012,REG,,Houston Baptist,GWC,W,75,58,,8,2,W 1
11,Sat Jan 5 2013,REG,,Bethune-Cookman,MEAC,W,79,63,,9,2,W 2
12,Wed Jan 9 2013,REG,@,Auburn,SEC,L,63,68,,9,3,L 1
13,Sat Jan 12 2013,REG,,Florida,SEC,L,52,74,,9,4,L 2
14,Wed Jan 16 2013,REG,,South Carolina,SEC,L,73,82,OT,9,5,L 3
15,Sat Jan 19 2013,REG,@,Georgia,SEC,L,58,67,,9,6,L 4
16,Wed Jan 23 2013,REG,,Texas A&M,SEC,W,58,54,,10,6,W 1
17,Sat Jan 26 2013,REG,@,Kentucky,SEC,L,70,75,,10,7,L 1
18,Wed Jan 30 2013,REG,,Missouri,SEC,W,73,70,,11,7,W 1
19,Sat Feb 2 2013,REG,@,Mississippi State,SEC,W,69,68,,12,7,W 2
20,Wed Feb 6 2013,REG,,Vanderbilt,SEC,W,57,56,,13,7,W 3
21,Sat Feb 9 2013,REG,@,Alabama,SEC,L,57,60,,13,8,L 1
22,Thu Feb 14 2013,REG,@,South Carolina,SEC,W,64,46,,14,8,W 1
23,Sat Feb 16 2013,REG,,Mississippi State,SEC,W,80,68,,15,8,W 2
24,Tue Feb 19 2013,REG,@,Tennessee,SEC,L,72,82,,15,9,L 1
25,Sat Feb 23 2013,REG,,Alabama,SEC,W,97,94,3OT,16,9,W 1
26,Wed Feb 27 2013,REG,,Arkansas,SEC,W,65,60,,17,9,W 2
27,Sat Mar 2 2013,REG,@,Missouri,SEC,L,76,89,,17,10,L 1
28,Wed Mar 6 2013,REG,@,Texas A&M,SEC,W,68,57,,18,10,W 1
29,Sat Mar 9 2013,REG,,Mississippi,SEC,L,67,81,,18,11,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
30,Thu Mar 14 2013,CTOURN,N,Georgia,SEC,W,68,63,,19,11,W 1
31,Fri Mar 15 2013,CTOURN,N,Florida,SEC,L,58,80,,19,12,L 1
