G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sun Nov 11 2012,REG,,Manhattan,MAAC,W,79,51,,1,0,W 1
2,Thu Nov 15 2012,REG,,Samford,Southern,W,80,54,,2,0,W 2
3,Sun Nov 18 2012,REG,,Miami (OH),MAC,W,80,39,,3,0,W 3
4,Thu Nov 22 2012,REG,N,Northern Iowa,MVC,W,51,46,,4,0,W 4
5,Fri Nov 23 2012,REG,N,Missouri,SEC,W,84,61,,5,0,W 5
6,Sat Nov 24 2012,REG,N,Duke,ACC,L,71,76,,5,1,L 1
7,Sat Dec 1 2012,REG,,Illinois State,MVC,W,69,66,,6,1,W 1
8,Tue Dec 4 2012,REG,@,College of Charleston,Southern,W,80,38,,7,1,W 2
9,Sat Dec 8 2012,REG,,Missouri-Kansas City,Summit,W,99,47,,8,1,W 3
10,Sat Dec 15 2012,REG,@,Memphis,CUSA,W,87,78,,9,1,W 4
11,Wed Dec 19 2012,REG,,Florida International,Sun Belt,W,79,55,,10,1,W 5
12,Sat Dec 22 2012,REG,N,Western Kentucky,Sun Belt,W,78,55,,11,1,W 6
13,Sat Dec 29 2012,REG,,Kentucky,SEC,W,80,77,,12,1,W 7
14,Wed Jan 2 2013,REG,,Providence,Big East,W,80,62,,13,1,W 8
15,Wed Jan 9 2013,REG,@,Seton Hall,Big East,W,73,58,,14,1,W 9
16,Sat Jan 12 2013,REG,,South Florida,Big East,W,64,38,,15,1,W 10
17,Mon Jan 14 2013,REG,@,Connecticut,Big East,W,73,58,,16,1,W 11
18,Sat Jan 19 2013,REG,,Syracuse,Big East,L,68,70,,16,2,L 1
19,Tue Jan 22 2013,REG,@,Villanova,Big East,L,64,73,,16,3,L 2
20,Sat Jan 26 2013,REG,@,Georgetown,Big East,L,51,53,,16,4,L 3
21,Mon Jan 28 2013,REG,,Pittsburgh,Big East,W,64,61,,17,4,W 1
22,Sun Feb 3 2013,REG,,Marquette,Big East,W,70,51,,18,4,W 2
23,Wed Feb 6 2013,REG,@,Rutgers,Big East,W,68,48,,19,4,W 3
24,Sat Feb 9 2013,REG,@,Notre Dame,Big East,L,101,104,5OT,19,5,L 1
25,Thu Feb 14 2013,REG,,St. John's (NY),Big East,W,72,58,,20,5,W 1
26,Sun Feb 17 2013,REG,@,South Florida,Big East,W,59,41,,21,5,W 2
27,Sat Feb 23 2013,REG,,Seton Hall,Big East,W,79,61,,22,5,W 3
28,Wed Feb 27 2013,REG,@,DePaul,Big East,W,79,58,,23,5,W 4
29,Sat Mar 2 2013,REG,@,Syracuse,Big East,W,58,53,,24,5,W 5
30,Mon Mar 4 2013,REG,,Cincinnati,Big East,W,67,51,,25,5,W 6
31,Sat Mar 9 2013,REG,,Notre Dame,Big East,W,73,57,,26,5,W 7
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Thu Mar 14 2013,CTOURN,N,Villanova,Big East,W,74,55,,27,5,W 8
33,Fri Mar 15 2013,CTOURN,N,Notre Dame,Big East,W,69,57,,28,5,W 9
34,Sat Mar 16 2013,CTOURN,N,Syracuse,Big East,W,78,61,,29,5,W 10
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
35,Thu Mar 21 2013,NCAA,N,North Carolina A&T,MEAC,W,79,48,,30,5,W 11
36,Sat Mar 23 2013,NCAA,N,Colorado State,MWC,W,82,56,,31,5,W 12
37,Fri Mar 29 2013,NCAA,N,Oregon,Pac-12,W,77,69,,32,5,W 13
38,Sun Mar 31 2013,NCAA,N,Duke,ACC,W,85,63,,33,5,W 14
39,Sat Apr 6 2013,NCAA,N,Wichita State,MVC,W,72,68,,34,5,W 15
40,Mon Apr 8 2013,NCAA,N,Michigan,Big Ten,W,82,76,,35,5,W 16
