G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Pacifica,,W,108,49,,1,0,W 1
2,Sun Nov 11 2012,REG,@,Southern Methodist,CUSA,L,58,73,,1,1,L 1
3,Sat Nov 17 2012,REG,@,Cal State Bakersfield,Ind,W,76,73,,2,1,W 1
4,Thu Nov 22 2012,REG,N,Oral Roberts,Southland,L,66,75,,2,2,L 1
5,Fri Nov 23 2012,REG,N,Texas State,WAC,W,78,63,,3,2,W 1
6,Sat Nov 24 2012,REG,@,Alaska-Anchorage,,L,77,83,,3,3,L 1
7,Thu Nov 29 2012,REG,,Long Beach State,Big West,L,70,73,,3,4,L 2
8,Sat Dec 1 2012,REG,,Portland State,Big Sky,W,66,56,,4,4,W 1
9,Wed Dec 5 2012,REG,@,Northern Arizona,Big Sky,W,92,86,OT,5,4,W 2
10,Wed Dec 19 2012,REG,,Mississippi,SEC,L,70,73,,5,5,L 1
11,Sat Dec 22 2012,REG,@,Saint Louis,A-10,L,44,65,,5,6,L 2
12,Thu Dec 27 2012,REG,,Morgan State,MEAC,W,79,62,,6,6,W 1
13,Sat Dec 29 2012,REG,,Cal State Bakersfield,Ind,W,73,66,,7,6,W 2
14,Thu Jan 3 2013,REG,@,Brigham Young,WCC,L,51,92,,7,7,L 1
15,Sat Jan 5 2013,REG,@,Saint Mary's (CA),WCC,L,61,74,,7,8,L 2
16,Thu Jan 10 2013,REG,,Santa Clara,WCC,W,84,80,,8,8,W 1
17,Sat Jan 12 2013,REG,,Portland,WCC,L,64,68,,8,9,L 1
18,Wed Jan 16 2013,REG,@,San Diego,WCC,L,70,78,,8,10,L 2
19,Sat Jan 19 2013,REG,@,San Francisco,WCC,L,53,62,,8,11,L 3
20,Thu Jan 24 2013,REG,,Pepperdine,WCC,L,57,60,,8,12,L 4
21,Thu Jan 31 2013,REG,,Gonzaga,WCC,L,43,88,,8,13,L 5
22,Mon Feb 4 2013,REG,,San Diego,WCC,L,68,69,OT,8,14,L 6
23,Thu Feb 7 2013,REG,@,Portland,WCC,L,60,69,,8,15,L 7
24,Sat Feb 9 2013,REG,@,Gonzaga,WCC,L,55,74,,8,16,L 8
25,Thu Feb 14 2013,REG,@,Pepperdine,WCC,L,50,52,,8,17,L 9
26,Sat Feb 16 2013,REG,,Saint Mary's (CA),WCC,L,50,61,,8,18,L 10
27,Thu Feb 21 2013,REG,,San Francisco,WCC,L,59,61,,8,19,L 11
28,Sat Feb 23 2013,REG,@,Cal Poly,Big West,L,60,63,,8,20,L 12
29,Thu Feb 28 2013,REG,@,Santa Clara,WCC,L,56,79,,8,21,L 13
30,Sat Mar 2 2013,REG,,Brigham Young,WCC,L,70,73,,8,22,L 14
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Wed Mar 6 2013,CTOURN,N,Portland,WCC,W,65,54,,9,22,W 1
32,Thu Mar 7 2013,CTOURN,N,San Francisco,WCC,W,61,60,OT,10,22,W 2
33,Fri Mar 8 2013,CTOURN,N,Santa Clara,WCC,W,60,58,,11,22,W 3
34,Sat Mar 9 2013,CTOURN,N,Gonzaga,WCC,L,48,66,,11,23,L 1
