G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,@,Dartmouth,Ivy,L,54,67,,0,1,L 1
2,Wed Nov 14 2012,REG,@,Holy Cross,Patriot,L,54,57,,0,2,L 2
3,Sat Nov 17 2012,REG,,Brown,Ivy,L,68,70,,0,3,L 3
4,Wed Nov 21 2012,REG,@,Seton Hall,Big East,L,49,76,,0,4,L 4
5,Sun Nov 25 2012,REG,,Siena,MAAC,W,72,66,,1,4,W 1
6,Wed Nov 28 2012,REG,@,Northeastern,CAA,W,76,73,,2,4,W 2
7,Sat Dec 1 2012,REG,@,Duquesne,A-10,L,73,87,,2,5,L 1
8,Thu Dec 6 2012,REG,,Fisher College,,W,97,42,,3,5,W 1
9,Sun Dec 9 2012,REG,@,Florida State,ACC,L,59,91,,3,6,L 1
10,Fri Dec 14 2012,REG,@,Army,Patriot,L,67,96,,3,7,L 2
11,Sun Dec 16 2012,REG,@,Marist,MAAC,L,69,94,,3,8,L 3
12,Sat Dec 22 2012,REG,,Florida Gulf Coast,A-Sun,W,84,78,,4,8,W 1
13,Sat Dec 29 2012,REG,@,Quinnipiac,NEC,W,76,71,,5,8,W 2
14,Wed Jan 2 2013,REG,,Boston University,AEC,W,63,58,,6,8,W 3
15,Sat Jan 5 2013,REG,,Maryland-Baltimore County,AEC,W,81,66,,7,8,W 4
16,Wed Jan 9 2013,REG,@,Hartford,AEC,L,61,68,,7,9,L 1
17,Sat Jan 12 2013,REG,@,Albany (NY),AEC,L,63,76,,7,10,L 2
18,Sat Jan 19 2013,REG,,Binghamton,AEC,L,56,57,,7,11,L 3
19,Tue Jan 22 2013,REG,,Vermont,AEC,W,71,68,,8,11,W 1
20,Sat Jan 26 2013,REG,@,Stony Brook,AEC,L,69,79,,8,12,L 1
21,Wed Jan 30 2013,REG,,New Hampshire,AEC,L,54,57,,8,13,L 2
22,Sat Feb 2 2013,REG,@,Maryland-Baltimore County,AEC,L,67,68,,8,14,L 3
23,Tue Feb 5 2013,REG,@,Boston University,AEC,L,72,79,,8,15,L 4
24,Sat Feb 9 2013,REG,,Albany (NY),AEC,W,66,52,,9,15,W 1
25,Wed Feb 13 2013,REG,,Hartford,AEC,W,66,64,,10,15,W 2
26,Sat Feb 16 2013,REG,@,Binghamton,AEC,W,64,60,,11,15,W 3
27,Wed Feb 20 2013,REG,@,Vermont,AEC,L,61,73,,11,16,L 1
28,Sun Feb 24 2013,REG,,Stony Brook,AEC,L,53,69,,11,17,L 2
29,Sun Mar 3 2013,REG,@,New Hampshire,AEC,L,74,79,,11,18,L 3
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
30,Sat Mar 9 2013,CTOURN,@,Albany (NY),AEC,L,49,50,,11,19,L 4
