G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sun Nov 11 2012,REG,@,Louisville,Big East,L,51,79,,0,1,L 1
2,Fri Nov 16 2012,REG,@,Harvard,Ivy,L,45,79,,0,2,L 2
3,Wed Nov 21 2012,REG,,Hofstra,CAA,W,67,56,,1,2,W 1
4,Sat Nov 24 2012,REG,@,Dayton,A-10,L,58,66,,1,3,L 1
5,Thu Nov 29 2012,REG,@,Fordham,A-10,W,65,58,,2,3,W 1
6,Sun Dec 2 2012,REG,N,George Washington,A-10,L,55,67,,2,4,L 1
7,Fri Dec 7 2012,REG,@,Marist,MAAC,L,58,62,,2,5,L 2
8,Sun Dec 9 2012,REG,,Siena,MAAC,W,75,55,,3,5,W 1
9,Sun Dec 16 2012,REG,@,Long Island University,NEC,L,48,75,,3,6,L 1
10,Sat Dec 22 2012,REG,N,South Carolina,SEC,L,57,63,,3,7,L 2
11,Sat Dec 29 2012,REG,@,Columbia,Ivy,L,58,69,,3,8,L 3
12,Tue Jan 1 2013,REG,,Stony Brook,AEC,L,44,50,,3,9,L 4
13,Fri Jan 4 2013,REG,@,Saint Peter's,MAAC,W,55,53,,4,9,W 1
14,Sun Jan 6 2013,REG,@,Iona,MAAC,L,70,78,,4,10,L 1
15,Thu Jan 10 2013,REG,,Rider,MAAC,L,60,69,,4,11,L 2
16,Sun Jan 13 2013,REG,,Marist,MAAC,W,65,53,,5,11,W 1
17,Thu Jan 17 2013,REG,@,Canisius,MAAC,L,60,64,,5,12,L 1
18,Sat Jan 19 2013,REG,@,Niagara,MAAC,L,60,64,,5,13,L 2
19,Fri Jan 25 2013,REG,,Loyola (MD),MAAC,L,41,51,,5,14,L 3
20,Sun Jan 27 2013,REG,@,Rider,MAAC,W,62,51,,6,14,W 1
21,Fri Feb 1 2013,REG,@,Siena,MAAC,L,63,66,,6,15,L 1
22,Sun Feb 3 2013,REG,,Saint Peter's,MAAC,W,57,49,,7,15,W 1
23,Thu Feb 7 2013,REG,,Canisius,MAAC,W,67,54,,8,15,W 2
24,Tue Feb 12 2013,REG,@,Fairfield,MAAC,W,62,40,,9,15,W 3
25,Fri Feb 15 2013,REG,,Iona,MAAC,W,74,73,2OT,10,15,W 4
26,Sun Feb 17 2013,REG,,Niagara,MAAC,L,56,60,,10,16,L 1
27,Sat Feb 23 2013,REG,@,Buffalo,MAC,W,65,64,,11,16,W 1
28,Fri Mar 1 2013,REG,,Fairfield,MAAC,W,34,31,,12,16,W 2
29,Sun Mar 3 2013,REG,@,Loyola (MD),MAAC,L,61,63,,12,17,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
30,Sat Mar 9 2013,CTOURN,N,Loyola (MD),MAAC,W,55,52,,13,17,W 1
31,Sun Mar 10 2013,CTOURN,N,Fairfield,MAAC,W,60,42,,14,17,W 2
32,Mon Mar 11 2013,CTOURN,N,Iona,MAAC,L,57,60,,14,18,L 1
