G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Stony Brook,AEC,L,57,60,,0,1,L 1
2,Wed Nov 14 2012,REG,@,Colgate,Patriot,L,60,74,,0,2,L 2
3,Sat Nov 17 2012,REG,@,Columbia,Ivy,W,67,62,,1,2,W 1
4,Thu Nov 22 2012,REG,N,West Virginia,Big 12,L,44,87,,1,3,L 1
5,Fri Nov 23 2012,REG,N,Vanderbilt,SEC,W,50,33,,2,3,W 1
6,Sun Nov 25 2012,REG,N,Clemson,ACC,L,44,59,,2,4,L 1
7,Tue Dec 4 2012,REG,@,Army,Patriot,L,57,91,,2,5,L 2
8,Fri Dec 7 2012,REG,,Manhattan,MAAC,W,62,58,,3,5,W 1
9,Sun Dec 9 2012,REG,,Canisius,MAAC,L,82,94,,3,6,L 1
10,Sun Dec 16 2012,REG,,Maine,AEC,W,94,69,,4,6,W 1
11,Wed Dec 19 2012,REG,@,Bucknell,Patriot,L,65,71,,4,7,L 1
12,Sat Dec 22 2012,REG,@,Hartford,AEC,L,46,56,,4,8,L 2
13,Mon Dec 31 2012,REG,,College of Charleston,Southern,L,75,85,,4,9,L 3
14,Thu Jan 3 2013,REG,@,Niagara,MAAC,L,72,94,,4,10,L 4
15,Sat Jan 5 2013,REG,@,Canisius,MAAC,L,64,73,,4,11,L 5
16,Thu Jan 10 2013,REG,,Iona,MAAC,L,82,86,,4,12,L 6
17,Sun Jan 13 2013,REG,@,Manhattan,MAAC,L,53,65,,4,13,L 7
18,Thu Jan 17 2013,REG,@,Loyola (MD),MAAC,L,58,72,,4,14,L 8
19,Sat Jan 19 2013,REG,,Saint Peter's,MAAC,W,59,48,,5,14,W 1
20,Thu Jan 24 2013,REG,@,Fairfield,MAAC,L,37,71,,5,15,L 1
21,Sun Jan 27 2013,REG,,Siena,MAAC,L,75,79,,5,16,L 2
22,Thu Jan 31 2013,REG,@,Saint Peter's,MAAC,L,68,70,OT,5,17,L 3
23,Sun Feb 3 2013,REG,,Rider,MAAC,L,58,64,,5,18,L 4
24,Thu Feb 7 2013,REG,@,Iona,MAAC,W,105,104,2OT,6,18,W 1
25,Sun Feb 10 2013,REG,,Loyola (MD),MAAC,W,69,64,,7,18,W 2
26,Fri Feb 15 2013,REG,,Niagara,MAAC,L,54,57,,7,19,L 1
27,Sun Feb 17 2013,REG,@,Rider,MAAC,L,63,67,,7,20,L 2
28,Sat Feb 23 2013,REG,,Virginia Military Institute,Big South,W,112,74,,8,20,W 1
29,Fri Mar 1 2013,REG,@,Siena,MAAC,W,76,74,,9,20,W 2
30,Sun Mar 3 2013,REG,,Fairfield,MAAC,W,73,60,,10,20,W 3
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Fri Mar 8 2013,CTOURN,N,Siena,MAAC,L,64,70,,10,21,L 1
