G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sun Nov 11 2012,REG,,Colgate,Patriot,W,84,63,,1,0,W 1
2,Tue Nov 13 2012,REG,,Southeastern Louisiana,Southland,W,64,53,,2,0,W 2
3,Mon Nov 19 2012,REG,N,Butler,A-10,L,71,72,,2,1,L 1
4,Tue Nov 20 2012,REG,N,Mississippi State,SEC,W,89,62,,3,1,W 1
5,Wed Nov 21 2012,REG,N,Southern California,Pac-12,W,72,64,,4,1,W 2
6,Mon Nov 26 2012,REG,,Maryland-Baltimore County,AEC,W,79,46,,5,1,W 3
7,Thu Nov 29 2012,REG,@,Florida,SEC,L,49,82,,5,2,L 1
8,Sat Dec 8 2012,REG,,Wisconsin,Big Ten,W,60,50,,6,2,W 1
9,Sat Dec 15 2012,REG,,Savannah State,MEAC,W,71,51,,7,2,W 2
10,Wed Dec 19 2012,REG,@,Green Bay,Horizon,L,47,49,,7,3,L 1
11,Sat Dec 22 2012,REG,,Louisiana State,SEC,W,84,80,,8,3,W 1
12,Sat Dec 29 2012,REG,,North Carolina Central,MEAC,W,75,66,,9,3,W 2
13,Tue Jan 1 2013,REG,,Connecticut,Big East,W,82,76,OT,10,3,W 3
14,Sat Jan 5 2013,REG,,Georgetown,Big East,W,49,48,,11,3,W 4
15,Sat Jan 12 2013,REG,@,Pittsburgh,Big East,W,74,67,OT,12,3,W 5
16,Wed Jan 16 2013,REG,,Seton Hall,Big East,W,69,62,,13,3,W 6
17,Sat Jan 19 2013,REG,@,Cincinnati,Big East,L,69,71,OT,13,4,L 1
18,Sat Jan 26 2013,REG,,Providence,Big East,W,81,71,,14,4,W 1
19,Mon Jan 28 2013,REG,,South Florida,Big East,W,63,50,,15,4,W 2
20,Sun Feb 3 2013,REG,@,Louisville,Big East,L,51,70,,15,5,L 1
21,Wed Feb 6 2013,REG,@,South Florida,Big East,W,70,47,,16,5,W 1
22,Sat Feb 9 2013,REG,,DePaul,Big East,W,89,78,,17,5,W 2
23,Mon Feb 11 2013,REG,@,Georgetown,Big East,L,55,63,,17,6,L 1
24,Sat Feb 16 2013,REG,,Pittsburgh,Big East,W,79,69,,18,6,W 1
25,Tue Feb 19 2013,REG,@,Seton Hall,Big East,W,67,46,,19,6,W 2
26,Sat Feb 23 2013,REG,@,Villanova,Big East,L,56,60,,19,7,L 1
27,Mon Feb 25 2013,REG,,Syracuse,Big East,W,74,71,,20,7,W 1
28,Sat Mar 2 2013,REG,,Notre Dame,Big East,W,72,64,,21,7,W 2
29,Tue Mar 5 2013,REG,@,Rutgers,Big East,W,60,54,,22,7,W 3
30,Sat Mar 9 2013,REG,@,St. John's (NY),Big East,W,69,67,OT,23,7,W 4
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Thu Mar 14 2013,CTOURN,N,Notre Dame,Big East,L,65,73,,23,8,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Thu Mar 21 2013,NCAA,N,Davidson,Southern,W,59,58,,24,8,W 1
33,Sat Mar 23 2013,NCAA,N,Butler,A-10,W,74,72,,25,8,W 2
34,Thu Mar 28 2013,NCAA,N,Miami (FL),ACC,W,71,61,,26,8,W 3
35,Sat Mar 30 2013,NCAA,N,Syracuse,Big East,L,39,55,,26,9,L 1
