G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,N,Kentucky,SEC,L,69,72,,0,1,L 1
2,Mon Nov 12 2012,REG,,Morehead State,OVC,W,67,45,,1,1,W 1
3,Fri Nov 16 2012,REG,,Long Island University,NEC,W,91,74,,2,1,W 2
4,Tue Nov 20 2012,REG,,Lafayette,Patriot,W,83,74,,3,1,W 3
5,Sat Nov 24 2012,REG,,Georgia Southern,Southern,W,70,53,,4,1,W 4
6,Tue Nov 27 2012,REG,@,Northwestern,Big Ten,W,77,57,,5,1,W 5
7,Sun Dec 2 2012,REG,N,George Mason,CAA,W,69,62,,6,1,W 6
8,Wed Dec 5 2012,REG,,Maryland-Eastern Shore,MEAC,W,100,68,,7,1,W 7
9,Sat Dec 8 2012,REG,,South Carolina State,MEAC,W,61,46,,8,1,W 8
10,Wed Dec 12 2012,REG,,Monmouth,NEC,W,71,38,,9,1,W 9
11,Fri Dec 21 2012,REG,,Stony Brook,AEC,W,76,69,,10,1,W 10
12,Sat Dec 29 2012,REG,,Delaware State,MEAC,W,79,50,,11,1,W 11
13,Tue Jan 1 2013,REG,,IUPUI,Summit,W,81,63,,12,1,W 12
14,Sat Jan 5 2013,REG,,Virginia Tech,ACC,W,94,71,,13,1,W 13
15,Wed Jan 9 2013,REG,,Florida State,ACC,L,62,65,,13,2,L 1
16,Sun Jan 13 2013,REG,@,Miami (FL),ACC,L,47,54,,13,3,L 2
17,Wed Jan 16 2013,REG,,North Carolina State,ACC,W,51,50,,14,3,W 1
18,Sat Jan 19 2013,REG,@,North Carolina,ACC,L,52,62,,14,4,L 1
19,Tue Jan 22 2013,REG,,Boston College,ACC,W,64,59,,15,4,W 1
20,Sat Jan 26 2013,REG,@,Duke,ACC,L,64,84,,15,5,L 1
21,Wed Jan 30 2013,REG,@,Florida State,ACC,L,71,73,,15,6,L 2
22,Sat Feb 2 2013,REG,,Wake Forest,ACC,W,86,60,,16,6,W 1
23,Thu Feb 7 2013,REG,@,Virginia Tech,ACC,W,60,55,,17,6,W 2
24,Sun Feb 10 2013,REG,,Virginia,ACC,L,69,80,,17,7,L 1
25,Sat Feb 16 2013,REG,,Duke,ACC,W,83,81,,18,7,W 1
26,Tue Feb 19 2013,REG,@,Boston College,ACC,L,58,69,,18,8,L 1
27,Sat Feb 23 2013,REG,,Clemson,ACC,W,72,59,,19,8,W 1
28,Wed Feb 27 2013,REG,@,Georgia Tech,ACC,L,68,78,,19,9,L 1
29,Sat Mar 2 2013,REG,@,Wake Forest,ACC,W,67,57,,20,9,W 1
30,Wed Mar 6 2013,REG,,North Carolina,ACC,L,68,79,,20,10,L 1
31,Sun Mar 10 2013,REG,@,Virginia,ACC,L,58,61,OT,20,11,L 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Thu Mar 14 2013,CTOURN,N,Wake Forest,ACC,W,75,62,,21,11,W 1
33,Fri Mar 15 2013,CTOURN,N,Duke,ACC,W,83,74,,22,11,W 2
34,Sat Mar 16 2013,CTOURN,N,North Carolina,ACC,L,76,79,,22,12,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
35,Tue Mar 19 2013,NIT,,Niagara,MAAC,W,86,70,,23,12,W 1
36,Thu Mar 21 2013,NIT,,Denver,WAC,W,62,52,,24,12,W 2
37,Tue Mar 26 2013,NIT,@,Alabama,SEC,W,58,57,,25,12,W 3
38,Tue Apr 2 2013,NIT,N,Iowa,Big Ten,L,60,71,,25,13,L 1
