G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Tue Nov 13 2012,REG,,Harvard,Ivy,W,67,64,,1,0,W 1
2,Thu Nov 15 2012,REG,N,Providence,Big East,W,77,75,,2,0,W 2
3,Fri Nov 16 2012,REG,N,North Carolina State,ACC,L,76,94,,2,1,L 1
4,Sun Nov 18 2012,REG,N,Tennessee,SEC,L,69,83,,2,2,L 2
5,Wed Nov 28 2012,REG,@,Siena,MAAC,W,64,63,,3,2,W 1
6,Sat Dec 1 2012,REG,,Miami (FL),ACC,L,62,75,,3,3,L 1
7,Tue Dec 4 2012,REG,@,Northeastern,CAA,W,72,66,,4,3,W 1
8,Sat Dec 15 2012,REG,,Elon,Southern,W,78,73,OT,5,3,W 2
9,Wed Dec 19 2012,REG,,Ohio,MAC,W,85,76,,6,3,W 3
10,Sat Dec 22 2012,REG,,East Carolina,CUSA,W,88,81,,7,3,W 4
11,Sat Dec 29 2012,REG,@,Northern Illinois,MAC,W,64,59,,8,3,W 5
12,Wed Jan 2 2013,REG,@,Miami (OH),MAC,W,70,69,,9,3,W 6
13,Sat Jan 5 2013,REG,,Eastern Michigan,MAC,W,75,61,,10,3,W 7
14,Thu Jan 10 2013,REG,@,Saint Louis,A-10,L,62,70,,10,4,L 1
15,Sun Jan 13 2013,REG,@,Fordham,A-10,W,77,73,,11,4,W 1
16,Thu Jan 17 2013,REG,,Duquesne,A-10,W,79,66,,12,4,W 2
17,Sat Jan 19 2013,REG,,George Washington,A-10,L,76,79,,12,5,L 1
18,Sun Jan 27 2013,REG,,Richmond,A-10,W,70,65,,13,5,W 1
19,Wed Jan 30 2013,REG,@,La Salle,A-10,W,61,60,,14,5,W 2
20,Sat Feb 2 2013,REG,@,Charlotte,A-10,L,65,66,,14,6,L 1
21,Wed Feb 6 2013,REG,,Rhode Island,A-10,W,81,53,,15,6,W 1
22,Sat Feb 9 2013,REG,,Saint Joseph's,A-10,W,80,62,,16,6,W 2
23,Thu Feb 14 2013,REG,@,Virginia Commonwealth,A-10,L,68,86,,16,7,L 1
24,Sat Feb 16 2013,REG,,Temple,A-10,L,82,83,,16,8,L 2
25,Wed Feb 20 2013,REG,@,St. Bonaventure,A-10,L,94,99,,16,9,L 3
26,Sat Feb 23 2013,REG,,Dayton,A-10,W,76,66,,17,9,W 1
27,Sat Mar 2 2013,REG,@,Xavier,A-10,W,77,72,,18,9,W 2
28,Thu Mar 7 2013,REG,,Butler,A-10,L,62,73,,18,10,L 1
29,Sat Mar 9 2013,REG,@,Rhode Island,A-10,W,75,66,,19,10,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
30,Thu Mar 14 2013,CTOURN,N,George Washington,A-10,W,77,72,,20,10,W 2
31,Fri Mar 15 2013,CTOURN,N,Temple,A-10,W,79,74,,21,10,W 3
32,Sat Mar 16 2013,CTOURN,N,Virginia Commonwealth,A-10,L,62,71,,21,11,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
33,Wed Mar 20 2013,NIT,,Stony Brook,AEC,L,58,71,,21,12,L 2
