G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,,Sewanee,,W,65,36,,1,0,W 1
2,Mon Nov 12 2012,REG,,Oglethorpe,,W,70,25,,2,0,W 2
3,Fri Nov 16 2012,REG,N,George Mason,CAA,L,49,52,,2,1,L 1
4,Sat Nov 17 2012,REG,N,Illinois-Chicago,Horizon,L,36,62,,2,2,L 2
5,Mon Nov 19 2012,REG,N,Wake Forest,ACC,L,71,74,,2,3,L 3
6,Sun Nov 25 2012,REG,,Furman,Southern,W,73,46,,3,3,W 1
7,Wed Nov 28 2012,REG,@,New Mexico,MWC,L,58,76,,3,4,L 1
8,Sun Dec 2 2012,REG,@,Florida State,ACC,W,61,56,,4,4,W 1
9,Wed Dec 5 2012,REG,@,Denver,WAC,L,40,69,,4,5,L 1
10,Sat Dec 8 2012,REG,,Alabama A&M,SWAC,W,65,46,,5,5,W 1
11,Sun Dec 16 2012,REG,@,Chattanooga,Southern,W,63,53,,6,5,W 2
12,Tue Dec 18 2012,REG,@,Georgia,SEC,L,49,58,,6,6,L 1
13,Sat Dec 22 2012,REG,@,Alabama,SEC,W,66,59,,7,6,W 1
14,Mon Dec 31 2012,REG,,Stetson,A-Sun,W,70,64,,8,6,W 2
15,Wed Jan 2 2013,REG,,Florida Gulf Coast,A-Sun,W,77,70,,9,6,W 3
16,Sat Jan 5 2013,REG,@,Kennesaw State,A-Sun,L,75,83,,9,7,L 1
17,Thu Jan 10 2013,REG,@,North Florida,A-Sun,W,66,47,,10,7,W 1
18,Sat Jan 12 2013,REG,@,Jacksonville,A-Sun,L,47,49,,10,8,L 1
19,Thu Jan 17 2013,REG,,East Tennessee State,A-Sun,W,78,59,,11,8,W 1
20,Sat Jan 19 2013,REG,,South Carolina Upstate,A-Sun,W,82,74,,12,8,W 2
21,Thu Jan 24 2013,REG,@,Northern Kentucky,A-Sun,L,46,63,,12,9,L 1
22,Sat Jan 26 2013,REG,@,Lipscomb,A-Sun,W,71,65,,13,9,W 1
23,Fri Feb 1 2013,REG,,Kennesaw State,A-Sun,W,66,42,,14,9,W 2
24,Thu Feb 7 2013,REG,,Jacksonville,A-Sun,W,67,64,OT,15,9,W 3
25,Sat Feb 9 2013,REG,,North Florida,A-Sun,W,64,44,,16,9,W 4
26,Thu Feb 14 2013,REG,@,South Carolina Upstate,A-Sun,W,70,59,,17,9,W 5
27,Sat Feb 16 2013,REG,@,East Tennessee State,A-Sun,W,71,54,,18,9,W 6
28,Thu Feb 21 2013,REG,,Lipscomb,A-Sun,W,83,58,,19,9,W 7
29,Sat Feb 23 2013,REG,,Northern Kentucky,A-Sun,W,63,46,,20,9,W 8
30,Thu Feb 28 2013,REG,@,Florida Gulf Coast,A-Sun,L,57,60,,20,10,L 1
31,Sat Mar 2 2013,REG,@,Stetson,A-Sun,W,77,65,,21,10,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Wed Mar 6 2013,CTOURN,N,Lipscomb,A-Sun,W,82,48,,22,10,W 2
33,Fri Mar 8 2013,CTOURN,N,South Carolina Upstate,A-Sun,W,72,64,,23,10,W 3
34,Sat Mar 9 2013,CTOURN,N,Florida Gulf Coast,A-Sun,L,75,88,,23,11,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
35,Wed Mar 20 2013,NIT,@,Tennessee,SEC,W,75,67,,24,11,W 1
36,Mon Mar 25 2013,NIT,@,Brigham Young,WCC,L,71,90,,24,12,L 1
