G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Stetson,A-Sun,W,87,79,,1,0,W 1
2,Tue Nov 13 2012,REG,@,Florida Gulf Coast,A-Sun,L,51,63,,1,1,L 1
3,Fri Nov 16 2012,REG,,Jacksonville,A-Sun,W,73,57,,2,1,W 1
4,Sat Nov 24 2012,REG,,Detroit Mercy,Horizon,W,77,62,,3,1,W 2
5,Wed Nov 28 2012,REG,,Michigan State,Big Ten,W,67,59,,4,1,W 3
6,Sat Dec 1 2012,REG,@,Massachusetts,A-10,W,75,62,,5,1,W 4
7,Fri Dec 14 2012,REG,,Charlotte,A-10,W,77,46,,6,1,W 5
8,Tue Dec 18 2012,REG,@,Central Florida,CUSA,W,72,50,,7,1,W 6
9,Sun Dec 23 2012,REG,@,Hawaii,Big West,W,73,58,,8,1,W 7
10,Sun Dec 23 2012,REG,N,Arizona,Pac-12,L,50,69,,8,2,L 1
11,Tue Dec 25 2012,REG,N,Indiana State,MVC,L,55,57,OT,8,3,L 2
12,Wed Jan 2 2013,REG,,La Salle,A-10,W,76,59,,9,3,W 1
13,Sat Jan 5 2013,REG,@,Georgia Tech,ACC,W,62,49,,10,3,W 2
14,Thu Jan 10 2013,REG,@,North Carolina,ACC,W,68,59,,11,3,W 3
15,Sun Jan 13 2013,REG,,Maryland,ACC,W,54,47,,12,3,W 4
16,Wed Jan 16 2013,REG,@,Boston College,ACC,W,60,59,,13,3,W 5
17,Wed Jan 23 2013,REG,,Duke,ACC,W,90,63,,14,3,W 6
18,Sun Jan 27 2013,REG,,Florida State,ACC,W,71,47,,15,3,W 7
19,Wed Jan 30 2013,REG,@,Virginia Tech,ACC,W,73,64,,16,3,W 8
20,Sat Feb 2 2013,REG,@,North Carolina State,ACC,W,79,78,,17,3,W 9
21,Tue Feb 5 2013,REG,,Boston College,ACC,W,72,50,,18,3,W 10
22,Sat Feb 9 2013,REG,,North Carolina,ACC,W,87,61,,19,3,W 11
23,Wed Feb 13 2013,REG,@,Florida State,ACC,W,74,68,,20,3,W 12
24,Sun Feb 17 2013,REG,@,Clemson,ACC,W,45,43,,21,3,W 13
25,Tue Feb 19 2013,REG,,Virginia,ACC,W,54,50,,22,3,W 14
26,Sat Feb 23 2013,REG,@,Wake Forest,ACC,L,65,80,,22,4,L 1
27,Wed Feb 27 2013,REG,,Virginia Tech,ACC,W,76,58,,23,4,W 1
28,Sat Mar 2 2013,REG,@,Duke,ACC,L,76,79,,23,5,L 1
29,Wed Mar 6 2013,REG,,Georgia Tech,ACC,L,69,71,,23,6,L 2
30,Sat Mar 9 2013,REG,,Clemson,ACC,W,62,49,,24,6,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Fri Mar 15 2013,CTOURN,N,Boston College,ACC,W,69,58,,25,6,W 2
32,Sat Mar 16 2013,CTOURN,N,North Carolina State,ACC,W,81,71,,26,6,W 3
33,Sun Mar 17 2013,CTOURN,N,North Carolina,ACC,W,87,77,,27,6,W 4
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
34,Fri Mar 22 2013,NCAA,N,Pacific,Big West,W,78,49,,28,6,W 5
35,Sun Mar 24 2013,NCAA,N,Illinois,Big Ten,W,63,59,,29,6,W 6
36,Thu Mar 28 2013,NCAA,N,Marquette,Big East,L,61,71,,29,7,L 1
