G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,N,Connecticut,Big East,L,62,66,,0,1,L 1
2,Tue Nov 13 2012,REG,N,Kansas,Big 12,W,67,64,,1,1,W 1
3,Sun Nov 18 2012,REG,,Texas Southern,SWAC,W,69,41,,2,1,W 2
4,Tue Nov 20 2012,REG,,Boise State,MWC,W,74,70,,3,1,W 3
5,Fri Nov 23 2012,REG,,Oakland,Summit,W,70,52,,4,1,W 4
6,Sun Nov 25 2012,REG,,Louisiana-Lafayette,Sun Belt,W,63,60,,5,1,W 5
7,Wed Nov 28 2012,REG,@,Miami (FL),ACC,L,59,67,,5,2,L 1
8,Sat Dec 1 2012,REG,,Nicholls State,Southland,W,84,39,,6,2,W 1
9,Wed Dec 5 2012,REG,,Arkansas-Pine Bluff,SWAC,W,76,44,,7,2,W 2
10,Sat Dec 8 2012,REG,,Loyola (IL),Horizon,W,73,61,,8,2,W 3
11,Sat Dec 15 2012,REG,,Tuskegee,,W,92,56,,9,2,W 4
12,Tue Dec 18 2012,REG,@,Bowling Green State,MAC,W,64,53,,10,2,W 5
13,Sat Dec 22 2012,REG,,Texas,Big 12,W,67,56,,11,2,W 6
14,Mon Dec 31 2012,REG,@,Minnesota,Big Ten,L,63,76,,11,3,L 1
15,Sat Jan 5 2013,REG,,Purdue,Big Ten,W,84,61,,12,3,W 1
16,Thu Jan 10 2013,REG,@,Iowa,Big Ten,W,62,59,,13,3,W 2
17,Sun Jan 13 2013,REG,,Nebraska,Big Ten,W,66,56,,14,3,W 3
18,Wed Jan 16 2013,REG,@,Penn State,Big Ten,W,81,72,,15,3,W 4
19,Sat Jan 19 2013,REG,,Ohio State,Big Ten,W,59,56,,16,3,W 5
20,Tue Jan 22 2013,REG,@,Wisconsin,Big Ten,W,49,47,,17,3,W 6
21,Sun Jan 27 2013,REG,@,Indiana,Big Ten,L,70,75,,17,4,L 1
22,Thu Jan 31 2013,REG,,Illinois,Big Ten,W,80,75,,18,4,W 1
23,Wed Feb 6 2013,REG,,Minnesota,Big Ten,W,61,50,,19,4,W 2
24,Sat Feb 9 2013,REG,@,Purdue,Big Ten,W,78,65,,20,4,W 3
25,Tue Feb 12 2013,REG,,Michigan,Big Ten,W,75,52,,21,4,W 4
26,Sat Feb 16 2013,REG,@,Nebraska,Big Ten,W,73,64,,22,4,W 5
27,Tue Feb 19 2013,REG,,Indiana,Big Ten,L,68,72,,22,5,L 1
28,Sun Feb 24 2013,REG,@,Ohio State,Big Ten,L,60,68,,22,6,L 2
29,Sun Mar 3 2013,REG,@,Michigan,Big Ten,L,57,58,,22,7,L 3
30,Thu Mar 7 2013,REG,,Wisconsin,Big Ten,W,58,43,,23,7,W 1
31,Sun Mar 10 2013,REG,,Northwestern,Big Ten,W,71,61,,24,7,W 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Fri Mar 15 2013,CTOURN,N,Iowa,Big Ten,W,59,56,,25,7,W 3
33,Sat Mar 16 2013,CTOURN,N,Ohio State,Big Ten,L,58,61,,25,8,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
34,Thu Mar 21 2013,NCAA,N,Valparaiso,Horizon,W,65,54,,26,8,W 1
35,Sat Mar 23 2013,NCAA,N,Memphis,CUSA,W,70,48,,27,8,W 2
36,Fri Mar 29 2013,NCAA,N,Duke,ACC,L,61,71,,27,9,L 1
