G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Alabama State,SWAC,W,97,53,,1,0,W 1
2,Tue Nov 13 2012,REG,@,Savannah State,MEAC,W,58,55,,2,0,W 2
3,Sun Nov 18 2012,REG,N,Florida,SEC,L,45,66,,2,1,L 1
4,Tue Nov 20 2012,REG,@,Central Florida,CUSA,W,75,61,,3,1,W 1
5,Sat Nov 24 2012,REG,,Texas Southern,SWAC,W,79,52,,4,1,W 2
6,Thu Nov 29 2012,REG,@,Louisiana-Lafayette,Sun Belt,W,72,58,,5,1,W 3
7,Sun Dec 2 2012,REG,@,Akron,MAC,L,77,82,OT,5,2,L 1
8,Wed Dec 5 2012,REG,,Alabama-Birmingham,CUSA,W,84,64,,6,2,W 1
9,Sat Dec 8 2012,REG,,Mississippi,SEC,W,65,62,,7,2,W 2
10,Thu Dec 13 2012,REG,@,Belmont,OVC,L,49,64,,7,3,L 1
11,Tue Dec 18 2012,REG,,Tennessee State,OVC,W,77,48,,8,3,W 1
12,Fri Dec 21 2012,REG,N,Vanderbilt,SEC,W,56,52,,9,3,W 2
13,Sat Dec 29 2012,REG,,Florida International,Sun Belt,W,69,52,,10,3,W 3
14,Mon Dec 31 2012,REG,,North Texas,Sun Belt,W,75,57,,11,3,W 4
15,Thu Jan 3 2013,REG,@,Arkansas State,Sun Belt,L,60,66,OT,11,4,L 1
16,Sat Jan 5 2013,REG,@,South Alabama,Sun Belt,W,60,56,,12,4,W 1
17,Thu Jan 10 2013,REG,,Florida Atlantic,Sun Belt,W,62,52,,13,4,W 2
18,Sat Jan 12 2013,REG,@,Louisiana-Monroe,Sun Belt,W,66,57,,14,4,W 3
19,Thu Jan 17 2013,REG,,Arkansas-Little Rock,Sun Belt,W,82,50,,15,4,W 4
20,Sat Jan 19 2013,REG,,Louisiana-Lafayette,Sun Belt,W,82,60,,16,4,W 5
21,Thu Jan 24 2013,REG,@,North Texas,Sun Belt,W,72,64,,17,4,W 6
22,Sat Jan 26 2013,REG,,Western Kentucky,Sun Belt,W,72,53,,18,4,W 7
23,Thu Jan 31 2013,REG,@,Florida International,Sun Belt,W,66,64,,19,4,W 8
24,Sat Feb 2 2013,REG,@,Florida Atlantic,Sun Belt,W,73,56,,20,4,W 9
25,Thu Feb 7 2013,REG,,Arkansas State,Sun Belt,W,73,60,,21,4,W 10
26,Sat Feb 9 2013,REG,,Troy,Sun Belt,W,93,41,,22,4,W 11
27,Sat Feb 16 2013,REG,@,Arkansas-Little Rock,Sun Belt,W,66,61,,23,4,W 12
28,Thu Feb 21 2013,REG,,South Alabama,Sun Belt,W,85,50,,24,4,W 13
29,Sat Feb 23 2013,REG,,Louisiana-Monroe,Sun Belt,W,87,46,,25,4,W 14
30,Thu Feb 28 2013,REG,@,Troy,Sun Belt,W,66,56,,26,4,W 15
31,Sat Mar 2 2013,REG,@,Western Kentucky,Sun Belt,W,70,62,,27,4,W 16
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Sat Mar 9 2013,CTOURN,N,Louisiana-Lafayette,Sun Belt,W,81,66,,28,4,W 17
33,Sun Mar 10 2013,CTOURN,N,Florida International,Sun Belt,L,57,61,,28,5,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
34,Tue Mar 19 2013,NCAA,N,Saint Mary's (CA),WCC,L,54,67,,28,6,L 2
