G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Mary,,W,76,46,,1,0,W 1
2,Sun Nov 11 2012,REG,@,South Carolina,SEC,L,75,82,OT,1,1,L 1
3,Sat Nov 17 2012,REG,,Davidson,Southern,W,73,68,,2,1,W 1
4,Mon Nov 19 2012,REG,@,Arkansas-Little Rock,Sun Belt,L,43,59,,2,2,L 1
5,Sat Nov 24 2012,REG,N,Jacksonville,A-Sun,L,66,71,,2,3,L 2
6,Sun Nov 25 2012,REG,N,Rider,MAAC,L,60,74,,2,4,L 3
7,Sat Dec 1 2012,REG,@,Northern Iowa,MVC,L,61,72,,2,5,L 4
8,Wed Dec 5 2012,REG,,Buffalo,MAC,L,52,72,,2,6,L 5
9,Fri Dec 7 2012,REG,,Northern Illinois,MAC,W,80,73,OT,3,6,W 1
10,Sun Dec 9 2012,REG,@,DePaul,Big East,L,50,84,,3,7,L 1
11,Wed Dec 12 2012,REG,@,Fairfield,MAAC,L,46,62,,3,8,L 2
12,Sat Dec 15 2012,REG,,Tennessee Tech,OVC,L,58,69,,3,9,L 3
13,Sat Dec 22 2012,REG,@,Wisconsin,Big Ten,L,53,74,,3,10,L 4
14,Sat Dec 29 2012,REG,,Ohio Dominican,,W,95,80,,4,10,W 1
15,Thu Jan 3 2013,REG,@,Detroit Mercy,Horizon,L,59,74,,4,11,L 1
16,Sat Jan 5 2013,REG,@,Wright State,Horizon,L,51,53,,4,12,L 2
17,Sat Jan 12 2013,REG,,Valparaiso,Horizon,L,52,76,,4,13,L 3
18,Thu Jan 17 2013,REG,,Cleveland State,Horizon,W,69,57,,5,13,W 1
19,Sat Jan 19 2013,REG,,Youngstown State,Horizon,L,72,75,,5,14,L 1
20,Wed Jan 23 2013,REG,@,Illinois-Chicago,Horizon,L,50,60,,5,15,L 2
21,Fri Jan 25 2013,REG,,Green Bay,Horizon,L,54,74,,5,16,L 3
22,Wed Jan 30 2013,REG,@,Loyola (IL),Horizon,L,65,76,,5,17,L 4
23,Fri Feb 1 2013,REG,@,Valparaiso,Horizon,L,40,71,,5,18,L 5
24,Thu Feb 7 2013,REG,,Detroit Mercy,Horizon,L,74,82,,5,19,L 6
25,Sat Feb 9 2013,REG,,Wright State,Horizon,L,49,64,,5,20,L 7
26,Tue Feb 12 2013,REG,,Loyola (IL),Horizon,W,71,53,,6,20,W 1
27,Fri Feb 15 2013,REG,@,Youngstown State,Horizon,L,80,94,,6,21,L 1
28,Sun Feb 17 2013,REG,@,Cleveland State,Horizon,L,67,88,,6,22,L 2
29,Wed Feb 20 2013,REG,,Illinois-Chicago,Horizon,W,64,53,,7,22,W 1
30,Sat Feb 23 2013,REG,@,IUPUI,Summit,W,95,88,2OT,8,22,W 2
31,Tue Feb 26 2013,REG,@,Green Bay,Horizon,L,61,78,,8,23,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Tue Mar 5 2013,CTOURN,@,Green Bay,Horizon,L,46,62,,8,24,L 2
