G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,American,Patriot,W,72,36,,1,0,W 1
2,Mon Nov 12 2012,REG,,Toledo,MAC,W,82,56,,2,0,W 2
3,Thu Nov 15 2012,REG,,Tennessee State,OVC,W,72,43,,3,0,W 3
4,Sun Nov 18 2012,REG,,Richmond,A-10,W,72,57,,4,0,W 4
5,Thu Nov 22 2012,REG,N,Duke,ACC,L,71,89,,4,1,L 1
6,Fri Nov 23 2012,REG,N,Memphis,CUSA,W,84,75,,5,1,W 1
7,Sat Nov 24 2012,REG,N,Stanford,Pac-12,W,66,63,,6,1,W 2
8,Tue Nov 27 2012,REG,@,Florida State,ACC,W,77,68,,7,1,W 3
9,Sat Dec 1 2012,REG,,North Florida,A-Sun,W,87,59,,8,1,W 4
10,Tue Dec 4 2012,REG,,South Dakota State,Summit,W,88,64,,9,1,W 5
11,Sat Dec 8 2012,REG,@,Southern California,Pac-12,W,71,57,,10,1,W 6
12,Tue Dec 11 2012,REG,,North Dakota State,Summit,W,70,57,,11,1,W 7
13,Sat Dec 22 2012,REG,,Lafayette,Patriot,W,75,50,,12,1,W 8
14,Mon Dec 31 2012,REG,,Michigan State,Big Ten,W,76,63,,13,1,W 9
15,Sun Jan 6 2013,REG,,Northwestern,Big Ten,W,69,51,,14,1,W 10
16,Wed Jan 9 2013,REG,@,Illinois,Big Ten,W,84,67,,15,1,W 11
17,Sat Jan 12 2013,REG,@,Indiana,Big Ten,L,81,88,,15,2,L 1
18,Thu Jan 17 2013,REG,,Michigan,Big Ten,L,75,83,,15,3,L 2
19,Wed Jan 23 2013,REG,@,Northwestern,Big Ten,L,48,55,,15,4,L 3
20,Sat Jan 26 2013,REG,@,Wisconsin,Big Ten,L,44,45,,15,5,L 4
21,Tue Jan 29 2013,REG,,Nebraska,Big Ten,W,84,65,,16,5,W 1
22,Sun Feb 3 2013,REG,,Iowa,Big Ten,W,62,59,,17,5,W 2
23,Wed Feb 6 2013,REG,@,Michigan State,Big Ten,L,50,61,,17,6,L 1
24,Sun Feb 10 2013,REG,,Illinois,Big Ten,L,53,57,,17,7,L 2
25,Thu Feb 14 2013,REG,,Wisconsin,Big Ten,W,58,53,OT,18,7,W 1
26,Sun Feb 17 2013,REG,@,Iowa,Big Ten,L,51,72,,18,8,L 1
27,Wed Feb 20 2013,REG,@,Ohio State,Big Ten,L,45,71,,18,9,L 2
28,Tue Feb 26 2013,REG,,Indiana,Big Ten,W,77,73,,19,9,W 1
29,Sat Mar 2 2013,REG,,Penn State,Big Ten,W,73,44,,20,9,W 2
30,Wed Mar 6 2013,REG,@,Nebraska,Big Ten,L,51,53,,20,10,L 1
31,Sat Mar 9 2013,REG,@,Purdue,Big Ten,L,73,89,,20,11,L 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Thu Mar 14 2013,CTOURN,N,Illinois,Big Ten,L,49,51,,20,12,L 3
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
33,Fri Mar 22 2013,NCAA,N,UCLA,Pac-12,W,83,63,,21,12,W 1
34,Sun Mar 24 2013,NCAA,N,Florida,SEC,L,64,78,,21,13,L 1
