G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,Troy,Sun Belt,L,53,56,,0,1,L 1
2,Tue Nov 13 2012,REG,,Florida Atlantic,Sun Belt,W,78,58,,1,1,W 1
3,Mon Nov 19 2012,REG,N,North Carolina,ACC,L,49,95,,1,2,L 1
4,Tue Nov 20 2012,REG,N,Marquette,Big East,L,62,89,,1,3,L 2
5,Wed Nov 21 2012,REG,N,Texas,Big 12,L,55,69,,1,4,L 3
6,Tue Nov 27 2012,REG,,Alcorn State,SWAC,W,60,42,,2,4,W 1
7,Sat Dec 1 2012,REG,@,Providence,Big East,L,63,73,,2,5,L 1
8,Tue Dec 4 2012,REG,,Texas-San Antonio,WAC,W,53,42,,3,5,W 1
9,Sat Dec 15 2012,REG,@,Loyola (IL),Horizon,L,51,59,,3,6,L 1
10,Sat Dec 22 2012,REG,N,Central Arkansas,Southland,W,79,72,,4,6,W 1
11,Sun Dec 30 2012,REG,,Alabama A&M,SWAC,L,57,59,,4,7,L 1
12,Thu Jan 3 2013,REG,,New Orleans,Ind,W,97,46,,5,7,W 1
13,Wed Jan 9 2013,REG,,South Carolina,SEC,W,56,54,,6,7,W 2
14,Sat Jan 12 2013,REG,@,Georgia,SEC,W,72,61,,7,7,W 3
15,Wed Jan 16 2013,REG,,Alabama,SEC,L,43,75,,7,8,L 1
16,Sat Jan 19 2013,REG,@,Tennessee,SEC,L,57,72,,7,9,L 2
17,Wed Jan 23 2013,REG,@,Arkansas,SEC,L,70,96,,7,10,L 3
18,Sat Jan 26 2013,REG,,Florida,SEC,L,47,82,,7,11,L 4
19,Wed Jan 30 2013,REG,,Texas A&M,SEC,L,49,55,OT,7,12,L 5
20,Sat Feb 2 2013,REG,,Louisiana State,SEC,L,68,69,,7,13,L 6
21,Wed Feb 6 2013,REG,@,Mississippi,SEC,L,75,93,,7,14,L 7
22,Sat Feb 9 2013,REG,@,Florida,SEC,L,58,83,,7,15,L 8
23,Wed Feb 13 2013,REG,,Missouri,SEC,L,36,78,,7,16,L 9
24,Sat Feb 16 2013,REG,@,Louisiana State,SEC,L,68,80,,7,17,L 10
25,Wed Feb 20 2013,REG,@,Alabama,SEC,L,56,64,,7,18,L 11
26,Sat Feb 23 2013,REG,,Vanderbilt,SEC,L,31,72,,7,19,L 12
27,Wed Feb 27 2013,REG,@,Kentucky,SEC,L,55,85,,7,20,L 13
28,Sat Mar 2 2013,REG,,Mississippi,SEC,W,73,67,,8,20,W 1
29,Wed Mar 6 2013,REG,@,South Carolina,SEC,L,72,79,,8,21,L 1
30,Sat Mar 9 2013,REG,,Auburn,SEC,W,74,71,OT,9,21,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Wed Mar 13 2013,CTOURN,N,South Carolina,SEC,W,70,59,,10,21,W 2
32,Thu Mar 14 2013,CTOURN,N,Tennessee,SEC,L,53,69,,10,22,L 1
