G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Mississippi Valley State,SWAC,W,93,57,,1,0,W 1
2,Tue Nov 13 2012,REG,,Coastal Carolina,Big South,W,90,72,,2,0,W 2
3,Fri Nov 16 2012,REG,,Arkansas-Little Rock,Sun Belt,W,92,52,,3,0,W 3
4,Tue Nov 20 2012,REG,,McNeese State,Southland,W,76,50,,4,0,W 4
5,Fri Nov 23 2012,REG,,Lipscomb,A-Sun,W,91,45,,5,0,W 5
6,Sat Dec 1 2012,REG,,Rutgers,Big East,W,80,67,,6,0,W 6
7,Sat Dec 8 2012,REG,@,Middle Tennessee,Sun Belt,L,62,65,,6,1,L 1
8,Fri Dec 14 2012,REG,,East Tennessee State,A-Sun,W,77,55,,7,1,W 1
9,Wed Dec 19 2012,REG,@,Loyola Marymount,WCC,W,73,70,,8,1,W 2
10,Sat Dec 22 2012,REG,N,Indiana State,MVC,L,85,87,OT,8,2,L 1
11,Sun Dec 23 2012,REG,N,San Francisco,WCC,W,85,78,,9,2,W 1
12,Tue Dec 25 2012,REG,@,Hawaii,Big West,W,81,66,,10,2,W 2
13,Fri Jan 4 2013,REG,,Fordham,A-10,W,95,68,,11,2,W 3
14,Wed Jan 9 2013,REG,@,Tennessee,SEC,W,92,74,,12,2,W 4
15,Sat Jan 12 2013,REG,,Missouri,SEC,W,64,49,,13,2,W 5
16,Tue Jan 15 2013,REG,@,Vanderbilt,SEC,W,89,79,OT,14,2,W 6
17,Sat Jan 19 2013,REG,,Arkansas,SEC,W,76,64,,15,2,W 7
18,Thu Jan 24 2013,REG,,Tennessee,SEC,W,62,56,,16,2,W 8
19,Sat Jan 26 2013,REG,@,Auburn,SEC,W,63,61,,17,2,W 9
20,Tue Jan 29 2013,REG,,Kentucky,SEC,L,74,87,,17,3,L 1
21,Sat Feb 2 2013,REG,@,Florida,SEC,L,64,78,,17,4,L 2
22,Wed Feb 6 2013,REG,,Mississippi State,SEC,W,93,75,,18,4,W 1
23,Sat Feb 9 2013,REG,@,Missouri,SEC,L,79,98,,18,5,L 1
24,Wed Feb 13 2013,REG,@,Texas A&M,SEC,L,67,69,,18,6,L 2
25,Sat Feb 16 2013,REG,,Georgia,SEC,W,84,74,OT,19,6,W 1
26,Wed Feb 20 2013,REG,@,South Carolina,SEC,L,62,63,,19,7,L 1
27,Sat Feb 23 2013,REG,,Auburn,SEC,W,88,55,,20,7,W 1
28,Wed Feb 27 2013,REG,,Texas A&M,SEC,W,82,73,,21,7,W 2
29,Sat Mar 2 2013,REG,@,Mississippi State,SEC,L,67,73,,21,8,L 1
30,Tue Mar 5 2013,REG,,Alabama,SEC,W,87,83,,22,8,W 1
31,Sat Mar 9 2013,REG,@,Louisiana State,SEC,W,81,67,,23,8,W 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Fri Mar 15 2013,CTOURN,N,Missouri,SEC,W,64,62,,24,8,W 3
33,Sat Mar 16 2013,CTOURN,N,Vanderbilt,SEC,W,64,52,,25,8,W 4
34,Sun Mar 17 2013,CTOURN,N,Florida,SEC,W,66,63,,26,8,W 5
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
35,Fri Mar 22 2013,NCAA,N,Wisconsin,Big Ten,W,57,46,,27,8,W 6
36,Sun Mar 24 2013,NCAA,N,La Salle,A-10,L,74,76,,27,9,L 1
