G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Philander Smith,,W,89,61,,1,0,W 1
2,Sat Nov 17 2012,REG,,San Diego State,MWC,L,44,60,,1,1,L 1
3,Mon Nov 19 2012,REG,,Jacksonville,A-Sun,L,58,64,,1,2,L 2
4,Wed Nov 21 2012,REG,,Malone,,W,82,49,,2,2,W 1
5,Sat Nov 24 2012,REG,N,South Carolina,SEC,L,67,74,OT,2,3,L 1
6,Sun Nov 25 2012,REG,N,Southern Methodist,CUSA,L,61,62,,2,4,L 2
7,Sat Dec 1 2012,REG,,Oral Roberts,Southland,L,52,72,,2,5,L 3
8,Wed Dec 5 2012,REG,@,Tulsa,CUSA,L,42,61,,2,6,L 4
9,Sat Dec 8 2012,REG,@,Oklahoma State,Big 12,L,42,62,,2,7,L 5
10,Sat Dec 15 2012,REG,,Valparaiso,Horizon,L,54,62,,2,8,L 6
11,Tue Dec 18 2012,REG,@,Alabama A&M,SWAC,L,47,59,,2,9,L 7
12,Sat Dec 22 2012,REG,@,New Mexico State,WAC,L,51,71,,2,10,L 8
13,Sun Dec 30 2012,REG,,Southern Illinois,MVC,W,70,59,,3,10,W 1
14,Wed Jan 2 2013,REG,@,Evansville,MVC,L,59,62,OT,3,11,L 1
15,Sat Jan 5 2013,REG,@,Drake,MVC,W,77,65,,4,11,W 1
16,Tue Jan 8 2013,REG,,Illinois State,MVC,W,62,55,,5,11,W 2
17,Fri Jan 11 2013,REG,,Creighton,MVC,L,52,74,,5,12,L 1
18,Wed Jan 16 2013,REG,@,Indiana State,MVC,L,60,68,,5,13,L 2
19,Sat Jan 19 2013,REG,@,Bradley,MVC,L,66,69,,5,14,L 3
20,Wed Jan 23 2013,REG,,Wichita State,MVC,L,52,62,,5,15,L 4
21,Sun Jan 27 2013,REG,,Drake,MVC,W,78,72,,6,15,W 1
22,Wed Jan 30 2013,REG,@,Creighton,MVC,L,77,91,,6,16,L 1
23,Sat Feb 2 2013,REG,,Evansville,MVC,W,62,61,,7,16,W 1
24,Tue Feb 5 2013,REG,@,Northern Iowa,MVC,L,37,48,,7,17,L 1
25,Sat Feb 9 2013,REG,@,Wichita State,MVC,L,50,79,,7,18,L 2
26,Tue Feb 12 2013,REG,,Indiana State,MVC,W,67,65,,8,18,W 1
27,Sat Feb 16 2013,REG,@,Southern Illinois,MVC,L,54,62,,8,19,L 1
28,Tue Feb 19 2013,REG,,Northern Iowa,MVC,L,63,69,,8,20,L 2
29,Sat Feb 23 2013,REG,@,Eastern Michigan,MAC,W,57,54,,9,20,W 1
30,Wed Feb 27 2013,REG,@,Illinois State,MVC,L,50,86,,9,21,L 1
31,Sat Mar 2 2013,REG,,Bradley,MVC,W,64,56,,10,21,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Thu Mar 7 2013,CTOURN,N,Southern Illinois,MVC,W,61,53,,11,21,W 2
33,Fri Mar 8 2013,CTOURN,N,Wichita State,MVC,L,59,69,,11,22,L 1
