G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Hofstra,CAA,W,91,62,,1,0,W 1
2,Mon Nov 12 2012,REG,@,Notre Dame,Big East,L,57,84,,1,1,L 1
3,Sat Nov 17 2012,REG,@,Rider,MAAC,L,62,65,,1,2,L 2
4,Mon Nov 19 2012,REG,@,Georgia State,CAA,L,49,62,,1,3,L 3
5,Tue Nov 20 2012,REG,N,South Alabama,Sun Belt,W,73,71,,2,3,W 1
6,Wed Nov 21 2012,REG,N,Tennessee State,OVC,W,81,70,,3,3,W 2
7,Mon Nov 26 2012,REG,,Lafayette,Patriot,W,65,60,,4,3,W 3
8,Mon Dec 3 2012,REG,@,Binghamton,AEC,W,77,65,,5,3,W 4
9,Wed Dec 5 2012,REG,,Navy,Patriot,L,66,85,,5,4,L 1
10,Sat Dec 8 2012,REG,@,Syracuse,Big East,L,56,108,,5,5,L 2
11,Wed Dec 12 2012,REG,@,Maryland,ACC,L,38,71,,5,6,L 3
12,Sat Dec 22 2012,REG,,Villanova,Big East,L,56,83,,5,7,L 4
13,Mon Dec 31 2012,REG,@,Fordham,A-10,L,71,82,,5,8,L 5
14,Thu Jan 3 2013,REG,@,Wagner,NEC,L,56,60,,5,9,L 6
15,Sat Jan 5 2013,REG,@,Mount St. Mary's,NEC,L,59,71,,5,10,L 7
16,Thu Jan 10 2013,REG,,Saint Francis (PA),NEC,W,65,60,,6,10,W 1
17,Sat Jan 12 2013,REG,,Robert Morris,NEC,L,55,70,,6,11,L 1
18,Thu Jan 17 2013,REG,@,St. Francis (NY),NEC,W,71,67,,7,11,W 1
19,Sat Jan 19 2013,REG,@,Long Island University,NEC,L,65,75,,7,12,L 1
20,Thu Jan 24 2013,REG,,Fairleigh Dickinson,NEC,W,73,54,,8,12,W 1
21,Sat Jan 26 2013,REG,@,Sacred Heart,NEC,L,68,82,,8,13,L 1
22,Thu Jan 31 2013,REG,,Central Connecticut State,NEC,L,58,78,,8,14,L 2
23,Sat Feb 2 2013,REG,,Bryant,NEC,L,62,77,,8,15,L 3
24,Thu Feb 7 2013,REG,@,Quinnipiac,NEC,L,63,79,,8,16,L 4
25,Sun Feb 10 2013,REG,@,Fairleigh Dickinson,NEC,W,80,76,,9,16,W 1
26,Thu Feb 14 2013,REG,,Long Island University,NEC,L,66,80,,9,17,L 1
27,Sat Feb 16 2013,REG,,St. Francis (NY),NEC,W,73,64,,10,17,W 1
28,Thu Feb 21 2013,REG,@,Robert Morris,NEC,L,65,77,,10,18,L 1
29,Sat Feb 23 2013,REG,@,Saint Francis (PA),NEC,L,68,70,,10,19,L 2
30,Thu Feb 28 2013,REG,,Mount St. Mary's,NEC,L,63,77,,10,20,L 3
31,Sat Mar 2 2013,REG,,Wagner,NEC,L,57,67,,10,21,L 4
