G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,Colorado State,MWC,L,65,72,,0,1,L 1
2,Wed Nov 14 2012,REG,,Minot State,,W,82,53,,1,1,W 1
3,Sat Nov 17 2012,REG,@,Idaho,WAC,W,66,63,,2,1,W 2
4,Sat Nov 24 2012,REG,,San Diego,WCC,W,67,66,,3,1,W 3
5,Wed Nov 28 2012,REG,N,Brigham Young,WCC,L,60,85,,3,2,L 1
6,Fri Nov 30 2012,REG,@,San Francisco,WCC,L,68,78,,3,3,L 2
7,Sat Dec 8 2012,REG,,Carroll (MT),,W,78,58,,4,3,W 1
8,Sat Dec 15 2012,REG,,South Dakota State,Summit,L,67,68,2OT,4,4,L 1
9,Wed Dec 19 2012,REG,@,Northern Arizona,Big Sky,W,62,56,,5,4,W 1
10,Fri Dec 21 2012,REG,@,Sacramento State,Big Sky,W,61,60,,6,4,W 2
11,Thu Jan 3 2013,REG,,Eastern Washington,Big Sky,W,81,66,,7,4,W 3
12,Sat Jan 5 2013,REG,,Portland State,Big Sky,W,62,55,,8,4,W 4
13,Thu Jan 10 2013,REG,@,North Dakota,Big Sky,W,77,62,,9,4,W 5
14,Sat Jan 12 2013,REG,@,Northern Colorado,Big Sky,W,85,77,,10,4,W 6
15,Thu Jan 17 2013,REG,,Southern Utah,Big Sky,W,73,67,,11,4,W 7
16,Sat Jan 19 2013,REG,,Montana State,Big Sky,W,76,71,OT,12,4,W 8
17,Thu Jan 24 2013,REG,,Idaho State,Big Sky,W,70,51,,13,4,W 9
18,Sat Jan 26 2013,REG,,Weber State,Big Sky,W,76,74,,14,4,W 10
19,Thu Jan 31 2013,REG,@,Portland State,Big Sky,W,81,68,,15,4,W 11
20,Sat Feb 2 2013,REG,@,Eastern Washington,Big Sky,W,65,46,,16,4,W 12
21,Thu Feb 7 2013,REG,,Northern Colorado,Big Sky,W,73,63,,17,4,W 13
22,Sat Feb 9 2013,REG,,North Dakota,Big Sky,W,78,58,,18,4,W 14
23,Thu Feb 14 2013,REG,@,Weber State,Big Sky,L,63,87,,18,5,L 1
24,Sat Feb 16 2013,REG,@,Idaho State,Big Sky,W,61,54,,19,5,W 1
25,Sat Feb 23 2013,REG,@,Davidson,Southern,L,87,93,OT,19,6,L 1
26,Sat Mar 2 2013,REG,@,Montana State,Big Sky,W,71,68,,20,6,W 1
27,Mon Mar 4 2013,REG,@,Southern Utah,Big Sky,W,86,74,OT,21,6,W 2
28,Thu Mar 7 2013,REG,,Sacramento State,Big Sky,W,63,52,,22,6,W 3
29,Sat Mar 9 2013,REG,,Northern Arizona,Big Sky,W,63,50,,23,6,W 4
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
30,Fri Mar 15 2013,CTOURN,,Northern Colorado,Big Sky,W,70,56,,24,6,W 5
31,Sat Mar 16 2013,CTOURN,,Weber State,Big Sky,W,67,64,,25,6,W 6
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Thu Mar 21 2013,NCAA,N,Syracuse,Big East,L,34,81,,25,7,L 1
