G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,N,Texas-San Antonio,WAC,W,71,59,,1,0,W 1
2,Sat Nov 10 2012,REG,@,Old Dominion,CAA,L,61,72,,1,1,L 1
3,Sun Nov 11 2012,REG,N,Holy Cross,Patriot,L,73,74,,1,2,L 2
4,Fri Nov 16 2012,REG,@,South Carolina,SEC,L,71,87,,1,3,L 3
5,Thu Nov 29 2012,REG,@,Liberty,Big South,W,67,62,,2,3,W 1
6,Sat Dec 1 2012,REG,@,Virginia Military Institute,Big South,W,81,80,OT,3,3,W 2
7,Sun Dec 16 2012,REG,@,Illinois State,MVC,L,68,87,,3,4,L 1
8,Wed Dec 19 2012,REG,@,Virginia,ACC,L,57,75,,3,5,L 2
9,Thu Dec 27 2012,REG,@,Loyola Marymount,WCC,L,62,79,,3,6,L 3
10,Sat Dec 29 2012,REG,@,San Diego,WCC,L,63,66,,3,7,L 4
11,Sat Jan 5 2013,REG,,Saint Joseph's,A-10,L,60,70,,3,8,L 5
12,Sat Jan 12 2013,REG,,South Carolina State,MEAC,W,76,60,,4,8,W 1
13,Mon Jan 14 2013,REG,,Savannah State,MEAC,L,70,78,2OT,4,9,L 1
14,Sat Jan 19 2013,REG,@,Hampton,MEAC,W,80,78,,5,9,W 1
15,Mon Jan 21 2013,REG,@,Norfolk State,MEAC,L,71,73,,5,10,L 1
16,Sat Jan 26 2013,REG,@,North Carolina A&T,MEAC,W,55,52,,6,10,W 1
17,Mon Jan 28 2013,REG,@,North Carolina Central,MEAC,L,61,69,,6,11,L 1
18,Sat Feb 2 2013,REG,,Hampton,MEAC,L,62,64,,6,12,L 2
19,Mon Feb 4 2013,REG,,Norfolk State,MEAC,L,59,64,,6,13,L 3
20,Sat Feb 9 2013,REG,@,Coppin State,MEAC,W,80,51,,7,13,W 1
21,Mon Feb 11 2013,REG,@,Howard,MEAC,W,53,51,,8,13,W 2
22,Sat Feb 16 2013,REG,@,Maryland-Eastern Shore,MEAC,W,87,55,,9,13,W 3
23,Mon Feb 18 2013,REG,@,Delaware State,MEAC,L,50,52,,9,14,L 1
24,Sat Feb 23 2013,REG,@,High Point,Big South,W,75,68,,10,14,W 1
25,Wed Feb 27 2013,REG,,Coppin State,MEAC,W,86,68,,11,14,W 2
26,Sat Mar 2 2013,REG,,Maryland-Eastern Shore,MEAC,W,58,45,,12,14,W 3
27,Mon Mar 4 2013,REG,,Delaware State,MEAC,W,66,47,,13,14,W 4
28,Thu Mar 7 2013,REG,,Florida A&M,MEAC,W,78,67,,14,14,W 5
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
29,Mon Mar 11 2013,CTOURN,N,South Carolina State,MEAC,W,61,52,,15,14,W 6
30,Thu Mar 14 2013,CTOURN,N,Savannah State,MEAC,W,64,61,OT,16,14,W 7
31,Fri Mar 15 2013,CTOURN,N,Bethune-Cookman,MEAC,W,82,71,,17,14,W 8
32,Sat Mar 16 2013,CTOURN,N,North Carolina A&T,MEAC,L,54,57,,17,15,L 1
