G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Brescia,,W,88,43,,1,0,W 1
2,Thu Nov 15 2012,REG,N,Auburn,SEC,W,79,59,,2,0,W 2
3,Fri Nov 16 2012,REG,N,St. John's (NY),Big East,W,72,67,,3,0,W 3
4,Sun Nov 18 2012,REG,N,Colorado,Pac-12,L,74,81,,3,1,L 1
5,Sat Nov 24 2012,REG,,Old Dominion,CAA,W,79,72,,4,1,W 1
6,Mon Nov 26 2012,REG,@,Lipscomb,A-Sun,W,88,79,,5,1,W 2
7,Tue Dec 4 2012,REG,,Bethel (TN),,W,76,54,,6,1,W 3
8,Sat Dec 8 2012,REG,@,Evansville,MVC,W,82,70,,7,1,W 4
9,Sun Dec 16 2012,REG,,Western Kentucky,Sun Belt,W,75,70,,8,1,W 5
10,Wed Dec 19 2012,REG,@,Arkansas State,Sun Belt,W,61,54,,9,1,W 6
11,Sat Dec 22 2012,REG,@,Dayton,A-10,L,68,77,,9,2,L 1
12,Sat Dec 29 2012,REG,,Valparaiso,Horizon,L,64,66,,9,3,L 2
13,Thu Jan 3 2013,REG,@,Tennessee-Martin,OVC,W,73,62,,10,3,W 1
14,Sat Jan 5 2013,REG,@,Southeast Missouri State,OVC,W,74,66,,11,3,W 2
15,Wed Jan 9 2013,REG,,Eastern Kentucky,OVC,L,65,77,,11,4,L 1
16,Sat Jan 12 2013,REG,@,Austin Peay,OVC,W,71,68,,12,4,W 1
17,Thu Jan 17 2013,REG,,Eastern Illinois,OVC,W,70,49,,13,4,W 2
18,Sat Jan 19 2013,REG,,Southern Illinois-Edwardsville,OVC,W,70,61,,14,4,W 3
19,Thu Jan 24 2013,REG,@,Tennessee Tech,OVC,W,47,39,,15,4,W 4
20,Sat Jan 26 2013,REG,@,Jacksonville State,OVC,L,64,65,,15,5,L 1
21,Sat Feb 2 2013,REG,,Austin Peay,OVC,W,75,68,OT,16,5,W 1
22,Thu Feb 7 2013,REG,,Belmont,OVC,W,79,74,,17,5,W 2
23,Sat Feb 9 2013,REG,,Tennessee State,OVC,W,69,48,,18,5,W 3
24,Thu Feb 14 2013,REG,@,Southern Illinois-Edwardsville,OVC,L,60,65,,18,6,L 1
25,Sat Feb 16 2013,REG,@,Eastern Illinois,OVC,L,70,79,,18,7,L 2
26,Wed Feb 20 2013,REG,@,Morehead State,OVC,W,106,100,2OT,19,7,W 1
27,Sat Feb 23 2013,REG,,South Dakota State,Summit,W,73,62,,20,7,W 2
28,Thu Feb 28 2013,REG,,Tennessee-Martin,OVC,L,68,69,,20,8,L 1
29,Sat Mar 2 2013,REG,,Southeast Missouri State,OVC,L,68,84,,20,9,L 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
30,Fri Mar 8 2013,CTOURN,N,Eastern Kentucky,OVC,W,81,73,,21,9,W 1
31,Sat Mar 9 2013,CTOURN,N,Belmont,OVC,L,68,70,OT,21,10,L 1
