G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Northern Illinois,MAC,W,77,64,,1,0,W 1
2,Sun Nov 11 2012,REG,,Saint Mary (KS),,L,86,96,,1,1,L 1
3,Wed Nov 14 2012,REG,@,Texas Tech,Big 12,L,63,91,,1,2,L 2
4,Fri Nov 16 2012,REG,@,Tulane,CUSA,L,52,76,,1,3,L 3
5,Sun Nov 18 2012,REG,@,Nebraska,Big Ten,L,62,75,,1,4,L 4
6,Fri Nov 23 2012,REG,N,Bethune-Cookman,MEAC,L,81,93,,1,5,L 5
7,Sat Nov 24 2012,REG,N,Chicago State,GWC,W,68,66,,2,5,W 1
8,Thu Nov 29 2012,REG,@,North Dakota State,Summit,L,51,95,,2,6,L 1
9,Sat Dec 1 2012,REG,@,South Dakota State,Summit,L,63,78,,2,7,L 2
10,Tue Dec 4 2012,REG,@,Wisconsin,Big Ten,L,40,86,,2,8,L 3
11,Sun Dec 9 2012,REG,@,Iowa State,Big 12,L,65,93,,2,9,L 4
12,Sat Dec 15 2012,REG,@,Denver,WAC,L,47,82,,2,10,L 5
13,Tue Dec 18 2012,REG,,Benedictine (IL),,W,74,70,,3,10,W 1
14,Sat Dec 22 2012,REG,@,Texas-Pan American,GWC,L,72,80,,3,11,L 1
15,Sat Dec 29 2012,REG,,South Dakota,Summit,L,72,95,,3,12,L 2
16,Mon Dec 31 2012,REG,,Missouri-Kansas City,Summit,W,77,65,,4,12,W 1
17,Thu Jan 3 2013,REG,@,Oakland,Summit,L,79,91,,4,13,L 1
18,Sat Jan 5 2013,REG,@,IPFW,Summit,L,78,96,,4,14,L 2
19,Thu Jan 10 2013,REG,,IUPUI,Summit,W,90,79,,5,14,W 1
20,Sat Jan 12 2013,REG,,Western Illinois,Summit,L,74,89,,5,15,L 1
21,Sat Jan 19 2013,REG,@,Cal State Bakersfield,Ind,L,79,84,,5,16,L 2
22,Thu Jan 24 2013,REG,@,South Dakota,Summit,W,95,90,,6,16,W 1
23,Sat Jan 26 2013,REG,@,Missouri-Kansas City,Summit,W,67,59,,7,16,W 2
24,Thu Jan 31 2013,REG,,IPFW,Summit,W,86,79,,8,16,W 3
25,Sat Feb 2 2013,REG,,Oakland,Summit,L,81,96,,8,17,L 1
26,Thu Feb 7 2013,REG,@,Western Illinois,Summit,L,50,68,,8,18,L 2
27,Sat Feb 9 2013,REG,@,IUPUI,Summit,W,85,78,,9,18,W 1
28,Tue Feb 19 2013,REG,,Chicago State,GWC,W,79,75,,10,18,W 2
29,Sat Feb 23 2013,REG,,North Dakota,Big Sky,W,83,75,,11,18,W 3
30,Thu Feb 28 2013,REG,,South Dakota State,Summit,L,82,100,,11,19,L 1
31,Sat Mar 2 2013,REG,,North Dakota State,Summit,L,57,84,,11,20,L 2
