G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Mon Nov 12 2012,REG,,Northern Arizona,Big Sky,W,92,54,,1,0,W 1
2,Sat Nov 17 2012,REG,,Jacksonville State,OVC,W,77,58,,2,0,W 2
3,Fri Nov 23 2012,REG,,Oregon,Pac-12,L,79,83,,2,1,L 1
4,Sat Nov 24 2012,REG,N,Iowa State,Big 12,W,82,70,,3,1,W 1
5,Wed Nov 28 2012,REG,,California-Irvine,Big West,W,85,57,,4,1,W 2
6,Sat Dec 1 2012,REG,,Hawaii,Big West,W,77,63,,5,1,W 3
7,Tue Dec 4 2012,REG,@,Portland,WCC,W,68,60,,6,1,W 4
8,Sun Dec 9 2012,REG,@,California,Pac-12,W,76,75,,7,1,W 5
9,Thu Dec 13 2012,REG,,La Verne,,W,91,44,,8,1,W 6
10,Mon Dec 17 2012,REG,@,Texas-El Paso,CUSA,W,62,60,,9,1,W 7
11,Wed Dec 19 2012,REG,,Northern Iowa,MVC,W,73,59,,10,1,W 8
12,Sat Dec 22 2012,REG,,Canisius,MAAC,W,89,74,,11,1,W 9
13,Sat Dec 29 2012,REG,@,North Carolina,ACC,L,73,79,,11,2,L 1
14,Thu Jan 3 2013,REG,,Chicago State,GWC,W,74,52,,12,2,W 1
15,Sat Jan 5 2013,REG,,Cal State Bakersfield,Ind,W,84,63,,13,2,W 2
16,Wed Jan 9 2013,REG,@,New Mexico,MWC,L,60,65,,13,3,L 1
17,Sat Jan 12 2013,REG,,Air Force,MWC,W,76,71,OT,14,3,W 1
18,Wed Jan 16 2013,REG,@,San Diego State,MWC,W,82,75,,15,3,W 2
19,Sat Jan 19 2013,REG,@,Colorado State,MWC,L,61,66,,15,4,L 1
20,Thu Jan 24 2013,REG,,Wyoming,MWC,W,62,50,,16,4,W 1
21,Tue Jan 29 2013,REG,,Nevada,MWC,W,66,54,,17,4,W 2
22,Sat Feb 2 2013,REG,@,Boise State,MWC,L,72,77,,17,5,L 1
23,Wed Feb 6 2013,REG,@,Fresno State,MWC,L,55,64,,17,6,L 2
24,Sat Feb 9 2013,REG,,New Mexico,MWC,W,64,55,,18,6,W 1
25,Wed Feb 13 2013,REG,@,Air Force,MWC,L,56,71,,18,7,L 1
26,Sat Feb 16 2013,REG,,San Diego State,MWC,W,72,70,,19,7,W 1
27,Wed Feb 20 2013,REG,,Colorado State,MWC,W,61,59,,20,7,W 2
28,Sat Feb 23 2013,REG,@,Wyoming,MWC,W,65,42,,21,7,W 3
29,Sat Mar 2 2013,REG,@,Nevada,MWC,W,80,63,,22,7,W 4
30,Tue Mar 5 2013,REG,,Boise State,MWC,W,68,64,,23,7,W 5
31,Sat Mar 9 2013,REG,,Fresno State,MWC,L,52,61,,23,8,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Wed Mar 13 2013,CTOURN,,Air Force,MWC,W,72,56,,24,8,W 1
33,Fri Mar 15 2013,CTOURN,N,Colorado State,MWC,W,75,65,,25,8,W 2
34,Sat Mar 16 2013,CTOURN,N,New Mexico,MWC,L,56,63,,25,9,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
35,Thu Mar 21 2013,NCAA,N,California,Pac-12,L,61,64,,25,10,L 2
