G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,,Suffolk,,W,91,51,,1,0,W 1
2,Tue Nov 13 2012,REG,@,Dartmouth,Ivy,W,72,58,,2,0,W 2
3,Sat Nov 17 2012,REG,@,Bryant,NEC,L,64,76,,2,1,L 1
4,Wed Nov 21 2012,REG,@,NJIT,GWC,L,67,69,,2,2,L 2
5,Sat Nov 24 2012,REG,@,Holy Cross,Patriot,L,50,60,,2,3,L 3
6,Thu Nov 29 2012,REG,@,Connecticut,Big East,L,53,61,,2,4,L 4
7,Sat Dec 1 2012,REG,,Brown,Ivy,W,63,50,,3,4,W 1
8,Wed Dec 5 2012,REG,,Central Connecticut State,NEC,L,84,87,,3,5,L 1
9,Sat Dec 8 2012,REG,,Yale,Ivy,W,64,56,,4,5,W 1
10,Sun Dec 16 2012,REG,@,Boston College,ACC,L,59,61,OT,4,6,L 1
11,Sun Dec 23 2012,REG,@,Penn State,Big Ten,L,45,72,,4,7,L 2
12,Sun Dec 30 2012,REG,@,Colgate,Patriot,L,63,65,,4,8,L 3
13,Wed Jan 2 2013,REG,,Vermont,AEC,L,51,64,,4,9,L 4
14,Sat Jan 5 2013,REG,@,Stony Brook,AEC,L,49,65,,4,10,L 5
15,Wed Jan 9 2013,REG,@,Maryland-Baltimore County,AEC,L,57,68,,4,11,L 6
16,Wed Jan 16 2013,REG,,Albany (NY),AEC,L,62,68,,4,12,L 7
17,Sat Jan 19 2013,REG,,Boston University,AEC,L,59,69,,4,13,L 8
18,Thu Jan 24 2013,REG,,Hartford,AEC,L,40,51,,4,14,L 9
19,Sat Jan 26 2013,REG,@,Binghamton,AEC,W,63,45,,5,14,W 1
20,Wed Jan 30 2013,REG,@,Maine,AEC,W,57,54,,6,14,W 2
21,Sat Feb 2 2013,REG,,Stony Brook,AEC,L,54,56,,6,15,L 1
22,Wed Feb 6 2013,REG,@,Vermont,AEC,L,48,63,,6,16,L 2
23,Wed Feb 13 2013,REG,,Maryland-Baltimore County,AEC,W,92,86,OT,7,16,W 1
24,Sun Feb 17 2013,REG,@,Boston University,AEC,L,56,68,,7,17,L 1
25,Wed Feb 20 2013,REG,@,Hartford,AEC,L,44,49,,7,18,L 2
26,Sat Feb 23 2013,REG,,Binghamton,AEC,W,68,56,,8,18,W 1
27,Thu Feb 28 2013,REG,@,Albany (NY),AEC,L,49,56,,8,19,L 1
28,Sun Mar 3 2013,REG,,Maine,AEC,W,79,74,,9,19,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
29,Sat Mar 9 2013,CTOURN,N,Vermont,AEC,L,42,61,,9,20,L 1
