G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Tue Nov 13 2012,REG,,Davidson,Southern,W,86,81,,1,0,W 1
2,Fri Nov 16 2012,REG,N,Illinois-Chicago,Horizon,W,66,59,,2,0,W 2
3,Sun Nov 18 2012,REG,N,George Mason,CAA,W,70,69,,3,0,W 3
4,Mon Nov 19 2012,REG,N,Connecticut,Big East,W,66,60,,4,0,W 4
5,Fri Nov 23 2012,REG,,Idaho,WAC,W,73,58,,5,0,W 5
6,Sun Nov 25 2012,REG,,Portland,WCC,W,69,54,,6,0,W 6
7,Wed Nov 28 2012,REG,,Mercer,A-Sun,W,76,58,,7,0,W 7
8,Sat Dec 1 2012,REG,@,Indiana State,MVC,W,77,68,OT,8,0,W 8
9,Wed Dec 5 2012,REG,,Southern California,Pac-12,W,75,67,,9,0,W 9
10,Sat Dec 8 2012,REG,,Valparaiso,Horizon,W,65,52,,10,0,W 10
11,Sat Dec 15 2012,REG,,New Mexico State,WAC,W,73,58,,11,0,W 11
12,Wed Dec 19 2012,REG,@,New Mexico State,WAC,W,68,63,,12,0,W 12
13,Sat Dec 22 2012,REG,,South Dakota State,Summit,L,65,70,,12,1,L 1
14,Thu Dec 27 2012,REG,@,Cincinnati,Big East,W,55,54,,13,1,W 1
15,Mon Dec 31 2012,REG,@,Saint Louis,A-10,L,46,60,,13,2,L 1
16,Wed Jan 9 2013,REG,,Nevada-Las Vegas,MWC,W,65,60,,14,2,W 1
17,Sat Jan 12 2013,REG,,Fresno State,MWC,W,72,45,,15,2,W 2
18,Wed Jan 16 2013,REG,@,Boise State,MWC,W,79,74,OT,16,2,W 3
19,Wed Jan 23 2013,REG,,Colorado State,MWC,W,66,61,,17,2,W 4
20,Sat Jan 26 2013,REG,@,San Diego State,MWC,L,34,55,,17,3,L 1
21,Wed Jan 30 2013,REG,@,Wyoming,MWC,W,63,59,,18,3,W 1
22,Sat Feb 2 2013,REG,,Nevada,MWC,W,75,62,,19,3,W 2
23,Wed Feb 6 2013,REG,,Air Force,MWC,W,81,58,,20,3,W 3
24,Sat Feb 9 2013,REG,@,Nevada-Las Vegas,MWC,L,55,64,,20,4,L 1
25,Wed Feb 13 2013,REG,@,Fresno State,MWC,W,54,48,,21,4,W 1
26,Sat Feb 16 2013,REG,,Boise State,MWC,W,60,50,,22,4,W 2
27,Sat Feb 23 2013,REG,@,Colorado State,MWC,W,91,82,,23,4,W 3
28,Wed Feb 27 2013,REG,,San Diego State,MWC,W,70,60,,24,4,W 4
29,Sat Mar 2 2013,REG,,Wyoming,MWC,W,53,42,,25,4,W 5
30,Wed Mar 6 2013,REG,@,Nevada,MWC,W,75,62,,26,4,W 6
31,Sat Mar 9 2013,REG,@,Air Force,MWC,L,88,89,,26,5,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Wed Mar 13 2013,CTOURN,N,Wyoming,MWC,W,59,46,,27,5,W 1
33,Fri Mar 15 2013,CTOURN,N,San Diego State,MWC,W,60,50,,28,5,W 2
34,Sat Mar 16 2013,CTOURN,N,Nevada-Las Vegas,MWC,W,63,56,,29,5,W 3
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
35,Thu Mar 21 2013,NCAA,N,Harvard,Ivy,L,62,68,,29,6,L 1
