G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,San Jose State,WAC,W,72,68,,1,0,W 1
2,Mon Nov 12 2012,REG,,Southern Illinois,MVC,L,55,72,,1,1,L 1
3,Thu Nov 15 2012,REG,,Bethune-Cookman,MEAC,L,65,71,,1,2,L 2
4,Tue Nov 20 2012,REG,,Blue Mountain College,,W,99,51,,2,2,W 1
5,Mon Nov 26 2012,REG,@,Nicholls State,Southland,L,79,92,,2,3,L 1
6,Thu Nov 29 2012,REG,,Southeast Missouri State,OVC,L,67,83,,2,4,L 2
7,Sat Dec 8 2012,REG,@,Duquesne,A-10,L,70,88,,2,5,L 3
8,Wed Dec 12 2012,REG,,Nicholls State,Southland,W,79,76,,3,5,W 1
9,Mon Dec 17 2012,REG,@,Southern Illinois,MVC,L,61,74,,3,6,L 1
10,Wed Dec 19 2012,REG,@,Southeast Missouri State,OVC,L,71,94,,3,7,L 2
11,Sun Dec 23 2012,REG,N,Boise State,MWC,L,51,67,,3,8,L 3
12,Thu Jan 3 2013,REG,@,Mississippi State,SEC,L,46,97,,3,9,L 4
13,Sat Jan 5 2013,REG,@,Butler,A-10,L,44,57,,3,10,L 5
14,Tue Jan 8 2013,REG,@,San Jose State,WAC,L,64,71,,3,11,L 6
15,Sat Jan 12 2013,REG,,Champion Baptist,,W,87,50,,4,11,W 1
16,Sat Jan 19 2013,REG,@,Rice,CUSA,L,71,95,,4,12,L 1
17,Mon Jan 21 2013,REG,,NJIT,GWC,W,96,94,3OT,5,12,W 1
18,Wed Jan 23 2013,REG,@,Air Force,MWC,L,48,90,,5,13,L 1
19,Sat Jan 26 2013,REG,,Champion Baptist,,W,94,54,,6,13,W 1
20,Wed Feb 6 2013,REG,,Texas-Pan American,GWC,W,75,73,OT,7,13,W 2
21,Sat Feb 9 2013,REG,,Houston Baptist,GWC,L,68,75,OT,7,14,L 1
22,Mon Feb 18 2013,REG,,Central Baptist,,W,100,59,,8,14,W 1
23,Thu Feb 21 2013,REG,@,Bowling Green State,MAC,L,56,87,,8,15,L 1
24,Sat Feb 23 2013,REG,@,NJIT,GWC,L,64,84,,8,16,L 2
25,Mon Feb 25 2013,REG,@,Houston Baptist,GWC,L,52,65,,8,17,L 3
26,Sun Mar 3 2013,REG,@,Texas-Pan American,GWC,L,57,71,,8,18,L 4
