G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,@,Vanderbilt,SEC,L,65,80,,0,1,L 1
2,Fri Nov 16 2012,REG,@,Missouri,SEC,L,54,74,,0,2,L 2
3,Mon Nov 26 2012,REG,,New Orleans,Ind,W,92,79,,1,2,W 1
4,Sat Dec 1 2012,REG,@,Michigan State,Big Ten,L,39,84,,1,3,L 1
5,Tue Dec 4 2012,REG,@,Tulane,CUSA,L,48,65,,1,4,L 2
6,Wed Dec 12 2012,REG,@,New Orleans,Ind,L,76,79,,1,5,L 3
7,Thu Dec 20 2012,REG,@,Utah State,WAC,L,72,79,,1,6,L 4
8,Fri Dec 21 2012,REG,N,Southern Illinois,MVC,L,53,65,,1,7,L 5
9,Sat Dec 22 2012,REG,N,California-Davis,Big West,L,71,82,,1,8,L 6
10,Sat Dec 29 2012,REG,@,Nebraska,Big Ten,L,59,68,,1,9,L 7
11,Thu Jan 3 2013,REG,,Central Arkansas,Southland,W,83,79,,2,9,W 1
12,Sat Jan 5 2013,REG,,Oral Roberts,Southland,L,63,76,,2,10,L 1
13,Mon Jan 7 2013,REG,@,McNeese State,Southland,W,64,63,,3,10,W 1
14,Sat Jan 12 2013,REG,@,Southeastern Louisiana,Southland,L,65,70,,3,11,L 1
15,Thu Jan 17 2013,REG,@,Northwestern State,Southland,W,93,78,,4,11,W 1
16,Sat Jan 19 2013,REG,@,Stephen F. Austin,Southland,L,49,72,,4,12,L 1
17,Thu Jan 24 2013,REG,,Texas A&M-Corpus Christi,Southland,W,69,62,,5,12,W 1
18,Sat Jan 26 2013,REG,,Sam Houston State,Southland,W,70,67,OT,6,12,W 2
19,Thu Jan 31 2013,REG,@,Oral Roberts,Southland,L,78,90,,6,13,L 1
20,Sat Feb 2 2013,REG,@,Central Arkansas,Southland,L,76,79,,6,14,L 2
21,Sat Feb 9 2013,REG,,Southeastern Louisiana,Southland,L,62,73,,6,15,L 3
22,Thu Feb 14 2013,REG,,Stephen F. Austin,Southland,L,51,63,,6,16,L 4
23,Sat Feb 16 2013,REG,,Northwestern State,Southland,L,79,84,,6,17,L 5
24,Tue Feb 19 2013,REG,@,Lamar,Southland,W,74,63,,7,17,W 1
25,Sat Feb 23 2013,REG,@,Texas-San Antonio,WAC,L,58,76,,7,18,L 1
26,Thu Feb 28 2013,REG,@,Sam Houston State,Southland,W,56,53,,8,18,W 1
27,Sat Mar 2 2013,REG,@,Texas A&M-Corpus Christi,Southland,L,64,68,,8,19,L 1
28,Thu Mar 7 2013,REG,,Lamar,Southland,W,90,63,,9,19,W 1
29,Sat Mar 9 2013,REG,,McNeese State,Southland,L,88,91,2OT,9,20,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
30,Wed Mar 13 2013,CTOURN,N,McNeese State,Southland,L,59,62,,9,21,L 2
