G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,@,Providence,Big East,L,63,64,,0,1,L 1
2,Tue Nov 13 2012,REG,,Eastern Nazarene,,W,76,43,,1,1,W 1
3,Sun Nov 18 2012,REG,@,South Carolina State,MEAC,L,74,77,,1,2,L 1
4,Wed Nov 21 2012,REG,,New Hampshire,AEC,W,69,67,,2,2,W 1
5,Sat Nov 24 2012,REG,,South Carolina State,MEAC,W,72,63,,3,2,W 2
6,Tue Nov 27 2012,REG,,Lyndon State,,W,98,42,,4,2,W 3
7,Sat Dec 1 2012,REG,@,St. John's (NY),Big East,L,49,57,,4,3,L 1
8,Tue Dec 4 2012,REG,@,Seton Hall,Big East,L,59,68,,4,4,L 2
9,Tue Dec 11 2012,REG,,Army,Patriot,W,69,67,,5,4,W 1
10,Thu Dec 13 2012,REG,,North Carolina A&T,MEAC,L,71,76,,5,5,L 1
11,Sat Dec 22 2012,REG,,City College of New York,,W,71,43,,6,5,W 1
12,Fri Dec 28 2012,REG,@,Villanova,Big East,L,60,70,,6,6,L 1
13,Sun Dec 30 2012,REG,,St. Francis (NY),NEC,L,87,89,,6,7,L 2
14,Wed Jan 2 2013,REG,@,Lafayette,Patriot,L,66,83,,6,8,L 3
15,Sat Jan 5 2013,REG,@,Utah Valley,GWC,W,57,52,,7,8,W 1
16,Sat Jan 12 2013,REG,,Chicago State,GWC,W,83,78,3OT,8,8,W 2
17,Mon Jan 14 2013,REG,@,Fairleigh Dickinson,NEC,W,66,63,,9,8,W 3
18,Thu Jan 17 2013,REG,,Pennsylvania,Ivy,L,53,54,,9,9,L 1
19,Mon Jan 21 2013,REG,@,New Orleans,Ind,L,94,96,3OT,9,10,L 2
20,Sat Jan 26 2013,REG,,Texas-Pan American,GWC,W,64,51,,10,10,W 1
21,Wed Jan 30 2013,REG,,Fisher College,,W,108,69,,11,10,W 2
22,Sat Feb 2 2013,REG,@,Houston Baptist,GWC,L,57,66,,11,11,L 1
23,Wed Feb 6 2013,REG,@,Colgate,Patriot,W,77,58,,12,11,W 1
24,Sat Feb 9 2013,REG,@,Chicago State,GWC,W,63,58,,13,11,W 2
25,Sat Feb 16 2013,REG,,Utah Valley,GWC,W,63,55,,14,11,W 3
26,Sat Feb 23 2013,REG,,New Orleans,Ind,W,84,64,,15,11,W 4
27,Sat Mar 2 2013,REG,,Houston Baptist,GWC,W,69,58,,16,11,W 5
28,Sat Mar 9 2013,REG,@,Texas-Pan American,GWC,L,59,76,,16,12,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
29,Fri Mar 15 2013,CTOURN,N,Houston Baptist,GWC,L,61,62,,16,13,L 2
