G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Western Carolina,Southern,W,71,61,,1,0,W 1
2,Sun Nov 11 2012,REG,@,North Carolina-Wilmington,CAA,L,59,67,,1,1,L 1
3,Thu Nov 15 2012,REG,N,Tennessee,SEC,L,68,75,,1,2,L 2
4,Fri Nov 16 2012,REG,N,Akron,MAC,L,63,82,,1,3,L 3
5,Sun Nov 18 2012,REG,N,Providence,Big East,L,67,72,,1,4,L 4
6,Fri Nov 23 2012,REG,@,North Carolina State,ACC,L,80,82,,1,5,L 5
7,Thu Nov 29 2012,REG,,South Carolina Upstate,A-Sun,L,71,73,,1,6,L 6
8,Sat Dec 8 2012,REG,,Montreat,,W,85,51,,2,6,W 1
9,Wed Dec 12 2012,REG,,Lenoir-Rhyne,,W,66,55,,3,6,W 2
10,Sat Dec 15 2012,REG,@,Ohio State,Big Ten,L,72,90,,3,7,L 1
11,Tue Dec 18 2012,REG,@,Northeastern,CAA,W,79,73,,4,7,W 1
12,Fri Dec 21 2012,REG,@,St. John's (NY),Big East,W,72,65,,5,7,W 2
13,Sun Dec 30 2012,REG,,Bluefield College (VA),,W,95,66,,6,7,W 3
14,Wed Jan 2 2013,REG,@,Charlotte,A-10,L,63,71,OT,6,8,L 1
15,Sat Jan 5 2013,REG,@,Liberty,Big South,W,83,69,,7,8,W 1
16,Wed Jan 9 2013,REG,@,Gardner-Webb,Big South,L,71,78,,7,9,L 1
17,Sat Jan 12 2013,REG,,Radford,Big South,W,79,61,,8,9,W 1
18,Wed Jan 16 2013,REG,@,Charleston Southern,Big South,L,68,74,,8,10,L 1
19,Sat Jan 19 2013,REG,,Longwood,Big South,W,68,65,,9,10,W 1
20,Wed Jan 23 2013,REG,,Coastal Carolina,Big South,W,63,60,,10,10,W 2
21,Sat Jan 26 2013,REG,,High Point,Big South,W,69,58,,11,10,W 3
22,Wed Jan 30 2013,REG,@,Presbyterian,Big South,W,77,74,,12,10,W 4
23,Sat Feb 2 2013,REG,@,Campbell,Big South,W,78,61,,13,10,W 5
24,Wed Feb 6 2013,REG,,Winthrop,Big South,W,69,56,,14,10,W 6
25,Fri Feb 8 2013,REG,@,Virginia Military Institute,Big South,W,90,79,,15,10,W 7
26,Wed Feb 13 2013,REG,,Gardner-Webb,Big South,L,65,67,,15,11,L 1
27,Sat Feb 16 2013,REG,,Charleston Southern,Big South,L,65,73,,15,12,L 2
28,Tue Feb 19 2013,REG,@,Coastal Carolina,Big South,L,64,65,,15,13,L 3
29,Sat Feb 23 2013,REG,,Jacksonville State,OVC,L,69,71,,15,14,L 4
30,Wed Feb 27 2013,REG,,Presbyterian,Big South,W,74,62,,16,14,W 1
31,Sat Mar 2 2013,REG,@,Winthrop,Big South,L,61,70,,16,15,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Tue Mar 5 2013,CTOURN,N,Longwood,Big South,L,72,87,,16,16,L 2
