G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Greensboro,,W,83,52,,1,0,W 1
2,Mon Nov 12 2012,REG,,Utah Valley,GWC,L,55,64,,1,1,L 1
3,Fri Nov 16 2012,REG,@,Wright State,Horizon,L,44,56,,1,2,L 2
4,Sun Nov 18 2012,REG,@,Cincinnati,Big East,L,39,93,,1,3,L 3
5,Tue Nov 20 2012,REG,@,Iowa State,Big 12,L,57,86,,1,4,L 4
6,Fri Nov 23 2012,REG,N,Campbell,Big South,W,85,60,,2,4,W 1
7,Sat Nov 24 2012,REG,N,Jacksonville State,OVC,L,50,54,OT,2,5,L 1
8,Wed Nov 28 2012,REG,@,North Carolina-Greensboro,Southern,W,90,79,,3,5,W 1
9,Sat Dec 1 2012,REG,,North Carolina Central,MEAC,L,62,66,,3,6,L 1
10,Thu Dec 13 2012,REG,@,NJIT,GWC,W,76,71,,4,6,W 1
11,Sun Dec 16 2012,REG,@,Seton Hall,Big East,L,66,77,,4,7,L 1
12,Wed Dec 19 2012,REG,,Eastern Kentucky,OVC,W,78,67,,5,7,W 1
13,Fri Dec 28 2012,REG,@,Texas Tech,Big 12,L,74,85,,5,8,L 1
14,Sun Dec 30 2012,REG,@,Cal State Bakersfield,Ind,L,52,60,,5,9,L 2
15,Wed Jan 2 2013,REG,,Radford,Big South,W,81,77,,6,9,W 1
16,Sat Jan 5 2013,REG,@,Georgia Southern,Southern,W,71,65,,7,9,W 2
17,Sat Jan 12 2013,REG,@,Bethune-Cookman,MEAC,L,60,72,,7,10,L 1
18,Mon Jan 14 2013,REG,@,Florida A&M,MEAC,W,68,40,,8,10,W 1
19,Sat Jan 19 2013,REG,,Howard,MEAC,W,61,37,,9,10,W 2
20,Sat Jan 26 2013,REG,,Morgan State,MEAC,L,52,55,,9,11,L 1
21,Mon Jan 28 2013,REG,,Coppin State,MEAC,W,63,62,,10,11,W 1
22,Sat Feb 2 2013,REG,@,Maryland-Eastern Shore,MEAC,W,46,44,,11,11,W 2
23,Mon Feb 4 2013,REG,@,Delaware State,MEAC,L,44,53,,11,12,L 1
24,Sat Feb 9 2013,REG,,Bethune-Cookman,MEAC,W,65,55,,12,12,W 1
25,Mon Feb 11 2013,REG,,Florida A&M,MEAC,W,64,56,,13,12,W 2
26,Sat Feb 16 2013,REG,@,South Carolina State,MEAC,L,70,72,,13,13,L 1
27,Mon Feb 18 2013,REG,@,Savannah State,MEAC,L,49,56,,13,14,L 2
28,Sat Feb 23 2013,REG,@,North Carolina Central,MEAC,L,47,51,,13,15,L 3
29,Sat Mar 2 2013,REG,,South Carolina State,MEAC,W,58,35,,14,15,W 1
30,Mon Mar 4 2013,REG,,Savannah State,MEAC,W,59,57,,15,15,W 2
31,Thu Mar 7 2013,REG,@,Norfolk State,MEAC,L,48,55,,15,16,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Tue Mar 12 2013,CTOURN,N,Florida A&M,MEAC,W,65,54,,16,16,W 1
33,Wed Mar 13 2013,CTOURN,N,North Carolina Central,MEAC,W,55,42,,17,16,W 2
34,Fri Mar 15 2013,CTOURN,N,Delaware State,MEAC,W,84,78,,18,16,W 3
35,Sat Mar 16 2013,CTOURN,N,Morgan State,MEAC,W,57,54,,19,16,W 4
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
36,Tue Mar 19 2013,NCAA,N,Liberty,Big South,W,73,72,,20,16,W 5
37,Thu Mar 21 2013,NCAA,N,Louisville,Big East,L,48,79,,20,17,L 1
