G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Gardner-Webb,Big South,W,76,59,,1,0,W 1
2,Sun Nov 11 2012,REG,,Florida Atlantic,Sun Belt,W,80,56,,2,0,W 2
3,Fri Nov 16 2012,REG,@,Long Beach State,Big West,W,78,63,,3,0,W 3
4,Mon Nov 19 2012,REG,N,Mississippi State,SEC,W,95,49,,4,0,W 4
5,Tue Nov 20 2012,REG,N,Butler,A-10,L,71,82,,4,1,L 1
6,Wed Nov 21 2012,REG,@,Chaminade,,W,112,70,,5,1,W 1
7,Tue Nov 27 2012,REG,@,Indiana,Big Ten,L,59,83,,5,2,L 1
8,Sat Dec 1 2012,REG,,Alabama-Birmingham,CUSA,W,102,84,,6,2,W 1
9,Sat Dec 8 2012,REG,,East Tennessee State,A-Sun,W,78,55,,7,2,W 2
10,Sat Dec 15 2012,REG,,East Carolina,CUSA,W,93,87,,8,2,W 3
11,Wed Dec 19 2012,REG,@,Texas,Big 12,L,67,85,,8,3,L 1
12,Sat Dec 22 2012,REG,,McNeese State,Southland,W,97,63,,9,3,W 1
13,Sat Dec 29 2012,REG,,Nevada-Las Vegas,MWC,W,79,73,,10,3,W 2
14,Sun Jan 6 2013,REG,@,Virginia,ACC,L,52,61,,10,4,L 1
15,Thu Jan 10 2013,REG,,Miami (FL),ACC,L,59,68,,10,5,L 2
16,Sat Jan 12 2013,REG,@,Florida State,ACC,W,77,72,,11,5,W 1
17,Sat Jan 19 2013,REG,,Maryland,ACC,W,62,52,,12,5,W 2
18,Wed Jan 23 2013,REG,,Georgia Tech,ACC,W,79,63,,13,5,W 3
19,Sat Jan 26 2013,REG,@,North Carolina State,ACC,L,83,91,,13,6,L 1
20,Tue Jan 29 2013,REG,@,Boston College,ACC,W,82,70,,14,6,W 1
21,Sat Feb 2 2013,REG,,Virginia Tech,ACC,W,72,60,OT,15,6,W 2
22,Tue Feb 5 2013,REG,,Wake Forest,ACC,W,87,62,,16,6,W 3
23,Sat Feb 9 2013,REG,@,Miami (FL),ACC,L,61,87,,16,7,L 1
24,Wed Feb 13 2013,REG,@,Duke,ACC,L,68,73,,16,8,L 2
25,Sat Feb 16 2013,REG,,Virginia,ACC,W,93,81,,17,8,W 1
26,Tue Feb 19 2013,REG,@,Georgia Tech,ACC,W,70,58,,18,8,W 2
27,Sat Feb 23 2013,REG,,North Carolina State,ACC,W,76,65,,19,8,W 3
28,Thu Feb 28 2013,REG,@,Clemson,ACC,W,68,59,,20,8,W 4
29,Sun Mar 3 2013,REG,,Florida State,ACC,W,79,58,,21,8,W 5
30,Wed Mar 6 2013,REG,@,Maryland,ACC,W,79,68,,22,8,W 6
31,Sat Mar 9 2013,REG,,Duke,ACC,L,53,69,,22,9,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Fri Mar 15 2013,CTOURN,N,Florida State,ACC,W,83,62,,23,9,W 1
33,Sat Mar 16 2013,CTOURN,N,Maryland,ACC,W,79,76,,24,9,W 2
34,Sun Mar 17 2013,CTOURN,N,Miami (FL),ACC,L,77,87,,24,10,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
35,Fri Mar 22 2013,NCAA,N,Villanova,Big East,W,78,71,,25,10,W 1
36,Sun Mar 24 2013,NCAA,N,Kansas,Big 12,L,58,70,,25,11,L 1
