G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Valley City State,,W,93,47,,1,0,W 1
2,Mon Nov 12 2012,REG,@,Indiana,Big Ten,L,61,87,,1,1,L 1
3,Sat Nov 17 2012,REG,,Mayville State,,W,73,40,,2,1,W 1
4,Mon Nov 19 2012,REG,N,Youngstown State,Horizon,W,83,80,OT,3,1,W 2
5,Tue Nov 20 2012,REG,@,Duquesne,A-10,W,57,43,,4,1,W 3
6,Wed Nov 21 2012,REG,N,James Madison,CAA,W,66,44,,5,1,W 4
7,Sat Nov 24 2012,REG,@,Green Bay,Horizon,L,59,74,,5,2,L 1
8,Thu Nov 29 2012,REG,,Nebraska-Omaha,Summit,W,95,51,,6,2,W 1
9,Wed Dec 5 2012,REG,@,Morehead State,OVC,W,69,57,,7,2,W 2
10,Sun Dec 9 2012,REG,,North Dakota,Big Sky,W,72,52,,8,2,W 3
11,Tue Dec 11 2012,REG,@,Minnesota,Big Ten,L,57,70,,8,3,L 1
12,Sat Dec 15 2012,REG,@,Towson,CAA,W,65,48,,9,3,W 1
13,Fri Dec 21 2012,REG,,Morehead State,OVC,W,69,49,,10,3,W 2
14,Sat Dec 29 2012,REG,,South Dakota State,Summit,W,65,62,,11,3,W 3
15,Thu Jan 3 2013,REG,@,South Dakota,Summit,W,92,66,,12,3,W 4
16,Sat Jan 5 2013,REG,@,Missouri-Kansas City,Summit,W,63,44,,13,3,W 5
17,Thu Jan 10 2013,REG,,IPFW,Summit,W,67,55,,14,3,W 6
18,Sat Jan 12 2013,REG,,Oakland,Summit,W,73,65,,15,3,W 7
19,Thu Jan 17 2013,REG,N,IUPUI,Summit,W,78,40,,16,3,W 8
20,Sat Jan 19 2013,REG,@,Western Illinois,Summit,L,42,50,,16,4,L 1
21,Sat Jan 26 2013,REG,@,South Dakota State,Summit,L,53,69,,16,5,L 2
22,Thu Jan 31 2013,REG,,Missouri-Kansas City,Summit,W,71,34,,17,5,W 1
23,Sat Feb 2 2013,REG,,South Dakota,Summit,W,65,46,,18,5,W 2
24,Thu Feb 7 2013,REG,@,Oakland,Summit,L,63,66,,18,6,L 1
25,Sat Feb 9 2013,REG,@,IPFW,Summit,W,58,54,,19,6,W 1
26,Thu Feb 14 2013,REG,,Western Illinois,Summit,L,36,49,,19,7,L 1
27,Sat Feb 16 2013,REG,,IUPUI,Summit,W,75,39,,20,7,W 1
28,Fri Feb 22 2013,REG,@,Akron,MAC,L,53,68,,20,8,L 1
29,Tue Feb 26 2013,REG,,Utah Valley,GWC,W,63,56,,21,8,W 1
30,Sat Mar 2 2013,REG,@,Nebraska-Omaha,Summit,W,84,57,,22,8,W 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Sun Mar 10 2013,CTOURN,N,Missouri-Kansas City,Summit,W,69,58,,23,8,W 3
32,Mon Mar 11 2013,CTOURN,N,Western Illinois,Summit,W,55,43,,24,8,W 4
33,Tue Mar 12 2013,CTOURN,N,South Dakota State,Summit,L,67,73,,24,9,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
34,Wed Mar 20 2013,CBI,@,Western Michigan,MAC,L,71,72,OT,24,10,L 2
