G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,,Edward Waters,,W,79,65,,1,0,W 1
2,Mon Nov 12 2012,REG,@,Memphis,CUSA,L,66,81,,1,1,L 1
3,Wed Nov 14 2012,REG,@,Savannah State,MEAC,L,47,54,,1,2,L 2
4,Sun Nov 18 2012,REG,@,Kansas State,Big 12,L,55,74,,1,3,L 3
5,Wed Nov 21 2012,REG,@,Florida State,ACC,L,67,75,,1,4,L 4
6,Tue Nov 27 2012,REG,@,Bethune-Cookman,MEAC,W,71,65,,2,4,W 1
7,Thu Nov 29 2012,REG,,Florida A&M,MEAC,W,72,47,,3,4,W 2
8,Sat Dec 1 2012,REG,@,Minnesota,Big Ten,L,59,87,,3,5,L 1
9,Sat Dec 8 2012,REG,@,Pittsburgh,Big East,L,47,89,,3,6,L 2
10,Mon Dec 17 2012,REG,@,Colorado State,MWC,L,55,83,,3,7,L 3
11,Wed Dec 19 2012,REG,@,Portland,WCC,L,64,74,,3,8,L 4
12,Sat Dec 22 2012,REG,N,Cal State Bakersfield,Ind,W,80,70,,4,8,W 1
13,Sun Dec 23 2012,REG,N,Georgia Southern,Southern,W,74,46,,5,8,W 2
14,Mon Dec 31 2012,REG,,Lipscomb,A-Sun,W,84,70,,6,8,W 3
15,Wed Jan 2 2013,REG,,Northern Kentucky,A-Sun,L,52,65,,6,9,L 1
16,Sat Jan 5 2013,REG,@,Stetson,A-Sun,W,90,74,,7,9,W 1
17,Mon Jan 7 2013,REG,@,Florida Gulf Coast,A-Sun,L,73,75,,7,10,L 1
18,Thu Jan 10 2013,REG,,Mercer,A-Sun,L,47,66,,7,11,L 2
19,Sat Jan 12 2013,REG,,Kennesaw State,A-Sun,W,81,72,,8,11,W 1
20,Fri Jan 18 2013,REG,,Jacksonville,A-Sun,L,68,77,,8,12,L 1
21,Thu Jan 24 2013,REG,@,South Carolina Upstate,A-Sun,L,57,63,,8,13,L 2
22,Sat Jan 26 2013,REG,@,East Tennessee State,A-Sun,L,75,89,,8,14,L 3
23,Thu Jan 31 2013,REG,,Florida Gulf Coast,A-Sun,L,75,89,,8,15,L 4
24,Sat Feb 2 2013,REG,,Stetson,A-Sun,W,64,59,,9,15,W 1
25,Thu Feb 7 2013,REG,@,Kennesaw State,A-Sun,W,60,52,,10,15,W 2
26,Sat Feb 9 2013,REG,@,Mercer,A-Sun,L,44,64,,10,16,L 1
27,Fri Feb 15 2013,REG,@,Jacksonville,A-Sun,L,68,70,,10,17,L 2
28,Thu Feb 21 2013,REG,,East Tennessee State,A-Sun,W,77,64,,11,17,W 1
29,Sat Feb 23 2013,REG,,South Carolina Upstate,A-Sun,W,77,53,,12,17,W 2
30,Thu Feb 28 2013,REG,@,Northern Kentucky,A-Sun,L,45,72,,12,18,L 1
31,Sat Mar 2 2013,REG,@,Lipscomb,A-Sun,W,85,78,,13,18,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Wed Mar 6 2013,CTOURN,N,Florida Gulf Coast,A-Sun,L,63,73,,13,19,L 1
