G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,Creighton,MVC,L,51,71,,0,1,L 1
2,Mon Nov 12 2012,REG,N,Alabama-Huntsville,,L,75,78,,0,2,L 2
3,Tue Nov 13 2012,REG,N,Lamar,Southland,W,74,59,,1,2,W 1
4,Fri Nov 16 2012,REG,,Cameron,,W,78,49,,2,2,W 2
5,Mon Nov 19 2012,REG,N,IUPUI,Summit,W,80,66,,3,2,W 3
6,Tue Nov 20 2012,REG,@,Virginia,ACC,L,64,80,,3,3,L 1
7,Wed Nov 28 2012,REG,,Texas-Arlington,WAC,L,59,72,,3,4,L 2
8,Sat Dec 1 2012,REG,,Louisiana-Lafayette,Sun Belt,L,76,80,,3,5,L 3
9,Wed Dec 5 2012,REG,@,Saint Louis,A-10,L,63,67,,3,6,L 4
10,Sat Dec 8 2012,REG,,Jackson State,SWAC,W,83,65,,4,6,W 1
11,Sun Dec 16 2012,REG,,Southeastern Louisiana,Southland,W,45,40,,5,6,W 2
12,Thu Dec 20 2012,REG,,Lehigh,Patriot,L,75,90,,5,7,L 1
13,Sat Dec 29 2012,REG,@,Western Kentucky,Sun Belt,L,64,70,,5,8,L 2
14,Mon Dec 31 2012,REG,@,Middle Tennessee,Sun Belt,L,57,75,,5,9,L 3
15,Thu Jan 3 2013,REG,,Troy,Sun Belt,W,76,59,,6,9,W 1
16,Sat Jan 5 2013,REG,,Louisiana-Monroe,Sun Belt,L,68,81,,6,10,L 1
17,Thu Jan 10 2013,REG,@,Arkansas-Little Rock,Sun Belt,L,53,67,,6,11,L 2
18,Sat Jan 12 2013,REG,,South Alabama,Sun Belt,W,66,56,,7,11,W 1
19,Thu Jan 17 2013,REG,@,Florida International,Sun Belt,L,64,70,,7,12,L 1
20,Sat Jan 19 2013,REG,@,Florida Atlantic,Sun Belt,W,61,59,OT,8,12,W 1
21,Thu Jan 24 2013,REG,,Middle Tennessee,Sun Belt,L,64,72,,8,13,L 1
22,Sat Jan 26 2013,REG,,Arkansas-Little Rock,Sun Belt,L,57,62,,8,14,L 2
23,Thu Jan 31 2013,REG,@,Louisiana-Lafayette,Sun Belt,L,74,105,,8,15,L 3
24,Sat Feb 2 2013,REG,@,Arkansas State,Sun Belt,L,66,75,OT,8,16,L 4
25,Thu Feb 7 2013,REG,,Western Kentucky,Sun Belt,L,59,70,,8,17,L 5
26,Sat Feb 9 2013,REG,,Florida International,Sun Belt,W,77,67,,9,17,W 1
27,Thu Feb 14 2013,REG,@,Louisiana-Monroe,Sun Belt,L,73,85,,9,18,L 1
28,Sat Feb 16 2013,REG,@,Troy,Sun Belt,W,63,61,,10,18,W 1
29,Thu Feb 21 2013,REG,,Florida Atlantic,Sun Belt,W,66,57,OT,11,18,W 2
30,Sat Feb 23 2013,REG,@,South Alabama,Sun Belt,L,57,69,,11,19,L 1
31,Thu Feb 28 2013,REG,,Arkansas State,Sun Belt,W,74,50,,12,19,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Fri Mar 8 2013,CTOURN,N,Louisiana-Lafayette,Sun Belt,L,55,74,,12,20,L 1
