G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,@,Oregon,Pac-12,L,73,83,,0,1,L 1
2,Mon Nov 12 2012,REG,@,Nevada-Las Vegas,MWC,L,54,92,,0,2,L 2
3,Sun Nov 18 2012,REG,@,California-Davis,Big West,W,85,82,,1,2,W 1
4,Fri Nov 23 2012,REG,N,Jacksonville State,OVC,L,48,50,,1,3,L 1
5,Sat Nov 24 2012,REG,N,Campbell,Big South,W,70,62,,2,3,W 1
6,Wed Nov 28 2012,REG,@,Arizona,Pac-12,L,50,93,,2,4,L 1
7,Sat Dec 1 2012,REG,,Sam Houston State,Southland,W,77,60,,3,4,W 1
8,Wed Dec 5 2012,REG,,Loyola Marymount,WCC,L,86,92,OT,3,5,L 1
9,Mon Dec 17 2012,REG,,Montana State,Big Sky,W,87,80,,4,5,W 1
10,Wed Dec 19 2012,REG,,Montana,Big Sky,L,56,62,,4,6,L 1
11,Fri Dec 21 2012,REG,@,Colorado,Pac-12,L,51,98,,4,7,L 2
12,Thu Dec 27 2012,REG,@,Brigham Young,WCC,L,54,84,,4,8,L 3
13,Thu Jan 3 2013,REG,,Sacramento State,Big Sky,W,57,50,,5,8,W 1
14,Sat Jan 5 2013,REG,,Southern Utah,Big Sky,L,77,90,,5,9,L 1
15,Thu Jan 10 2013,REG,@,Eastern Washington,Big Sky,L,59,82,,5,10,L 2
16,Sat Jan 12 2013,REG,@,Portland State,Big Sky,L,74,79,,5,11,L 3
17,Thu Jan 17 2013,REG,@,Weber State,Big Sky,L,70,83,,5,12,L 4
18,Sat Jan 19 2013,REG,@,Idaho State,Big Sky,W,60,55,,6,12,W 1
19,Thu Jan 24 2013,REG,,Northern Colorado,Big Sky,W,67,65,,7,12,W 2
20,Sat Jan 26 2013,REG,,North Dakota,Big Sky,L,79,81,,7,13,L 1
21,Sat Feb 2 2013,REG,@,Southern Utah,Big Sky,L,67,78,,7,14,L 2
22,Mon Feb 4 2013,REG,@,Sacramento State,Big Sky,W,62,61,,8,14,W 1
23,Thu Feb 7 2013,REG,,Portland State,Big Sky,W,79,72,,9,14,W 2
24,Sat Feb 9 2013,REG,,Eastern Washington,Big Sky,L,74,77,OT,9,15,L 1
25,Thu Feb 14 2013,REG,@,Northern Colorado,Big Sky,L,68,76,,9,16,L 2
26,Sat Feb 16 2013,REG,@,North Dakota,Big Sky,W,74,72,OT,10,16,W 1
27,Sat Feb 23 2013,REG,@,Hawaii,Big West,L,50,84,,10,17,L 1
28,Thu Feb 28 2013,REG,,Idaho State,Big Sky,W,67,58,,11,17,W 1
29,Sat Mar 2 2013,REG,,Weber State,Big Sky,L,78,80,OT,11,18,L 1
30,Thu Mar 7 2013,REG,@,Montana State,Big Sky,L,79,83,OT,11,19,L 2
31,Sat Mar 9 2013,REG,@,Montana,Big Sky,L,50,63,,11,20,L 3
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Thu Mar 14 2013,CTOURN,N,Weber State,Big Sky,L,58,84,,11,21,L 4
