G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,,Wartburg,,W,103,50,,1,0,W 1
2,Wed Nov 14 2012,REG,,Toledo,MAC,W,84,81,OT,2,0,W 2
3,Sat Nov 17 2012,REG,,North Dakota,Big Sky,W,72,47,,3,0,W 3
4,Thu Nov 22 2012,REG,N,Louisville,Big East,L,46,51,,3,1,L 1
5,Fri Nov 23 2012,REG,N,Stanford,Pac-12,L,50,66,,3,2,L 2
6,Sat Nov 24 2012,REG,N,Memphis,CUSA,L,47,52,,3,3,L 3
7,Sat Dec 1 2012,REG,,Milwaukee,Horizon,W,72,61,,4,3,W 1
8,Wed Dec 5 2012,REG,,Northern Colorado,Big Sky,W,76,59,,5,3,W 2
9,Sat Dec 8 2012,REG,@,George Mason,CAA,W,82,77,OT,6,3,W 3
10,Sat Dec 15 2012,REG,N,Iowa,Big Ten,L,73,80,,6,4,L 1
11,Wed Dec 19 2012,REG,@,Nevada-Las Vegas,MWC,L,59,73,,6,5,L 2
12,Sun Dec 23 2012,REG,,Saint Mary's (CA),WCC,W,82,75,,7,5,W 1
13,Sun Dec 30 2012,REG,@,Wichita State,MVC,L,41,66,,7,6,L 1
14,Wed Jan 2 2013,REG,,Indiana State,MVC,L,61,65,,7,7,L 2
15,Sat Jan 5 2013,REG,@,Illinois State,MVC,W,70,60,,8,7,W 1
16,Wed Jan 9 2013,REG,,Evansville,MVC,L,59,62,,8,8,L 1
17,Sat Jan 12 2013,REG,,Bradley,MVC,W,84,53,,9,8,W 1
18,Tue Jan 15 2013,REG,@,Creighton,MVC,L,68,79,,9,9,L 1
19,Sun Jan 20 2013,REG,,Drake,MVC,W,85,55,,10,9,W 1
20,Wed Jan 23 2013,REG,,Southern Illinois,MVC,W,58,45,,11,9,W 2
21,Sat Jan 26 2013,REG,@,Indiana State,MVC,L,58,59,,11,10,L 1
22,Tue Jan 29 2013,REG,@,Evansville,MVC,L,51,54,OT,11,11,L 2
23,Sat Feb 2 2013,REG,,Wichita State,MVC,W,57,52,,12,11,W 1
24,Tue Feb 5 2013,REG,,Missouri State,MVC,W,48,37,,13,11,W 2
25,Sun Feb 10 2013,REG,@,Bradley,MVC,W,68,65,,14,11,W 3
26,Wed Feb 13 2013,REG,,Creighton,MVC,W,61,54,,15,11,W 4
27,Sat Feb 16 2013,REG,@,Drake,MVC,W,71,64,,16,11,W 5
28,Tue Feb 19 2013,REG,@,Missouri State,MVC,W,69,63,,17,11,W 6
29,Sat Feb 23 2013,REG,,Denver,WAC,L,57,63,,17,12,L 1
30,Wed Feb 27 2013,REG,@,Southern Illinois,MVC,L,57,63,,17,13,L 2
31,Sat Mar 2 2013,REG,,Illinois State,MVC,W,80,72,,18,13,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Fri Mar 8 2013,CTOURN,N,Illinois State,MVC,L,65,73,,18,14,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
33,Wed Mar 20 2013,CIT,,North Dakota,Big Sky,W,77,66,,19,14,W 1
34,Sat Mar 23 2013,CIT,,Illinois-Chicago,Horizon,W,63,51,,20,14,W 2
35,Tue Mar 26 2013,CIT,,Bradley,MVC,W,90,77,,21,14,W 3
36,Sat Mar 30 2013,CIT,,Weber State,Big Sky,L,56,59,,21,15,L 1
