G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,East Texas Baptist,,W,118,77,,1,0,W 1
2,Mon Nov 12 2012,REG,@,Campbell,Big South,W,71,67,,2,0,W 2
3,Sat Nov 17 2012,REG,,Hannibal-LaGrange,,W,92,43,,3,0,W 3
4,Tue Nov 20 2012,REG,@,Louisiana State,SEC,L,95,102,,3,1,L 1
5,Mon Nov 26 2012,REG,@,Texas A&M,SEC,L,65,78,,3,2,L 2
6,Fri Nov 30 2012,REG,@,Oklahoma,Big 12,L,65,69,,3,3,L 3
7,Tue Dec 4 2012,REG,,Louisiana Tech,WAC,W,89,83,,4,3,W 1
8,Sat Dec 15 2012,REG,,Missouri Valley,,W,95,78,,5,3,W 2
9,Sat Dec 29 2012,REG,@,Arkansas,SEC,L,61,79,,5,4,L 1
10,Mon Dec 31 2012,REG,,LeTourneau,,W,102,52,,6,4,W 1
11,Thu Jan 3 2013,REG,,McNeese State,Southland,W,78,63,,7,4,W 2
12,Sat Jan 5 2013,REG,,Lamar,Southland,W,86,58,,8,4,W 3
13,Mon Jan 7 2013,REG,@,Sam Houston State,Southland,W,73,64,,9,4,W 4
14,Thu Jan 10 2013,REG,@,Oral Roberts,Southland,L,74,80,,9,5,L 1
15,Sat Jan 12 2013,REG,@,Central Arkansas,Southland,W,100,88,,10,5,W 1
16,Thu Jan 17 2013,REG,,Nicholls State,Southland,L,78,93,,10,6,L 1
17,Sat Jan 19 2013,REG,,Southeastern Louisiana,Southland,W,103,68,,11,6,W 1
18,Sat Jan 26 2013,REG,,Stephen F. Austin,Southland,W,61,57,,12,6,W 2
19,Thu Jan 31 2013,REG,@,Lamar,Southland,W,85,63,,13,6,W 3
20,Sun Feb 3 2013,REG,@,McNeese State,Southland,W,86,74,,14,6,W 4
21,Thu Feb 7 2013,REG,,Oral Roberts,Southland,W,85,73,,15,6,W 5
22,Sat Feb 9 2013,REG,,Central Arkansas,Southland,W,93,73,,16,6,W 6
23,Thu Feb 14 2013,REG,@,Southeastern Louisiana,Southland,W,79,76,,17,6,W 7
24,Sat Feb 16 2013,REG,@,Nicholls State,Southland,W,84,79,,18,6,W 8
25,Tue Feb 19 2013,REG,@,Texas A&M-Corpus Christi,Southland,W,82,71,,19,6,W 9
26,Sat Feb 23 2013,REG,@,Niagara,MAAC,L,76,92,,19,7,L 1
27,Sat Mar 2 2013,REG,@,Stephen F. Austin,Southland,L,63,64,,19,8,L 2
28,Thu Mar 7 2013,REG,,Texas A&M-Corpus Christi,Southland,W,66,51,,20,8,W 1
29,Sat Mar 9 2013,REG,,Sam Houston State,Southland,W,84,73,,21,8,W 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
30,Fri Mar 15 2013,CTOURN,N,Sam Houston State,Southland,W,55,52,,22,8,W 3
31,Sat Mar 16 2013,CTOURN,N,Stephen F. Austin,Southland,W,68,66,,23,8,W 4
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Fri Mar 22 2013,NCAA,N,Florida,SEC,L,47,79,,23,9,L 1
