G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Tue Nov 13 2012,REG,,Texas Southern,SWAC,W,79,49,,1,0,W 1
2,Thu Nov 15 2012,REG,,Mississippi Valley State,SWAC,W,81,68,,2,0,W 2
3,Sun Nov 18 2012,REG,,Fairleigh Dickinson,NEC,W,80,53,,3,0,W 3
4,Tue Nov 20 2012,REG,,Delaware State,MEAC,W,69,50,,4,0,W 4
5,Fri Nov 23 2012,REG,N,Texas Christian,Big 12,W,55,31,,5,0,W 5
6,Sat Nov 24 2012,REG,N,Illinois State,MVC,W,72,69,OT,6,0,W 6
7,Tue Nov 27 2012,REG,,Maryland,ACC,L,57,77,,6,1,L 1
8,Sat Dec 1 2012,REG,,Illinois-Chicago,Horizon,L,44,50,,6,2,L 2
9,Tue Dec 4 2012,REG,@,Baylor,Big 12,W,74,70,,7,2,W 1
10,Sat Dec 8 2012,REG,,Butler,A-10,L,65,74,,7,3,L 1
11,Mon Dec 17 2012,REG,,Texas State,WAC,W,74,68,,8,3,W 1
12,Fri Dec 21 2012,REG,,Stanford,Pac-12,L,68,70,,8,4,L 1
13,Sun Dec 23 2012,REG,,Brown,Ivy,W,63,42,,9,4,W 1
14,Thu Jan 3 2013,REG,,Michigan,Big Ten,L,66,94,,9,5,L 1
15,Sun Jan 6 2013,REG,@,Minnesota,Big Ten,L,51,69,,9,6,L 2
16,Thu Jan 10 2013,REG,@,Penn State,Big Ten,W,70,54,,10,6,W 1
17,Sun Jan 13 2013,REG,,Iowa,Big Ten,L,50,70,,10,7,L 1
18,Thu Jan 17 2013,REG,@,Illinois,Big Ten,W,68,54,,11,7,W 1
19,Sun Jan 20 2013,REG,,Indiana,Big Ten,L,59,67,,11,8,L 1
20,Wed Jan 23 2013,REG,,Minnesota,Big Ten,W,55,48,,12,8,W 1
21,Sat Jan 26 2013,REG,@,Nebraska,Big Ten,L,49,64,,12,9,L 1
22,Wed Jan 30 2013,REG,@,Michigan,Big Ten,L,46,68,,12,10,L 2
23,Sat Feb 2 2013,REG,,Purdue,Big Ten,W,75,60,,13,10,W 1
24,Sat Feb 9 2013,REG,@,Iowa,Big Ten,L,57,71,,13,11,L 1
25,Thu Feb 14 2013,REG,@,Ohio State,Big Ten,L,59,69,,13,12,L 2
26,Sun Feb 17 2013,REG,,Illinois,Big Ten,L,41,62,,13,13,L 3
27,Wed Feb 20 2013,REG,,Wisconsin,Big Ten,L,41,69,,13,14,L 4
28,Sun Feb 24 2013,REG,@,Purdue,Big Ten,L,43,74,,13,15,L 5
29,Thu Feb 28 2013,REG,,Ohio State,Big Ten,L,53,63,,13,16,L 6
30,Thu Mar 7 2013,REG,,Penn State,Big Ten,L,59,66,,13,17,L 7
31,Sun Mar 10 2013,REG,@,Michigan State,Big Ten,L,61,71,,13,18,L 8
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Thu Mar 14 2013,CTOURN,N,Iowa,Big Ten,L,59,73,,13,19,L 9
