G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,,Evansville,MVC,W,58,49,,1,0,W 1
2,Mon Nov 12 2012,REG,,Monmouth,NEC,W,84,57,,2,0,W 2
3,Fri Nov 16 2012,REG,N,Saint Joseph's,A-10,L,70,79,OT,2,1,L 1
4,Sat Nov 17 2012,REG,N,Brigham Young,WCC,W,78,68,,3,1,W 1
5,Wed Nov 21 2012,REG,,George Washington,A-10,W,65,48,,4,1,W 2
6,Sat Nov 24 2012,REG,,Saint Francis (PA),NEC,W,69,52,,5,1,W 3
7,Mon Nov 26 2012,REG,,Chicago State,GWC,W,92,65,,6,1,W 4
8,Thu Nov 29 2012,REG,,Kentucky,SEC,W,64,50,,7,1,W 5
9,Sat Dec 8 2012,REG,,Brown,Ivy,W,84,57,,8,1,W 6
10,Sat Dec 15 2012,REG,N,Purdue,Big Ten,W,81,68,,9,1,W 7
11,Mon Dec 17 2012,REG,,IPFW,Summit,W,74,62,,10,1,W 8
12,Wed Dec 19 2012,REG,,Kennesaw State,A-Sun,W,85,57,,11,1,W 9
13,Fri Dec 21 2012,REG,,Niagara,MAAC,W,89,67,,12,1,W 10
14,Sat Jan 5 2013,REG,,Seton Hall,Big East,W,93,74,,13,1,W 11
15,Mon Jan 7 2013,REG,@,Cincinnati,Big East,W,66,60,,14,1,W 12
16,Sat Jan 12 2013,REG,,Connecticut,Big East,L,58,65,,14,2,L 1
17,Tue Jan 15 2013,REG,@,St. John's (NY),Big East,L,63,67,,14,3,L 2
18,Sat Jan 19 2013,REG,,Rutgers,Big East,W,69,66,,15,3,W 1
19,Mon Jan 21 2013,REG,,Georgetown,Big East,L,47,63,,15,4,L 1
20,Sat Jan 26 2013,REG,@,South Florida,Big East,W,73,65,,16,4,W 1
21,Wed Jan 30 2013,REG,,Villanova,Big East,W,65,60,,17,4,W 2
22,Sat Feb 2 2013,REG,@,DePaul,Big East,W,79,71,OT,18,4,W 3
23,Mon Feb 4 2013,REG,@,Syracuse,Big East,L,47,63,,18,5,L 1
24,Sat Feb 9 2013,REG,,Louisville,Big East,W,104,101,5OT,19,5,W 1
25,Wed Feb 13 2013,REG,,DePaul,Big East,W,82,78,OT,20,5,W 2
26,Sat Feb 16 2013,REG,@,Providence,Big East,L,54,71,,20,6,L 1
27,Mon Feb 18 2013,REG,@,Pittsburgh,Big East,W,51,42,,21,6,W 1
28,Sun Feb 24 2013,REG,,Cincinnati,Big East,W,62,41,,22,6,W 2
29,Sat Mar 2 2013,REG,@,Marquette,Big East,L,64,72,,22,7,L 1
30,Tue Mar 5 2013,REG,,St. John's (NY),Big East,W,66,40,,23,7,W 1
31,Sat Mar 9 2013,REG,@,Louisville,Big East,L,57,73,,23,8,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Wed Mar 13 2013,CTOURN,N,Rutgers,Big East,W,69,61,,24,8,W 1
33,Thu Mar 14 2013,CTOURN,N,Marquette,Big East,W,73,65,,25,8,W 2
34,Fri Mar 15 2013,CTOURN,N,Louisville,Big East,L,57,69,,25,9,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
35,Fri Mar 22 2013,NCAA,N,Iowa State,Big 12,L,58,76,,25,10,L 2
