G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Albion,,W,96,62,,1,0,W 1
2,Sun Nov 11 2012,REG,@,Louisiana-Lafayette,Sun Belt,L,79,90,,1,1,L 1
3,Tue Nov 13 2012,REG,@,Boise State,MWC,L,80,88,,1,2,L 2
4,Sat Nov 17 2012,REG,@,Pittsburgh,Big East,L,62,72,OT,1,3,L 3
5,Tue Nov 20 2012,REG,@,Texas Southern,SWAC,W,71,69,,2,3,W 1
6,Fri Nov 23 2012,REG,@,Michigan State,Big Ten,L,52,70,,2,4,L 1
7,Mon Nov 26 2012,REG,@,Tennessee,SEC,L,50,77,,2,5,L 2
8,Sat Dec 1 2012,REG,@,Western Michigan,MAC,L,72,76,,2,6,L 3
9,Thu Dec 6 2012,REG,,Rochester (MI),,W,88,77,,3,6,W 1
10,Sat Dec 8 2012,REG,@,Ohio,MAC,L,61,78,,3,7,L 1
11,Mon Dec 17 2012,REG,,Valparaiso,Horizon,W,70,68,,4,7,W 1
12,Wed Dec 19 2012,REG,@,West Virginia,Big 12,L,71,76,,4,8,L 1
13,Sat Dec 22 2012,REG,@,Eastern Michigan,MAC,W,59,57,,5,8,W 1
14,Thu Dec 27 2012,REG,@,Western Illinois,Summit,L,63,73,,5,9,L 1
15,Sat Dec 29 2012,REG,N,IUPUI,Summit,W,84,62,,6,9,W 1
16,Thu Jan 3 2013,REG,,Nebraska-Omaha,Summit,W,91,79,,7,9,W 2
17,Sat Jan 5 2013,REG,@,Alabama,SEC,L,45,65,,7,10,L 1
18,Thu Jan 10 2013,REG,@,South Dakota State,Summit,L,74,81,,7,11,L 2
19,Sat Jan 12 2013,REG,@,North Dakota State,Summit,L,65,73,,7,12,L 3
20,Thu Jan 17 2013,REG,,Missouri-Kansas City,Summit,W,81,68,,8,12,W 1
21,Sat Jan 19 2013,REG,,South Dakota,Summit,L,78,97,,8,13,L 1
22,Thu Jan 24 2013,REG,,IUPUI,Summit,W,89,71,,9,13,W 1
23,Sat Jan 26 2013,REG,,Western Illinois,Summit,W,67,60,,10,13,W 2
24,Sat Feb 2 2013,REG,@,Nebraska-Omaha,Summit,W,96,81,,11,13,W 3
25,Thu Feb 7 2013,REG,,North Dakota State,Summit,W,66,63,,12,13,W 4
26,Sat Feb 9 2013,REG,,South Dakota State,Summit,W,88,83,,13,13,W 5
27,Thu Feb 14 2013,REG,@,South Dakota,Summit,W,76,75,,14,13,W 6
28,Sat Feb 16 2013,REG,@,Missouri-Kansas City,Summit,W,86,74,,15,13,W 7
29,Wed Feb 20 2013,REG,@,IPFW,Summit,L,71,77,,15,14,L 1
30,Sat Feb 23 2013,REG,,Morehead State,OVC,W,82,79,OT,16,14,W 1
31,Sat Mar 2 2013,REG,,IPFW,Summit,L,72,74,,16,15,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Sun Mar 10 2013,CTOURN,N,IPFW,Summit,L,72,91,,16,16,L 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
33,Tue Mar 19 2013,CIT,@,Youngstown State,Horizon,L,87,99,,16,17,L 3
