G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sun Nov 11 2012,REG,,Albany (NY),AEC,W,82,60,,1,0,W 1
2,Sat Nov 17 2012,REG,N,Rhode Island,A-10,W,69,58,,2,0,W 2
3,Sun Nov 18 2012,REG,N,Washington,Pac-12,W,77,66,,3,0,W 3
4,Fri Nov 23 2012,REG,,Missouri-Kansas City,Summit,W,91,45,,4,0,W 4
5,Wed Nov 28 2012,REG,@,Duke,ACC,L,68,73,,4,1,L 1
6,Sat Dec 1 2012,REG,,Northern Kentucky,A-Sun,W,70,43,,5,1,W 1
7,Sat Dec 8 2012,REG,,Long Beach State,Big West,W,89,55,,6,1,W 2
8,Wed Dec 12 2012,REG,,Savannah State,MEAC,W,85,45,,7,1,W 3
9,Sat Dec 15 2012,REG,,North Carolina-Asheville,Big South,W,90,72,,8,1,W 4
10,Tue Dec 18 2012,REG,,Winthrop,Big South,W,65,55,,9,1,W 5
11,Sat Dec 22 2012,REG,,Kansas,Big 12,L,66,74,,9,2,L 1
12,Sat Dec 29 2012,REG,,Chicago State,GWC,W,87,44,,10,2,W 1
13,Wed Jan 2 2013,REG,,Nebraska,Big Ten,W,70,44,,11,2,W 2
14,Sat Jan 5 2013,REG,@,Illinois,Big Ten,L,55,74,,11,3,L 1
15,Tue Jan 8 2013,REG,@,Purdue,Big Ten,W,74,64,,12,3,W 1
16,Sun Jan 13 2013,REG,,Michigan,Big Ten,W,56,53,,13,3,W 2
17,Sat Jan 19 2013,REG,@,Michigan State,Big Ten,L,56,59,,13,4,L 1
18,Tue Jan 22 2013,REG,,Iowa,Big Ten,W,72,63,,14,4,W 1
19,Sat Jan 26 2013,REG,@,Penn State,Big Ten,W,65,51,,15,4,W 2
20,Tue Jan 29 2013,REG,,Wisconsin,Big Ten,W,58,49,,16,4,W 3
21,Sat Feb 2 2013,REG,@,Nebraska,Big Ten,W,63,56,,17,4,W 4
22,Tue Feb 5 2013,REG,@,Michigan,Big Ten,L,74,76,OT,17,5,L 1
23,Sun Feb 10 2013,REG,,Indiana,Big Ten,L,68,81,,17,6,L 2
24,Thu Feb 14 2013,REG,,Northwestern,Big Ten,W,69,59,,18,6,W 1
25,Sun Feb 17 2013,REG,@,Wisconsin,Big Ten,L,49,71,,18,7,L 1
26,Wed Feb 20 2013,REG,,Minnesota,Big Ten,W,71,45,,19,7,W 1
27,Sun Feb 24 2013,REG,,Michigan State,Big Ten,W,68,60,,20,7,W 2
28,Thu Feb 28 2013,REG,@,Northwestern,Big Ten,W,63,53,,21,7,W 3
29,Tue Mar 5 2013,REG,@,Indiana,Big Ten,W,67,58,,22,7,W 4
30,Sun Mar 10 2013,REG,,Illinois,Big Ten,W,68,55,,23,7,W 5
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Fri Mar 15 2013,CTOURN,N,Nebraska,Big Ten,W,71,50,,24,7,W 6
32,Sat Mar 16 2013,CTOURN,N,Michigan State,Big Ten,W,61,58,,25,7,W 7
33,Sun Mar 17 2013,CTOURN,N,Wisconsin,Big Ten,W,50,43,,26,7,W 8
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
34,Fri Mar 22 2013,NCAA,N,Iona,MAAC,W,95,70,,27,7,W 9
35,Sun Mar 24 2013,NCAA,N,Iowa State,Big 12,W,78,75,,28,7,W 10
36,Thu Mar 28 2013,NCAA,N,Arizona,Pac-12,W,73,70,,29,7,W 11
37,Sat Mar 30 2013,NCAA,N,Wichita State,MVC,L,66,70,,29,8,L 1
